,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,185.88,162.83,168.93,117.94,203.9,200.31,246.07,108.03,198.53,170.01,153.4,125.13,139.17,129.25,119.72,124.83,228.1,110.01,139.43,81.1
1,Other Revenue,-,-6.59,6.59,-,12.45,-0.99,0.99,-,4.17,-0.71,0.71,-,1.55,-0.71,0.71,-,0.93,-0.4,0.4,-
2,Revenue,185.88,156.24,175.52,117.94,216.35,199.33,247.06,108.03,202.7,169.3,154.11,125.13,140.72,128.55,120.43,124.83,229.03,109.6,139.84,81.1
3,Revenue Growth (YoY),-14.08%,-21.61%,-28.96%,9.17%,6.73%,17.74%,60.31%,-13.67%,44.04%,31.70%,27.97%,0.24%,-38.56%,17.28%,-13.88%,53.91%,-,-,-,-
4,Cost of Revenue,-255.67,82.51,103.72,69.44,148.54,115.31,157.36,65.23,130.05,96.34,95.05,71.54,84.78,76.66,69.54,70.92,126.03,58.63,82.33,43.18
5,Gross Profit,441.54,73.73,71.8,48.5,67.8,84.02,89.7,42.8,72.65,72.96,59.06,53.59,55.94,51.89,50.89,53.9,103,50.97,57.5,37.92
6,"Selling, General & Admin",-43.81,16.75,13.49,13.57,19.59,17.22,16.78,13.63,21.24,16.44,15.22,9.11,9.51,15.33,17.14,11.13,9.23,14.45,15.31,7.72
7,Research & Development,-38.79,15.06,17.11,6.62,7.27,17.31,15.15,8.28,13.19,18.53,11.82,5.18,11.86,12.9,12.54,4.39,6.64,12.41,8.79,4.28
8,Other Operating Expenses,457,1.17,0.73,0.39,2.14,1.09,0.67,0.89,3.29,1.68,0.47,0.08,9.31,-2.27,-2.49,0.19,3.34,0.98,-0.27,0.75
9,Operating Expenses,373,33.47,33.49,19.34,36.16,35.52,32.61,22.48,38.9,36.66,27.63,13.12,28.17,26.34,24.89,19.02,21.47,26.62,26.96,12.39
10,Operating Income,68.55,40.26,38.31,29.17,31.65,48.5,57.09,20.33,33.75,36.3,31.43,40.48,27.78,25.55,25.99,34.88,81.53,24.36,30.54,25.53
11,Interest Expense,-17.91,-5.93,-6.25,-6.7,-4.99,-6.46,-0.42,-0.19,-0.42,-0.01,-0.02,-,-0.03,-,-,-,-,-0.37,-,-
12,Interest & Investment Income,18.88,1.7,7.38,8.83,9.97,1.75,2.4,4.09,4.21,4.19,3.75,4.2,7.64,4.89,1.43,0.05,0.11,-,0.54,0.52
13,Currency Exchange Gain (Loss),-,-1.05,1.05,-,0.05,-0.17,0.17,-,0.24,-0.11,0.11,-,-0.05,0.02,-0.02,-,-0.1,0.01,-0.01,-
14,Other Non Operating Income (Expenses),-1.03,0.4,-1.34,0.94,-0.34,0.17,-0.12,0.23,-4.83,0.36,2.35,1.58,-0.06,0.13,-0.03,-0.1,0.23,-0.35,0.24,-0.11
15,EBT Excluding Unusual Items,68.49,35.38,39.15,32.24,36.33,43.78,59.13,24.46,32.94,40.73,37.63,46.26,35.28,30.58,27.37,34.83,81.77,23.64,31.32,25.94
16,Gain (Loss) on Sale of Investments,-3.64,4.48,-0.59,-0.25,-1.63,2.02,0.43,0.16,-0.52,-0.84,1.02,-1.18,-0.22,0.73,1.45,-0.27,0.75,0.24,0.55,0.13
17,Gain (Loss) on Sale of Assets,0.14,-0.18,0.04,-,-0.16,-0.11,-,-,-0.04,-0.23,-,-,-0,0.02,0,-0.01,-0.05,0.03,-0.03,0.1
18,Asset Writedown,-0.44,0.38,0.07,-,0.59,-0.24,-0.37,-,0.35,-0.17,-,-,-0.4,0.22,-,-,-0.05,-,-,-
19,Legal Settlements,-,0.52,-0.52,-,-,-,-,-,-,-0.39,0.39,-,-0.82,0.98,-0.98,-,-0.46,0.09,-0.09,-
20,Other Unusual Items,0.41,-0.08,-0.3,-0.03,6.68,-0.25,0.25,-,5.53,-0.06,0.06,-,9.77,0.13,-0.13,-,12.06,-0.02,0.02,-
21,Pretax Income,64.97,40.5,37.84,31.95,41.81,45.19,59.44,24.62,38.27,39.03,39.11,45.08,43.61,32.65,27.71,34.56,94.03,23.99,31.77,26.17
22,Income Tax Expense,10.44,4.08,4.42,3.58,8.4,4.87,7.28,2.82,3.96,4.58,4.41,6.88,8.23,0,3.27,5.18,13.79,2.58,4.23,3.76
23,Earnings From Continuing Operations,54.52,36.42,33.42,28.37,33.41,40.33,52.16,21.8,34.3,34.46,34.7,38.2,35.38,32.65,24.45,29.37,80.25,21.41,27.53,22.41
24,Minority Interest in Earnings,-0.04,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income,54.49,36.45,33.43,28.37,33.41,40.33,52.16,21.8,34.3,34.46,34.7,38.2,35.38,32.65,24.45,29.37,80.25,21.41,27.53,22.41
26,Net Income to Common,54.49,36.45,33.43,28.37,33.41,40.33,52.16,21.8,34.3,34.46,34.7,38.2,35.38,32.65,24.45,29.37,80.25,21.41,27.53,22.41
