,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,166.4,231.58,230.9,498.57,239.72,387.71,523.92,512.4,506.1,445.18,516.04,566.63,42.5,91.98,717.52,163.83,-,118.63,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-
2,Trading Asset Securities,-,970,899.34,635.77,615.5,872.13,90.11,74.28,69.52,128.14,119.08,118.02,73.04,609.35,574.71,4.09,4.35,-,3.36,-
3,Cash & Short-Term Investments,1136,1136,1131,866.67,1114,1112,477.82,598.2,581.93,634.24,564.26,634.06,639.67,651.84,666.69,721.61,168.18,-,124.99,76.21
4,Cash Growth,2.00%,2.21%,136.68%,44.88%,91.45%,75.30%,-15.32%,-5.65%,-9.03%,-2.70%,-15.36%,-12.13%,280.34%,-,433.39%,846.85%,-,-,-,-
5,Accounts Receivable,-,460.78,433.51,379.13,430.45,480.22,554.98,412.19,467.63,430.15,392.28,371.74,375.34,233.1,229.64,271.34,295.87,-,271.58,-
6,Other Receivables,-,13.58,15.96,12.55,9.81,13.67,14.97,17.83,10.39,10.26,10.8,10.43,6.27,8.5,6.98,8.19,6.12,-,1.92,-
7,Receivables,-,474.35,449.47,391.68,440.25,493.89,569.95,430.03,478.02,440.41,403.08,382.16,381.61,241.6,236.61,279.53,301.99,-,273.5,-
8,Inventory,-,541.13,545.2,535.38,489.91,486.71,450.09,387.35,341.63,325.64,307.82,258.64,239.84,197.95,169.17,143.25,143.79,-,192.71,-
9,Other Current Assets,-,61.97,33.53,443.98,178.89,138.39,82.23,155.03,109.34,42.83,41.55,54.14,44.92,196.57,143.04,113.74,14.52,-,63.23,-
10,Total Current Assets,-,2214,2159,2238,2223,2231,1580,1571,1511,1443,1317,1329,1306,1288,1216,1258,628.49,-,654.43,-
11,"Property, Plant & Equipment",-,519.61,528.65,514.98,523.24,504.23,493.07,472.41,464.56,361.85,310.48,282.88,271.49,184.73,183.57,160.59,169.64,-,126.07,-
12,Other Intangible Assets,-,50.58,50.33,38.69,38.94,39.23,39.32,39.6,39.81,39.96,40.04,40.35,40.6,40.53,40.76,41.05,41.21,-,41.65,-
13,Long-Term Accounts Receivable,-,-,8.4,-,12.21,-,17.38,-,10.31,-,5.38,-,9.83,-,6.1,-,7.33,-,-,-
14,Long-Term Deferred Tax Assets,-,9.18,8.86,7.51,7.27,7.32,8.77,7.47,6.26,3.35,3.35,3.49,3.49,3.98,3.98,3.8,3.8,-,3.62,-
15,Other Long-Term Assets,-,113.67,55.5,57.7,50.03,49.14,53.68,69.66,50.25,128.13,114.86,58.88,22.97,64.47,35.1,10.12,14.69,-,7.55,-
16,Total Assets,-,2907,2811,2857,2855,2831,2192,2160,2082,1976,1791,1715,1654,1582,1485,1474,865.15,-,833.33,-
17,Accounts Payable,-,159.62,120.03,180.29,123.29,217.27,160.99,223.22,198.39,165.88,80.62,112.87,80,61.5,32.09,38.47,12.23,-,28.55,-
18,Accrued Expenses,-,9.57,29.14,9.71,44.91,9.22,20.54,8.17,28.98,9.49,21.4,4.86,16.07,1.86,14.49,5.88,19.21,-,19.47,-
19,Short-Term Debt,-,-,-,24,55.02,50.04,50.04,50,50.04,50,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.04,-,0.06,0.34,0.34,-,-,-,-,-,-,-
21,Current Income Taxes Payable,-,28.83,6.61,23.79,10.53,17.24,7.12,21.6,8.37,15.37,3.98,17.56,5.78,9.1,3.2,9.31,15.29,-,6.01,-
22,Current Unearned Revenue,-,421.27,345.67,341.51,322.83,319.54,343.98,328.26,260.11,252.12,219.36,186.79,189.94,187.13,144.6,136.6,99.91,-,190.25,-
23,Other Current Liabilities,-,97.6,165.13,125.21,176.34,141.1,158.8,138.43,176.07,169.31,192.34,139.03,147.51,140.49,141.29,102.89,124,-,95.78,-
24,Total Current Liabilities,-,716.94,666.62,704.55,732.97,754.45,741.51,769.72,722.02,662.16,517.76,461.46,439.64,400.07,335.67,293.15,270.64,-,340.07,-
25,Long-Term Debt,-,605.5,599.48,593.48,587.46,505.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,-,0.44,0.44,0.1,0.1,0.11,0.11,0.14,0.14,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,-,5.37,4.91,4.94,4.47,4.5,2.54,2.57,2.6,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,-,2.68,3.48,4.35,5.52,0.86,0.57,0.25,0.53,0.31,0.43,0.46,0.46,0.39,0.39,0.56,0.56,-,1.01,-
29,Total Liabilities,-,1331,1275,1307,1331,1265,744.72,772.68,725.29,662.47,518.19,461.92,440.1,400.46,336.05,293.71,271.2,-,341.08,-
30,Common Stock,-,145.01,146.02,104.44,104.44,104.44,73.93,73.94,73.99,73.99,72.73,72.73,72.73,72.73,72.73,72.73,54.55,-,54.55,-
31,Additional Paid-In Capital,-,822.16,830.58,869.45,866.77,875.95,883.84,875.95,868.72,860,822.95,823.09,823.09,822.95,822.95,828.13,290.01,-,290.01,-
32,Retained Earnings,-,601.6,565.15,578.49,550.12,516.74,519.29,467.13,445.3,411,376.54,356.39,318.19,282.81,250.16,275.9,246.53,-,144.71,-
33,Treasury Stock,-,-27.84,-40.53,-34.7,-28.33,-45.87,-29.59,-29.96,-31.2,-31.2,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,32.07,31.73,31.51,31.3,114.55,0.11,-,-,0.16,0.43,0.48,0.31,2.73,3.12,3.22,2.86,-,2.98,-
35,Total Common Equity,1573,1573,1533,1549,1524,1566,1448,1387,1357,1314,1273,1253,1214,1181,1149,1180,593.95,-,492.25,471.92
36,Minority Interest,-,2.96,2.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Shareholders' Equity,1576,1576,1536,1549,1524,1566,1448,1387,1357,1314,1273,1253,1214,1181,1149,1180,593.95,-,492.25,471.92
