,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,65436,56048,42298,42022,30040,30371,33132,45943,54668,55358,45888,Upgrade
1,Market Cap Growth,33.38%,33.38%,40.81%,38.36%,-9.33%,-33.89%,-39.39%,-17.01%,19.13%,48.30%,40.85%,Upgrade
2,Enterprise Value,28310,16244,7326,4534,3135,3223,-6147,9189,24680,37815,31133,Upgrade
3,Last Close Price,23.70,18.41,13.90,13.52,9.66,9.17,10.01,12.96,15.43,15.34,12.71,Upgrade
4,PE Ratio,9.72,8.36,7.24,14.15,15.89,13.08,6.25,5.07,6.72,13.34,12.30,Upgrade
5,Forward PE,9.53,8.68,8.13,10.33,7.38,6.06,4.63,5.99,8.63,10.87,9.37,Upgrade
6,PS Ratio,0.65,0.56,0.45,0.54,0.45,0.45,0.29,0.32,0.47,0.72,0.66,Upgrade
7,PB Ratio,1.51,1.08,0.80,0.87,0.62,0.61,0.63,0.90,1.29,1.60,1.35,Upgrade
8,P/TBV Ratio,1.30,1.30,0.96,1.05,0.75,0.74,0.76,1.11,1.45,1.81,1.52,Upgrade
9,P/FCF Ratio,5.25,4.51,4.37,3.65,2.81,-6.86,-,-,2.49,2.92,5.23,Upgrade
10,P/OCF Ratio,3.81,3.82,3.38,3.15,2.44,-13.66,-,6.10,2.36,2.79,4.75,Upgrade
11,PEG Ratio,0.66,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,Upgrade
12,EV/Sales Ratio,0.28,0.16,0.08,0.06,0.05,0.05,-,0.06,0.21,0.49,0.45,Upgrade
13,EV/EBITDA Ratio,3.00,1.74,0.87,0.87,0.83,0.91,-,0.63,1.90,4.84,4.05,Upgrade
14,EV/EBIT Ratio,3.65,2.09,1.07,1.25,1.39,1.66,-,0.71,2.21,6.26,5.18,Upgrade
15,EV/FCF Ratio,2.27,1.31,0.76,0.39,0.29,-0.73,-,-,1.13,1.99,3.55,Upgrade
16,Debt / Equity Ratio,0.16,0.16,0.11,0.09,0.09,0.11,0.08,0.07,0.05,0.05,0.03,Upgrade
17,Debt / FCF Ratio,0.66,0.66,0.57,0.40,0.41,-1.29,-,-,0.09,0.08,0.13,Upgrade
18,Return on Capital Employed (ROCE),14.35%,14.64%,12.66%,7.32%,4.53%,3.78%,-,24.42%,25.29%,16.71%,17.46%,Upgrade
19,Earnings Yield,10.27%,11.96%,13.81%,7.07%,6.29%,7.64%,16.01%,19.72%,14.88%,7.50%,8.13%,Upgrade
20,FCF Yield,19.04%,22.17%,22.89%,27.41%,35.56%,-14.58%,-21.22%,9.55%,40.09%,34.28%,19.13%,Upgrade
21,Dividend Yield,5.98%,3.85%,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,0.19%,0.38%,-,-,-,-,-,-,-0.00%,-,-,Upgrade
23,Total Shareholder Return,6.17%,4.23%,-,-,-,-,-,-,-0.00%,-,-,Upgrade
