,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,165.17,142.6,162.01,123.02,206.81,158.45,153.54,142.3,256,200.6,244.75,230.38,297.86,173.67,125.03,44.11,62.93,62.93,41.83,41.83
1,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-
2,Revenue,165.17,142.6,162.01,123.02,206.81,158.45,153.54,142.3,256,200.6,244.75,230.38,297.86,173.67,125.03,44.11,62.93,62.93,41.83,41.83
3,Revenue Growth (YoY),-20.14%,-10.00%,5.52%,-13.55%,-19.22%,-21.01%,-37.27%,-38.23%,-14.05%,15.50%,95.76%,422.25%,373.33%,175.98%,198.87%,5.45%,-,-,-,-
4,Cost of Revenue,-304.48,99.86,120,84.62,148.45,108.48,110.32,101.23,187.16,136.47,181.33,161,224.48,133.9,62.11,29.53,28.85,28.85,27.73,27.73
5,Gross Profit,469.65,42.75,42.01,38.4,58.36,49.97,43.22,41.07,68.85,64.13,63.42,69.38,73.38,39.77,62.92,14.58,34.08,34.08,14.11,14.11
6,"Selling, General & Admin",-17.77,7.35,5.77,4.65,7.75,4.92,4.82,3.03,6.53,4.15,3.7,3.81,4.39,3.29,2.91,2.67,3.4,3.4,2.13,2.13
7,Research & Development,-95.98,35.92,27.14,32.92,56.7,49.81,37.29,34.13,79.34,53.09,38.76,38.04,65.13,19.63,23.16,11.78,6.61,6.61,3.5,3.5
8,Other Operating Expenses,562.54,-19.13,0.34,-8,-0.27,-4.1,-1.02,-1.93,7.24,-3.87,-1.79,-0.56,1.74,0.34,-0.61,0.21,0.63,0.63,0.06,0.06
