,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,13993,11826,13788,12890,12749,12033,11563,10638,14050,13140,10952,12512,12979,19898,18202,-,-,-,-,-,-
1,Market Cap Growth,-1.72%,-1.72%,19.24%,21.17%,-9.25%,-8.42%,5.58%,-14.98%,8.25%,-33.96%,-39.83%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,13184,11017,12909,12012,11524,10807,10203,9128,13404,12494,10277,11749,12105,19024,17791,-,-,-,-,-,-
3,Last Close Price,78.54,66.38,77.19,71.78,70.49,66.53,63.93,58.82,77.17,78.76,65.75,75.11,77.55,118.90,108.76,-,-,-,-,-,-
4,PE Ratio,33.42,28.15,34.83,34.13,36.67,36.99,39.07,39.73,60.00,54.07,43.82,51.71,53.26,87.81,79.78,-,-,-,-,-,-
5,Forward PE,25.52,22.64,27.66,27.71,29.08,29.29,30.17,30.35,33.81,36.83,28.19,31.63,37.45,59.52,61.17,-,-,-,-,-,-
6,PS Ratio,7.81,6.58,8.40,8.51,9.49,9.56,10.71,10.72,15.58,14.69,11.68,13.18,13.00,21.10,18.55,-,-,-,-,-,-
7,PB Ratio,4.61,3.80,4.43,4.18,4.31,4.14,4.05,3.89,5.07,7.67,6.66,7.95,8.20,13.33,12.80,-,-,-,-,-,-
8,P/TBV Ratio,4.47,4.47,5.21,4.92,5.10,4.77,4.61,4.31,5.65,8.40,7.31,8.76,9.02,13.83,13.30,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-76.33,-,-,-,-,-,-,460.64,-,-132.39,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,158.42,99.55,100.56,-,41.21,51.45,56.66,73.27,101.22,164.25,-,178.68,-,-,-,-,-,-,-
11,EV/Sales Ratio,7.33,6.13,7.87,7.93,8.58,8.59,9.45,9.20,14.87,13.97,10.96,12.37,12.13,20.17,18.14,-,-,-,-,-,-
12,EV/EBITDA Ratio,24.44,20.40,28.23,28.09,30.99,31.65,32.72,34.50,54.82,48.31,39.47,43.72,42.90,72.17,63.43,-,-,-,-,-,-
13,EV/EBIT Ratio,26.12,21.83,30.59,30.31,33.66,34.21,35.16,37.58,59.44,52.14,42.58,46.87,45.59,76.74,66.95,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-71.46,-,-,-,-,-,-,437.99,-,-124.33,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.11,0.11,0.11,0.06,0.04,0.04,0.02,0.00,0.00,0.01,0.01,0.04,0.04,0.04,0.04,0.07,0.06,0.04,-,-,-
16,Debt / EBITDA Ratio,0.64,0.52,0.64,0.35,0.29,0.35,0.12,0.03,0.03,0.06,0.08,0.28,0.18,0.26,0.23,0.22,0.18,0.10,-,-,-
17,Debt / FCF Ratio,-,-,-1.91,-,-,-,-,-,-,0.44,-,-0.67,-,-,-,0.42,-,0.34,-,-,-
18,Asset Turnover,-,0.46,0.49,0.41,0.43,0.39,0.34,0.43,0.40,0.50,0.40,0.59,0.53,0.64,0.79,0.82,-,-,-,-,
19,Inventory Turnover,-,-,1.54,1.71,1.39,1.58,1.25,1.44,1.74,1.48,1.94,1.80,2.97,2.98,2.71,3.14,3.46,-,-,-,-
20,Quick Ratio,-,-,2.31,2.68,3.01,3.02,3.32,4.09,4.41,3.49,4.30,5.09,5.34,4.73,4.31,2.49,2.74,2.77,-,-,-
21,Current Ratio,-,-,3.18,3.68,4.13,4.09,4.50,5.21,5.42,4.47,5.53,6.31,6.33,5.67,5.10,3.22,3.51,3.46,-,-,-
22,Return on Equity (ROE),12.72%,14.65%,15.58%,12.25%,11.83%,13.62%,12.76%,12.06%,14.07%,16.30%,13.16%,19.24%,17.51%,19.71%,24.90%,28.61%,-,-,-,-,
23,Return on Assets (ROA),-,8.12%,8.30%,6.85%,5.38%,7.57%,5.30%,6.73%,6.30%,7.10%,6.78%,11.48%,7.10%,10.27%,13.75%,15.74%,-,-,-,-,
24,Return on Capital (ROIC),11.44%,9.41%,9.62%,7.98%,6.36%,8.93%,6.18%,7.88%,7.35%,8.14%,7.74%,13.31%,8.49%,13.09%,18.41%,20.58%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,13.31%,12.70%,11.32%,10.63%,9.91%,8.79%,8.07%,13.92%,14.58%,15.25%,16.08%,15.89%,17.69%,26.14%,25.31%,24.02%,-,-,-
26,Earnings Yield,3.00%,3.55%,2.87%,2.93%,2.73%,2.70%,2.56%,2.52%,1.67%,1.85%,2.28%,1.93%,1.88%,1.14%,1.25%,-,-,-,-,-,-
27,FCF Yield,-,-1.31%,-1.50%,-1.76%,-2.05%,-0.07%,-0.51%,0.16%,0.22%,-0.86%,-0.76%,-0.30%,-0.06%,0.32%,-,-,-,-,-,-,
28,Dividend Yield,0.52%,-,-,0.75%,-,0.50%,-,-,-,0.53%,-,-,-,0.04%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,56.46%,1.86%,2.23%,1.00%,2.44%,91.97%,-,0.32%,1.44%,138.33%,0.31%,1.04%,1.20%,1.14%,0.72%,0.51%,-,-,-
30,Buyback Yield / Dilution,-1.08%,-1.02%,2.80%,-3.20%,-1.21%,-10.22%,-10.63%,-5.25%,-7.69%,0.92%,-9.10%,-33.33%,-33.33%,-32.78%,-21.45%,-0.96%,0.23%,-,-,-,-
31,Total Shareholder Return,-0.56%,-1.02%,2.80%,-2.45%,-1.21%,-9.72%,-10.63%,-5.25%,-7.69%,1.45%,-9.10%,-33.33%,-33.33%,-32.75%,-21.45%,-0.96%,0.23%,-,-,-,-
