,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,1232,1132,1055,1225,1322,1382,1548,760.15,691.07,762.05,796.77,929.54,946.8,479.2,417.95,422.42,-,-,-
1,Trading Asset Securities,-,2.66,12.88,12.76,12.69,2.47,2.54,5.47,-,-,-,51.67,1.25,-,5,-,-,-,-,-
2,Cash & Short-Term Investments,1234,1234,1145,1068,1238,1324,1384,1553,760.15,691.07,762.05,848.44,930.79,946.8,484.2,417.95,422.42,-,-,327.06
3,Cash Growth,-0.28%,-6.80%,-17.30%,-31.24%,62.83%,91.64%,81.65%,83.07%,-18.33%,-27.01%,57.38%,103.00%,120.35%,-,-,27.79%,-,-,-,-
4,Accounts Receivable,-,703.29,645.57,575.89,515.42,462.16,427.94,402.14,361.5,410.06,386.21,388.81,332.69,352.42,319.74,284.12,243.2,-,-,-
5,Other Receivables,-,0.57,0.9,0.51,0.53,0.62,0.61,0.98,0.85,0.78,1.03,0.71,0.63,6.22,1.21,8.55,0.76,-,-,-
6,Receivables,-,703.87,646.47,576.4,515.95,462.78,428.55,403.12,362.35,410.85,387.24,389.53,333.32,358.64,320.95,292.67,243.96,-,-,-
7,Inventory,-,606,586.15,571.97,582.67,559.35,453.78,391.03,290.88,279.41,238.4,200.3,205.32,193.79,192.73,156.99,145.38,-,-,-
8,Other Current Assets,-,118.71,80.05,43.03,39.6,73.85,44.52,57.27,24.42,33.72,38.62,29.21,45.5,46.64,42.17,43.5,19.94,-,-,-
9,Total Current Assets,-,2663,2457,2259,2376,2420,2311,2405,1438,1415,1426,1467,1515,1546,1040,911.1,831.69,-,-,-
10,"Property, Plant & Equipment",-,776.08,759.98,734.83,696.35,660.54,575.78,523.28,405.74,331.59,285.99,257.92,210.07,184.97,162.42,148.14,131.7,-,-,-
11,Long-Term Investments,-,164.55,164.84,165.5,67.44,53.72,46.88,37.8,57.96,8.57,8.58,7.8,7.8,5,5,5,5,-,-,-
12,Goodwill,-,209.83,209.87,209.92,209.97,232.14,192.46,192.46,63.85,63.85,63.67,63.67,16.35,16.35,16.35,16.35,16.35,-,-,-
13,Other Intangible Assets,-,176.19,178.56,181.28,112.87,69.42,59.29,60.02,57.35,56.78,57.97,58.58,25.75,25.76,25.71,25.65,25.35,-,-,-
14,Long-Term Deferred Tax Assets,-,13.22,12.9,12.9,14.9,14.11,13.65,12.64,12.41,8.21,6.8,5.96,5.18,4.54,3.76,3.71,3.35,-,-,-
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,0.06,0.18,0.43,0.61,0.76,0.95,-,-,-
16,Other Long-Term Assets,-,4.92,6.15,6.41,76.43,14.17,7.4,8.35,7.67,27.48,20.65,21.14,46.78,22.37,11.29,10.93,11.9,-,-,-
17,Total Assets,-,4008,3790,3570,3554,3464,3207,3239,2043,1912,1870,1883,1827,1805,1265,1122,1026,-,-,-
18,Accounts Payable,-,137.47,170.72,189.98,155.25,224.77,149.48,199.82,154.37,86.97,68.17,67.61,79.24,108.77,146.91,134.24,117.76,-,-,-
19,Accrued Expenses,-,29.16,80.22,17.06,74.3,27.18,35.09,12.15,55.03,19.44,25.15,6.87,44.78,19.7,18.67,0.66,26.66,-,-,-
20,Short-Term Debt,-,311.4,179.89,73.74,71.82,2.87,2.96,10.27,12.01,17,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Long-Term Debt,-,-,-,5.13,2.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,-,2.48,2.87,-,3.23,2.46,2.66,0.24,0.59,1.09,2.28,2.97,0.56,-,-,-,-,-,-,-
23,Current Income Taxes Payable,-,25.4,21.75,28.73,32.12,28.74,18.2,24.1,11.04,14.02,19.36,26.3,16.65,11.78,17.88,22.19,13.28,-,-,-
