,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Cash & Equivalents,232.45,150.48,111,341.39,220.27,288.44,120.5,426.57,106.14,158.03,Upgrade
1,Short-Term Investments,9.73,17.97,17.49,16.11,15.56,15.44,19.95,15.03,10.11,10.93,Upgrade
2,Trading Asset Securities,0.28,-,0.86,-,0.53,-,-,-,5.47,-,Upgrade
3,Cash & Short-Term Investments,242.45,168.45,129.35,357.51,236.36,303.88,140.45,441.61,121.73,168.96,Upgrade
4,Cash Growth,87.45%,-52.88%,-45.28%,17.65%,68.29%,-31.19%,15.38%,161.36%,-37.96%,-18.98%,Upgrade
5,Accounts Receivable,1232,1177,1245,1048,1443,1224,1619,1140,1015,828.75,Upgrade
6,Other Receivables,39.67,40.24,72.63,38.26,45.07,43.76,18.68,37.23,11.87,9.61,Upgrade
7,Receivables,1271,1217,1318,1086,1488,1268,1638,1178,1026,838.36,Upgrade
8,Inventory,783.02,727.33,651.67,906.38,1026,1150,1052,1040,507.22,574.38,Upgrade
9,Prepaid Expenses,39.54,18.26,17.69,11.26,14.97,11.41,16.07,18.54,10.95,13.98,Upgrade
10,Other Current Assets,315.28,682.31,225.49,175.4,79.97,70.01,140.27,145.61,78.51,18.63,Upgrade
11,Total Current Assets,2652,2813,2342,2536,2846,2803,2986,2823,1745,1614,Upgrade
12,"Property, Plant & Equipment",1362,1302,1174,1196,1202,1217,905.82,701.83,618.74,506.92,Upgrade
13,Long-Term Investments,88.67,81.51,59.49,69.8,47.51,51.68,9.65,12.49,16.69,17.02,Upgrade
14,Goodwill,-,35.78,-,-,-,-,-,-,-,-,Upgrade
15,Other Intangible Assets,51.1,14.51,14.47,15.28,16.15,16.57,15.78,16.21,15.91,15.36,Upgrade
16,Long-Term Deferred Tax Assets,48.96,52.98,63.05,55.81,48.65,45.6,46.15,37.15,28.19,22.52,Upgrade
17,Other Long-Term Assets,15.94,19.66,14.12,17.5,16.95,31.47,70.55,41.44,15.76,38.26,Upgrade
18,Total Assets,4218,4320,3667,3890,4177,4166,4034,3632,2440,2214,Upgrade
19,Accounts Payable,1566,1398,1244,1444,1631,1671,1849,1845,1060,1041,Upgrade
20,Accrued Expenses,389.53,370.12,299.77,334.74,342.23,375.95,296.74,263.4,207.53,196.33,Upgrade
21,Short-Term Debt,162.24,553.63,128.38,59.12,249.28,239.52,238.9,142.85,107.28,63.09,Upgrade
22,Current Portion of Long-Term Debt,45.71,98.7,144.66,189.44,129.91,101.65,71.95,80.32,69.87,57.14,Upgrade
23,Current Portion of Leases,10.87,12,9.45,8.24,4.96,8.84,6.86,1.65,0.53,1.32,Upgrade
24,Current Income Taxes Payable,9.97,4.08,35.6,16.57,15.06,32.68,42.11,51.19,23.95,17.21,Upgrade
25,Current Unearned Revenue,37.37,33.79,45.78,46.47,21.44,17.69,18.31,14.25,12.37,8.95,Upgrade
26,Other Current Liabilities,103.69,0.01,34.02,0.01,5.32,9.26,0.01,0.01,0.02,0.01,Upgrade
27,Total Current Liabilities,2326,2471,1942,2098,2400,2456,2524,2398,1482,1385,Upgrade
28,Long-Term Debt,-,2.57,97.83,202.88,246.65,238.25,122.55,95.05,118.74,41.73,Upgrade
29,Long-Term Leases,42.15,46.39,11.59,16.92,23.52,23.74,29.13,6.03,5.86,5.78,Upgrade
30,Long-Term Unearned Revenue,34.03,36.78,53.41,56.92,59.36,46.32,53.57,44.19,28.11,27.23,Upgrade
31,Long-Term Deferred Tax Liabilities,110.4,111.94,105.79,102.24,90.25,91.69,94.14,88.03,63.39,59.73,Upgrade
32,Other Long-Term Liabilities,-,-,-,-,-,0.88,-,-,-,-,Upgrade
33,Total Liabilities,2512,2668,2210,2477,2819,2857,2823,2632,1698,1520,Upgrade
34,Common Stock,10.3,10.3,10.3,10.3,10.01,10.01,10.01,10.01,10.01,10.01,Upgrade
35,Additional Paid-In Capital,162.43,162.43,162.43,162.43,125.79,125.79,125.79,125.79,125.79,125.79,Upgrade
36,Retained Earnings,1638,1566,1403,1300,1221,1079,1012,821.39,657.45,590.36,Upgrade
37,Comprehensive Income & Other,-100.5,-83.64,-117.46,-58.94,1.89,80.98,56.31,44.34,-50.33,-31.27,Upgrade
38,Total Common Equity,1710,1655,1458,1414,1359,1296,1204,1002,742.91,694.88,Upgrade
39,Minority Interest,-4.31,-3.82,-0.91,-0.66,-0.84,12.89,7.69,-0.72,-0.52,-0.29,Upgrade
40,Shareholders' Equity,1706,1651,1457,1413,1358,1309,1211,1001,742.4,694.59,Upgrade
41,Total Liabilities & Equity,4218,4320,3667,3890,4177,4166,4034,3632,2440,2214,Upgrade
42,Total Debt,260.96,713.29,391.91,476.61,654.31,612,469.38,325.9,302.27,169.05,Upgrade
43,Net Cash (Debt),-18.51,-544.85,-262.57,-119.1,-417.95,-308.13,-328.93,115.71,-180.54,-0.09,Upgrade
44,Net Cash Per Share,-0.02,-0.53,-0.25,-0.12,-0.42,-0.31,-0.33,0.12,-0.18,-0.00,Upgrade
45,Filing Date Shares Outstanding,1030,1030,1030,1030,1000,1000,1000,1000,1000,1000,Upgrade
46,Total Common Shares Outstanding,1030,1030,1030,1030,1000,1000,1000,1000,1000,1000,Upgrade
47,Working Capital,326.02,342.66,400.48,437.95,446.32,346.92,462.81,424.99,263.23,228.97,Upgrade
48,Book Value Per Share,1.66,1.61,1.41,1.37,1.36,1.30,1.20,1.00,0.74,0.69,Upgrade
49,Tangible Book Value,1659,1605,1443,1398,1343,1279,1188,985.31,727,679.52,Upgrade
50,Tangible Book Value Per Share,1.61,1.56,1.40,1.36,1.34,1.28,1.19,0.98,0.73,0.68,Upgrade
51,Buildings,-,172.78,-,175.28,-,189.85,-,189.89,-,145.65,Upgrade
52,Machinery,-,1019,-,1018,-,994.29,-,735.75,-,640.68,Upgrade
53,Construction In Progress,-,500.49,-,317.76,-,316.48,-,45.53,-,76.22,Upgrade
54,Leasehold Improvements,-,247.69,-,217.75,-,193.14,-,135.34,-,93.94,Upgrade
