,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,157.83,132.81,122.96,114.91,85.39,79.62,59.88,62.77,75.2,59.86,101.6,92.81,92.81,103.83,103.83,131.85
1,Other Revenue,-8.69,8.69,-,13.04,-3.47,3.47,-,6.42,-2.42,2.42,-,2.7,2.7,2.39,2.39,1.99
2,Revenue,149.14,141.5,122.96,127.95,81.92,83.09,59.88,69.19,72.78,62.28,101.6,95.51,95.51,106.21,106.21,133.84
3,Revenue Growth (YoY),82.05%,70.29%,105.34%,84.92%,12.56%,33.41%,-41.06%,-27.55%,-23.80%,-41.36%,-4.35%,-28.64%,-,-,-,-
4,Cost of Revenue,103.79,113.61,99.77,139.08,72.62,80.17,55.29,68.96,58.41,49.04,73.37,69.27,69.27,73.71,73.71,94.29
5,Gross Profit,45.34,27.89,23.19,-11.13,9.29,2.92,4.59,0.23,14.37,13.24,28.23,26.23,26.23,32.5,32.5,39.55
6,"Selling, General & Admin",8.11,7.47,6.76,10.34,6.92,7,6.55,7.79,8.42,6.28,6.16,5.41,5.41,6.3,6.3,4.79
7,Research & Development,10.17,7.48,7.39,12.24,7.74,7.12,5.65,7.31,7.58,6.22,5.18,6.87,6.87,6.07,6.07,9.36
8,Other Operating Expenses,-1.39,-0.88,-0.79,-2.63,-0.81,-1.21,-0.63,11.65,-2.38,-7.47,0.05,1.54,1.54,-0.51,-0.51,-1.29
9,Operating Expenses,19.33,15.67,14.35,23.09,14.41,14.39,11.97,27.34,14.5,4.55,12,12.78,12.78,11.28,11.28,13.41
10,Operating Income,26.01,12.22,8.84,-34.22,-5.12,-11.48,-7.38,-27.12,-0.13,8.68,16.23,13.46,13.46,21.23,21.23,26.14
11,Interest Expense,-1.38,-1.13,-,-0.27,-0.41,-0.57,-,-0.08,-0.28,-0.78,-,-0.76,-0.76,-0.87,-0.87,-1.29
12,Interest & Investment Income,2.7,4.01,2.04,3.97,2.8,2.91,2.85,5.58,0.63,0.4,0.1,0.17,0.17,0.17,0.17,0.24
13,Currency Exchange Gain (Loss),0.02,-0.02,-,-0.63,-0.22,0.22,-,0.96,-1.5,1.5,-,0.31,0.31,0.52,0.52,0.5
14,Other Non Operating Income (Expenses),0.31,-0.12,-,0.69,-0.56,-0.21,0,-1.48,2.14,-0.28,0.27,0.04,0.04,0.01,0.01,0.49
15,EBT Excluding Unusual Items,27.67,14.96,10.88,-30.47,-3.51,-9.13,-4.53,-22.14,0.86,9.53,16.6,13.21,13.21,21.06,21.06,26.07
16,Gain (Loss) on Sale of Assets,0.06,-,0.04,-,1.5,-,-,-,-0.04,0.02,-,-0,-0,0.13,0.13,0.24
17,Asset Writedown,-11.41,1.69,-1.69,6.46,-6.47,0.87,-0.87,1.57,-1.57,-,-,-,-,-0,-0,-
18,Other Unusual Items,-0.05,0.09,0.03,-0.11,-0.22,0.22,-,12.13,-0.18,0.18,-,4.38,4.38,-,-,0.02
19,Pretax Income,16.27,16.74,9.26,-24.12,-8.7,-8.04,-5.39,-8.44,-0.92,9.72,16.6,17.59,17.59,21.19,21.19,26.33
20,Income Tax Expense,0.54,0.16,1.4,-5.87,-2.36,-4.39,-0.99,-1.84,-1.23,0.27,2.13,1.73,1.73,2.48,2.48,2.86
21,Net Income,15.73,16.57,7.87,-18.25,-6.33,-3.65,-4.41,-6.6,0.31,9.45,14.47,15.86,15.86,18.71,18.71,23.47
22,Net Income to Common,15.73,16.57,7.87,-18.25,-6.33,-3.65,-4.41,-6.6,0.31,9.45,14.47,15.86,15.86,18.71,18.71,23.47
23,Net Income Growth,-,-,-,-,-,-,-,-,-98.02%,-49.49%,-22.66%,-32.42%,-,-,-,-
24,Shares Outstanding (Basic),83,79,79,78,79,88,73,47,114,66,60,60,60,60,60,60
25,Shares Outstanding (Diluted),83,79,79,78,79,88,73,47,114,66,60,60,60,60,60,60
26,Shares Change (YoY),5.93%,-9.94%,7.17%,68.18%,-31.05%,33.76%,21.78%,-22.11%,90.53%,8.69%,-0.11%,-0.18%,-,-,-,-
27,EPS (Basic),0.19,0.21,0.10,-0.23,-0.08,-0.04,-0.06,-0.14,0.00,0.14,0.24,0.26,0.26,0.31,0.31,0.39
28,EPS (Diluted),0.19,0.21,0.10,-0.23,-0.08,-0.04,-0.06,-0.14,0.00,0.14,0.24,0.26,0.26,0.31,0.31,0.39
29,EPS Growth,-,-,-,-,-,-,-,-,-98.96%,-53.53%,-22.58%,-32.30%,-,-,-,-
30,Free Cash Flow,-60.39,-39.51,-12.47,-18.29,-18.73,-37.11,-16.11,-1.92,-21.35,10.77,8.9,15.06,15.06,-15.67,-15.67,8.01
31,Free Cash Flow Per Share,-0.72,-0.50,-0.16,-0.23,-0.24,-0.42,-0.22,-0.04,-0.19,0.16,0.15,0.25,0.25,-0.26,-0.26,0.13
32,Dividend Per Share,-,-,-,-,-,-,-,0.125,-,-,-,-,-,-,-,-
33,Gross Margin,30.40%,19.71%,18.86%,-8.70%,11.35%,3.51%,7.66%,0.33%,19.74%,21.25%,27.79%,27.47%,27.47%,30.60%,30.60%,29.55%
34,Operating Margin,17.44%,8.64%,7.19%,-26.75%,-6.25%,-13.81%,-12.33%,-39.19%,-0.18%,13.94%,15.97%,14.09%,14.09%,19.98%,19.98%,19.53%
35,Profit Margin,10.55%,11.71%,6.40%,-14.26%,-7.73%,-4.40%,-7.36%,-9.54%,0.43%,15.17%,14.24%,16.61%,16.61%,17.61%,17.61%,17.54%
36,Free Cash Flow Margin,-40.50%,-27.93%,-10.14%,-14.29%,-22.86%,-44.66%,-26.90%,-2.78%,-29.34%,17.29%,8.76%,15.77%,15.77%,-14.75%,-14.75%,5.99%
37,EBITDA,35.71,22.1,18.54,-24.52,3.64,-1.86,1.38,-18.36,7.93,17.05,24.29,21.27,21.27,29.54,29.54,33.92
38,EBITDA Margin,23.95%,15.62%,15.08%,-19.16%,4.45%,-2.23%,2.30%,-26.53%,10.90%,27.37%,23.91%,22.27%,22.27%,27.81%,27.81%,25.34%
39,D&A For EBITDA,9.7,9.88,9.7,9.7,8.76,9.62,8.76,8.76,8.06,8.36,8.06,7.81,7.81,8.31,8.31,7.78
40,EBIT,26.01,12.22,8.84,-34.22,-5.12,-11.48,-7.38,-27.12,-0.13,8.68,16.23,13.46,13.46,21.23,21.23,26.14
41,EBIT Margin,17.44%,8.64%,7.19%,-26.75%,-6.25%,-13.81%,-12.33%,-39.19%,-0.18%,13.94%,15.97%,14.09%,14.09%,19.98%,19.98%,19.53%
42,Effective Tax Rate,3.33%,0.96%,15.06%,-,-,-,-,-,-,2.82%,12.84%,9.84%,9.84%,11.71%,11.71%,10.87%
43,Revenue as Reported,149.14,141.5,122.96,127.95,81.92,83.09,59.88,69.19,72.78,62.28,101.6,95.51,95.51,106.21,106.21,-
