,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,4217,3789,3461,4287,3435,3734,6304,2126,1778,1782,2608,-,-,-,-,-,-
1,Market Cap Growth,1.48%,1.48%,-45.10%,101.69%,93.16%,109.47%,141.72%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3992,3504,3159,3941,3089,3368,5910,1704,1357,1352,2621,-,-,-,-,-,-
3,Last Close Price,52.71,47.36,43.26,53.59,42.94,46.67,78.60,26.50,22.17,22.22,32.52,-,-,-,-,-,-
4,PE Ratio,192.10,172.80,-24948.82,-210.51,-,-,-,-,-,44.46,46.87,-,-,-,-,-,-
5,PS Ratio,7.78,7.00,7.30,10.31,9.74,12.70,22.12,8.05,5.81,5.37,7.35,-,-,-,-,-,-
6,PB Ratio,5.03,4.52,4.20,5.32,4.30,4.57,7.66,2.54,2.11,-,3.08,-,-,-,-,-,-
7,P/TBV Ratio,4.54,4.54,4.23,5.34,4.32,4.59,7.70,2.55,2.12,-,3.09,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,52.37,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-83.11,-,-,-,53.75,-,22.50,-,-,-,-,-,-
10,EV/Sales Ratio,7.37,6.47,6.66,9.47,8.75,11.45,20.74,6.45,4.44,4.07,7.38,-,-,-,-,-,-
11,EV/EBITDA Ratio,76.28,67.59,159.80,-939.46,-,-221.69,-,213.08,-,19.16,31.25,-,-,-,-,-,-
12,EV/EBIT Ratio,384.07,272.62,-172.80,-93.87,-,-,-,-,-,-,50.57,-,-,-,-,-,-
13,EV/FCF Ratio,-30.55,-,-,-,-,-,-,-,-,-,52.63,-,-,-,-,-,-
14,Debt / Equity Ratio,0.14,0.14,0.08,0.07,0.06,0.05,0.03,0.04,0.04,-,0.04,0.15,0.15,0.15,-,0.09,0.09
15,Debt / EBITDA Ratio,2.23,0.82,0.74,0.77,-,2.91,-,5.90,-,-,0.47,0.64,0.71,0.71,-,0.27,0.23
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.67,2.66,-51.44,-7.53,-,-,3.93
17,Asset Turnover,0.49,0.48,0.44,0.48,0.31,0.32,0.23,-,-,-,-,0.55,-,-,-,-,
18,Inventory Turnover,4.46,4.52,5.02,4.63,6.00,2.96,3.71,2.59,-,-,-,-,3.92,-,-,-,-
19,Quick Ratio,2.01,2.01,2.17,2.18,2.50,2.95,3.52,3.64,3.62,-,3.69,-,1.31,1.31,-,-,1.09
20,Current Ratio,2.32,2.32,2.47,2.50,2.84,3.54,4.10,4.19,4.14,-,4.15,-,1.64,1.64,-,-,1.32
21,Return on Equity (ROE),7.57%,8.14%,3.92%,-9.04%,-3.09%,-1.76%,-2.10%,-,-,5.96%,13.78%,15.10%,-,-,21.32%,-,
22,Return on Assets (ROA),5.39%,2.62%,1.96%,-7.94%,-1.22%,-2.76%,-1.76%,-,-,-,-,4.88%,-,-,-,-,
23,Return on Capital (ROIC),7.04%,3.48%,2.59%,-10.05%,-1.50%,-3.35%,-2.12%,-,-,3.19%,8.41%,6.98%,-,-,13.88%,-,
24,Return on Capital Employed (ROCE),1.05%,1.48%,-2.14%,-5.01%,-,-,-,-,-,-,5.87%,-,15.16%,17.93%,-,-,7.11%
25,Earnings Yield,0.52%,0.58%,-0.00%,-0.48%,-0.95%,-0.56%,-0.23%,-0.06%,0.99%,2.25%,2.13%,-,-,-,-,-,-
26,FCF Yield,-3.10%,-3.45%,-2.57%,-2.02%,-2.63%,-1.98%,-1.21%,-1.35%,-0.20%,0.75%,1.91%,-,-,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.56%,-,-,-,-,-,-,-,-
28,Payout Ratio,2.77%,0.89%,1.42%,1.06%,-,-,-,-,-,29.23%,1.06%,1.51%,5.20%,5.20%,-,-,-
29,Buyback Yield / Dilution,-11.57%,-5.93%,9.94%,-7.17%,-68.18%,31.05%,-33.76%,-21.78%,22.11%,-90.53%,-8.69%,0.11%,0.18%,-,-,-,-
30,Total Shareholder Return,-11.57%,-5.93%,9.94%,-7.17%,-68.18%,31.05%,-33.76%,-21.78%,22.68%,-90.53%,-8.69%,0.11%,0.18%,-,-,-,-
