,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,341.77,352.9,349.12,369.9,389.01,382.78,411.66,439.89,-,459.21,-,24.7,24.7,-,-,29.87
1,Trading Asset Securities,-,-,10,-,-,5,15,5,-,5,-,24.7,24.7,-,-,14.59
2,Cash & Short-Term Investments,341.77,352.9,359.12,369.9,389.01,387.78,426.66,444.89,-,464.21,49.4,49.4,49.4,-,44.46,44.46
3,Cash Growth,-12.14%,-8.99%,-15.83%,-16.86%,-,-16.46%,763.63%,800.53%,-,-,11.12%,11.12%,-,-,-,-
4,Accounts Receivable,394.14,346.36,343.27,286.61,235.78,228.55,214.55,205.64,-,205.21,-,252.32,252.32,-,-,306.31
5,Other Receivables,0.72,0.8,0.62,0.58,0.45,0.54,0.88,0.82,-,1.13,-,0.8,0.8,-,-,1.3
6,Receivables,394.86,347.16,343.9,287.19,236.23,229.09,215.43,206.46,-,206.34,-,253.12,253.12,-,-,307.6
7,Inventory,96.94,86.67,94.55,77.69,107.83,88.2,84.73,85.84,-,78.73,-,70.69,70.69,-,-,67.16
8,Prepaid Expenses,-,-,-,-,-,0.05,-,0.01,-,0.04,-,4,4,-,-,0.93
9,Other Current Assets,15.07,12.41,10,12.72,16.36,12.87,12.07,7.57,-,4.07,-,2.02,2.02,-,-,4.26
10,Total Current Assets,848.63,799.15,807.57,747.5,749.44,717.99,738.88,744.76,-,753.39,-,379.23,379.23,-,-,424.41
11,"Property, Plant & Equipment",289.29,293.13,278.89,262.13,254.99,253.02,260.38,268.58,-,276.05,-,279.85,279.85,-,-,244.53
12,Long-Term Investments,8.52,8.42,8.55,8.47,8,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,4.03,4.07,4.06,4.1,4.14,4.19,4.24,4.29,-,4.4,-,4.48,4.48,-,-,4.37
14,Long-Term Deferred Tax Assets,18.58,18.71,18.66,20.06,12.45,10.36,6.25,6.45,-,3.07,-,3.19,3.19,-,-,3.79
15,Long-Term Deferred Charges,26.31,26.75,23.57,22.47,22.57,22.25,21.68,21.09,-,11.17,-,6.61,6.61,-,-,7.62
16,Other Long-Term Assets,39.59,26.07,18.68,28.58,9.91,23.53,15.26,10.3,-,16.99,-,15.9,15.9,-,-,4.71
17,Total Assets,1235,1176,1160,1093,1061,1031,1047,1055,-,1065,-,689.26,689.26,-,-,689.42
18,Accounts Payable,256.3,263.82,271.1,228.87,179.63,153.36,152.86,155.75,-,153.79,-,181.08,181.08,-,-,247.63
19,Accrued Expenses,8.33,10.16,12.66,9.64,6.35,9.3,9.72,10.68,-,13.82,-,9.66,9.66,-,-,12.18
20,Short-Term Debt,96.12,46.94,35.51,23.06,19.76,-,10,10.01,-,10,-,38.27,38.27,-,-,30.95
21,Current Portion of Leases,1.25,1.24,1.23,1.22,1.21,1.19,1.18,1.17,-,1.14,-,1.12,1.12,-,-,0.57
22,Current Income Taxes Payable,3.22,-,2.09,-,2.91,0.25,0.83,1.7,-,2.3,-,1.29,1.29,-,-,2.61
23,Current Unearned Revenue,0.36,0.03,0.06,0.21,0.16,0.11,0.19,0.14,-,0.16,-,0.23,0.23,-,-,-
24,Other Current Liabilities,0.72,0.76,0.17,0.23,1.87,10.95,1.47,0.28,-,0.4,-,0.09,0.09,-,-,28.07
25,Total Current Liabilities,366.3,322.95,322.81,263.24,211.9,175.16,176.26,179.72,-,181.61,-,231.73,231.73,-,-,322
26,Long-Term Leases,19.46,19.78,20.09,20.4,21.38,21.19,21.32,21.62,-,22.21,-,22.79,22.79,-,-,-
27,Long-Term Unearned Revenue,10.37,10.48,10.58,11.03,11.49,11.94,12.4,12.85,-,13.76,-,14.67,14.67,-,-,16.49
