,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+12 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+12 Quarters
0,Revenue,266288,118564,52931,52002,64761,63077,86766,50730,88973,39744,65457,44074,139724,30786,91067,33164,102911,45586,66869,33751,Upgrade
1,Revenue Growth (YoY),311.19%,87.97%,-39.00%,2.51%,-27.21%,58.71%,32.55%,15.10%,-36.32%,29.10%,-28.12%,32.90%,35.77%,-32.47%,36.19%,-1.74%,44.60%,89.24%,-1.66%,-41.33%,Upgrade
2,Cost of Revenue,128741,80533,40231,34066,44496,49981,58905,27572,58187,24702,39562,17785,122304,11719,77376,9740,77557,41640,46903,11917,Upgrade
3,Gross Profit,137547,38031,12699,17936,20265,13096,27860,23159,30786,15042,25895,26289,17420,19068,13691,23424,25355,3945,19966,21835,Upgrade
4,"Selling, General & Admin",22659,11443,7834,9475,13357,8597,8889,9577,12838,7762,7597,7645,7746,6020,7050,5660,14002,5850,6157,4379,Upgrade
5,Other Operating Expenses,-,-,-7666,60.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
6,Operating Expenses,22659,11443,168.14,9536,13357,8597,8889,9577,12838,7762,7597,7645,7746,6020,7050,5660,14002,5850,6157,4379,Upgrade
7,Operating Income,114887,26588,12531,8400,6908,4499,18971,13582,17947,7279,18298,18644,9674,13048,6641,17764,11353,-1905,13809,17456,Upgrade
8,Interest Expense,-113.41,-1512,-,-,-,-,-4173,-68.36,-501.03,-14.38,-8.21,-5.5,-,-,-66.86,-394.98,-261.63,-410.68,-516.24,-,Upgrade
9,Interest & Investment Income,-,-,-,-,-,-,68.36,4173,3112,2275,2217,1860,5110,1314,3577,1579,4936,4166,9427,5295,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,56.03,-156.9,-11.78,-2725,-,-305.24,-,-766.54,-1732,-4820,-,-5790,-,-,-,Upgrade
