,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+12 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+12 Quarters
0,Cash & Equivalents,73622,29232,303755,285128,-,279955,275069,248335,239089,148884,171108,111900,92063,29669,39838,83752,34837,7927,31085,22697,Upgrade
1,Short-Term Investments,23500,90000,5000,-,-,-,-,-,-,-,12000,12000,12000,27500,27500,22500,22500,137628,110837,154900,Upgrade
2,Trading Asset Securities,-,-,-,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,97122,119232,308755,290128,-,279955,275069,248335,239089,148884,183108,123900,104063,57169,67338,106252,57337,145555,141922,177597,Upgrade
4,Cash Growth,-,-57.41%,12.25%,16.83%,-,88.04%,50.22%,100.43%,129.75%,160.43%,171.93%,16.61%,81.49%,-60.72%,-52.55%,-40.17%,-72.87%,-,-46.86%,-23.59%,Upgrade
5,Accounts Receivable,35723,7793,41882,51489,-,68318,93887,85910,103678,60183,109237,100936,104738,26284,35740,57523,49098,32163,36987,36629,Upgrade
6,Other Receivables,25309,36663,-,34437,-,42061,5628,28734,6928,27939,18152,14106,10308,9583,8361,7686,12477,11254,14595,10019,Upgrade
7,Receivables,61032,44456,41882,85927,-,110379,99514,114644,110607,88121,127389,115042,115046,35868,44100,65208,61575,43418,51582,46648,Upgrade
8,Inventory,187305,153405,373498,365242,-,494450,503498,492781,477758,413378,397206,411225,398298,433046,395508,48067,32826,33714,27984,55511,Upgrade
9,Prepaid Expenses,2204,161.83,847.11,1307,-,4686,4963,2021,888.06,12468,338.75,14.87,76.72,103.18,122.08,131.93,203.49,159.02,156.73,278.78,Upgrade
10,Other Current Assets,42329,68657,17322,5576,-,8771,33627,7488,31976,15300,16362,17263,7537,39394,44777,76623,44554,49690,70005,56942,Upgrade
11,Total Current Assets,389993,385912,742305,748180,-,898242,916671,865268,860317,678151,724404,667445,625021,565580,551845,296283,196495,272536,291650,336976,Upgrade
12,"Property, Plant & Equipment",76459,79169,100262,79708,-,62385,63930,65379,67637,69534,8208,8661,9539,9804,9737,344869,313582,296122,258925,256249,Upgrade
13,Long-Term Investments,84711,83744,167443,167443,-,144991,144935,145092,145103,147187,155969,156274,156274,157041,158773,167154,176654,183486,180937,183486,Upgrade
14,Other Intangible Assets,23246,89.87,122.42,125.67,-,135.39,108.64,-,112.12,-,115.61,-,119.09,-,-,-,-,-,-,-,Upgrade
15,Long-Term Accounts Receivable,-,-,-,1881,-,-,-,-,-,-,-,-,-,10992,12185,14341,32908,32698,20115,14026,Upgrade
16,Long-Term Deferred Tax Assets,-,5085,450,450,-,450,450,450,450,491.7,450,705.84,705.84,450,450,450,450,450,450,450,Upgrade
17,Long-Term Deferred Charges,-,-,-,-,-,-,-,110.38,-,113.87,-,117.35,-,120.84,-,-,-,-,-,58.09,Upgrade
18,Other Long-Term Assets,941857,1004766,101158,119817,-,39875,40846,42137,38741,32537,33650,41830,42585,45967,49387,-,-,-,-,-,Upgrade
19,Total Assets,1516266,1558765,1111740,1117605,-,1146078,1166941,1118437,1112361,928014,922796,875033,834244,789955,782377,823097,720090,785291,752077,791244,Upgrade
20,Accounts Payable,12041,5256,8698,7914,-,33673,13173,17976,23508,24503,10037,11435,18597,22534,12685,18785,28768,20420,19958,20495,Upgrade
21,Accrued Expenses,53066,12930,12129,5187,-,65957,18877,20229,53032,24338,22446,23423,44859,71279,76067,38044,43171,37963,28466,24306,Upgrade
22,Short-Term Debt,-,-,112954,-,-,8126,8594,2769,6639,6062,1003,2051,3135,2739,700,1483,5576,15000,1185,1612,Upgrade
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46400,46400,46400,Upgrade
24,Current Income Taxes Payable,-,-,-,-,-,-,5384,3083,4319,2491,4291,4923,6376,642.45,4585,3352,997.22,3228,5225,11660,Upgrade
25,Current Unearned Revenue,101184,26503,25302,25936,-,183214,217083,246648,259271,130236,168708,154015,107781,17665,28616,10861,8650,11930,11930,26630,Upgrade
26,Other Current Liabilities,79598,29868,1926,138805,-,6593,58392,62992,71834,100606,58921,78008,76153,108904,102967,184527,93046,76747,66781,88332,Upgrade
27,Total Current Liabilities,245890,74557,161009,177843,-,297563,321503,353698,418604,288236,265406,273856,256901,223765,225620,257051,180208,211686,179946,219435,Upgrade
28,Long-Term Debt,-,-,-,2347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,523521,547518,-,497075,-,445981,449238,383090,324523,262690,294771,246787,238393,205963,207556,223327,211199,227089,226541,236726,Upgrade
30,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,4252,4252,3709,3709,3709,3709,3084,3084,-,-,-,-,-,Upgrade
31,Other Long-Term Liabilities,55.67,55.67,544720,55844,-,51,41,21,11,-,-,-,-,-,-,-,-,-,-,0,Upgrade
32,Total Liabilities,769467,622131,705729,733110,-,743596,770782,741061,747389,554635,563885,524352,499002,432812,436260,480377,391407,438775,406487,456161,Upgrade
33,Common Stock,303048,303048,107000,107000,-,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,107000,Upgrade
34,Additional Paid-In Capital,69279,69279,69279,69279,-,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,69279,Upgrade
35,Retained Earnings,359205,549040,217303,182290,-,185675,179043,159660,146955,156484,161357,153922,138483,161651,150762,148404,134392,153029,152567,147951,Upgrade
36,Treasury Stock,-1408,-1408,-1408,-1408,-,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,-1408,Upgrade
37,Comprehensive Income & Other,16675,16675,-,13880,-,11280,11280,11280,11280,9067,9039,9039,9039,6665,6665,6678,6678,4405,4418,-,Upgrade
38,Total Common Equity,746799,936634,392175,371042,-,371826,365195,345811,333106,340423,345267,337832,322393,343187,332299,329953,315942,332305,331857,322823,Upgrade
39,Minority Interest,-,-,13836,13454,-,30656,30964,31565,31865,32957,13644,12849,12849,13956,13818,12767,12741,14210,13733,12261,Upgrade
40,Shareholders' Equity,746799,936634,406011,384495,-,402482,396159,377376,364972,373380,358911,350682,335242,357143,346117,342720,328683,346515,345590,335084,Upgrade
