,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,867,169,120,131,251,582,925,947,1061,1813,1573
1,Market Cap Growth,28.70%,28.70%,-52.27%,-77.45%,-72.84%,-38.53%,-12.87%,-47.76%,-32.56%,133.82%,48.39%
2,Enterprise Value,834,107,104,62,166,382,754,771,992,1646,1382
3,Last Close Price,0.76,0.15,0.10,0.12,0.22,0.51,0.75,0.77,0.83,1.42,1.22
4,PE Ratio,-,-,-,-,-,-,-,30.48,31.64,33.98,40.71
5,PS Ratio,2.40,0.47,0.34,0.36,0.66,1.39,2.03,2.06,2.45,3.86,3.12
6,PB Ratio,2.92,0.55,0.38,0.42,0.74,1.56,1.93,2.00,2.12,4.01,3.39
7,P/TBV Ratio,0.57,0.57,0.40,0.44,0.78,1.62,2.00,2.07,2.19,4.15,3.51
8,P/FCF Ratio,40.50,-,5.81,-,-6.36,-,15.17,-,24.51,-,-932.57
9,P/OCF Ratio,7.37,-,5.52,-,-7.25,-,13.83,-,18.90,-,153.67
10,EV/Sales Ratio,2.31,0.30,0.29,0.17,0.43,0.91,1.66,1.68,2.29,3.50,2.74
11,EV/EBITDA Ratio,33.98,21.98,-12.28,-,-,-,71.70,19.82,23.78,22.74,22.35
12,EV/EBIT Ratio,246.70,-,-7.71,-,-,-,-,29.33,31.37,25.52,25.98
13,EV/FCF Ratio,38.94,-,5.05,-,-4.19,-,12.37,-,22.91,-,-819.05
14,Debt / Equity Ratio,0.18,0.18,0.24,0.27,0.21,0.22,0.14,0.18,0.17,0.23,0.21
15,Debt / FCF Ratio,2.62,-,3.65,-,-1.80,-,1.09,-,2.01,-,-57.06
16,Return on Capital Employed (ROCE),0.13%,-,-3.89%,-,-,-,-,5.24%,5.88%,12.86%,10.50%
17,Earnings Yield,-0.88%,-4.53%,-15.72%,-32.64%,-24.87%,-6.46%,0.32%,3.28%,3.16%,2.94%,2.46%
18,FCF Yield,2.47%,12.68%,17.22%,-13.30%,-15.72%,4.35%,6.59%,4.57%,4.08%,0.87%,-0.11%
19,Buyback Yield / Dilution,-,-,-,0.84%,0.94%,0.51%,0.36%,0.50%,-1.43%,-1.49%,
20,Total Shareholder Return,-,-,-,0.84%,0.94%,0.51%,0.36%,0.50%,-1.43%,-1.49%,
