,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,6992,6368,6421,7955,5457,7732,6173,7723,7560,7475,Upgrade
1,Short-Term Investments,-,44.49,-,-,2978,1264,1718,771.12,-,1170,Upgrade
2,Cash & Short-Term Investments,6992,6413,6421,7955,8436,8996,7891,8494,7560,8645,Upgrade
3,Cash Growth,8.90%,-19.39%,-23.88%,-11.57%,6.90%,5.91%,4.38%,-1.75%,-27.90%,-20.58%,Upgrade
4,Accounts Receivable,2134,1884,1587,1849,2003,2675,3468,2802,1745,2500,Upgrade
5,Other Receivables,633.2,190.96,748.33,257.04,786.95,255.37,645.95,253.76,1563,265.57,Upgrade
6,Receivables,2767,2075,2335,2106,2790,2930,4114,3056,3308,2907,Upgrade
7,Inventory,72.7,266.06,168.11,156.57,229.74,297.37,135.36,650.44,354.8,246.16,Upgrade
8,Prepaid Expenses,-,24.1,-,8.32,-,33.5,-,33.06,-,270.84,Upgrade
9,Other Current Assets,14.86,14.94,2.94,3.04,24.79,-,1546,256.85,38.87,35.06,Upgrade
10,Total Current Assets,9847,8793,8927,10228,11480,12257,13686,12490,11262,12104,Upgrade
11,"Property, Plant & Equipment",25111,25560,24378,25560,26472,26504,27418,28537,26096,27089,Upgrade
12,Long-Term Investments,5251,5304,5229,5348,5640,6603,5551,5592,5499,5498,Upgrade
13,Goodwill,43.12,43.43,42.69,44.06,-,-,-,-,-,-,Upgrade
14,Other Intangible Assets,137.78,151.1,110.81,123.08,84.45,88.06,75.93,84.87,68.97,68.14,Upgrade
15,Long-Term Deferred Tax Assets,80.89,61.99,48.64,44.38,23.9,26.22,115.76,120.29,53.77,54.91,Upgrade
16,Other Long-Term Assets,718.74,705.82,749.86,862.79,777.55,823.62,819.42,820.2,-,-,Upgrade
17,Total Assets,41190,40620,39486,42211,44477,46302,47666,47644,42979,44813,Upgrade
18,Accounts Payable,2134,1694,1277,1653,1876,2358,2117,2124,1627,1697,Upgrade
19,Accrued Expenses,-,150.33,-,153.05,-,134.16,-,143.92,-,109.18,Upgrade
20,Short-Term Debt,1029,993.14,733.75,2992,3342,3241,3250,1587,1195,1189,Upgrade
21,Current Portion of Long-Term Debt,735.27,906.06,1039,1026,1922,2005,1541,4002,4281,3249,Upgrade
22,Current Portion of Leases,219.36,164.43,138.07,177.49,240.68,220.59,338.26,348.37,279.25,294.95,Upgrade
23,Current Income Taxes Payable,142.36,65.06,155.28,108.4,156.7,96.46,159.3,128.33,133.27,78.47,Upgrade
24,Current Unearned Revenue,187.11,280.12,-,271.52,-,260.61,-,307.16,-,274.26,Upgrade
25,Other Current Liabilities,2066,1334,2229,1418,2346,1736,3229,2011,1967,1444,Upgrade
26,Total Current Liabilities,6513,5588,5572,7799,9883,10051,10634,10652,9482,8335,Upgrade
27,Long-Term Debt,3511,3807,4187,4272,3949,5088,6617,6776,6233,8996,Upgrade
28,Long-Term Leases,358.06,425.02,175.26,210.91,303.37,405.9,497.63,846.23,674.66,690.02,Upgrade
29,Long-Term Unearned Revenue,-,309.73,-,44.15,-,-,-,-,-,-,Upgrade
30,Long-Term Deferred Tax Liabilities,206.23,205.96,214.61,230.29,163.72,184.05,203.17,268.83,217.04,261.89,Upgrade
31,Other Long-Term Liabilities,262.39,0.53,54.11,0.54,45.47,43.9,37.44,37.1,25.19,26.82,Upgrade
32,Total Liabilities,10850,10336,10203,12557,14345,15773,17989,18580,16631,18310,Upgrade
33,Common Stock,615.8,615.8,615.8,615.8,615.8,615.8,615.8,615.8,615.8,615.8,Upgrade
34,Additional Paid-In Capital,10292,10292,10292,10292,10292,10292,10292,10292,10292,10292,Upgrade
35,Retained Earnings,11511,11384,11139,10802,10743,10824,10318,10155,9893,9671,Upgrade
36,Comprehensive Income & Other,-8772,-8681,-8889,-8465,-7974,-7295,-7491,-7580,-8657,-8390,Upgrade
37,Total Common Equity,13647,13610,13157,13244,13676,14436,13735,13482,12144,12188,Upgrade
38,Minority Interest,16693,16673,16126,16409,16456,16092,15942,15582,14204,14315,Upgrade
39,Shareholders' Equity,30340,30284,29283,29654,30133,30529,29677,29064,26347,26504,Upgrade
40,Total Liabilities & Equity,41190,40620,39486,42211,44477,46302,47666,47644,42979,44813,Upgrade
41,Total Debt,5852,6296,6273,8679,9758,10960,12244,13559,12662,14418,Upgrade
42,Net Cash (Debt),1140,116.76,147.88,-724.36,-1322,-1964,-4353,-5066,-5103,-5773,Upgrade
43,Net Cash Growth,671.06%,-,-,-,-,-,-,-,-,-,Upgrade
44,Net Cash Per Share,0.19,0.02,0.02,-0.12,-0.21,-0.32,-0.71,-0.82,-0.83,-0.94,Upgrade
45,Filing Date Shares Outstanding,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,Upgrade
46,Total Common Shares Outstanding,6158,6158,6158,6158,6158,6158,6158,6158,6158,6158,Upgrade
47,Working Capital,3335,3205,3355,2429,1597,2206,3052,1838,1780,3768,Upgrade
48,Book Value Per Share,2.22,2.21,2.14,2.15,2.22,2.34,2.23,2.19,1.97,1.98,Upgrade
49,Tangible Book Value,13466,13416,13003,13077,13592,14348,13659,13398,12075,12120,Upgrade
50,Tangible Book Value Per Share,2.19,2.18,2.11,2.12,2.21,2.33,2.22,2.18,1.96,1.97,Upgrade
51,Buildings,-,10274,-,10372,-,10857,-,10636,-,9382,Upgrade
52,Machinery,-,9095,-,8749,-,9427,-,10880,-,9805,Upgrade
53,Construction In Progress,-,1108,-,1040,-,393.98,-,1091,-,1743,Upgrade
54,Leasehold Improvements,-,518.23,-,500.02,-,506.07,-,668.59,-,594.41,Upgrade
