,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,169112,161785,168173,128267,130110,121386,125787,97623,132696,185215,441359,138403,132617,130788,108486,145590,131078,127798,91672,109598,Upgrade
1,Revenue Growth (YoY),29.98%,33.28%,33.70%,31.39%,-1.95%,-34.46%,-71.50%,-29.47%,0.06%,41.61%,306.84%,-4.94%,1.17%,2.34%,18.34%,32.84%,19.69%,59.61%,-30.28%,14.51%,Upgrade
2,Cost of Revenue,133928,128059,125418,98394,105416,96999,91232,90693,90857,139540,389959,102035,103377,99808,86124,128313,109394,111167,72388,94173,Upgrade
3,Gross Profit,35184,33726,42755,29873,24693,24388,34555,6930,41839,45675,51400,36369,29240,30980,22362,17276,21684,16631,19284,15425,Upgrade
4,"Selling, General & Admin",37666,38291,39267,32540,41209,35680,21700,35678,67078,57566,58973,55118,46221,44038,13479,12633,14117,11020,12780,13568,Upgrade
5,Operating Expenses,37666,38291,39267,32540,41209,35680,21700,35678,67078,57566,58973,55118,46221,44038,13479,12633,14117,11020,12780,13568,Upgrade
6,Operating Income,-2482,-4566,3488,-2667,-16516,-11293,12855,-28748,-25239,-11891,-7573,-18749,-16981,-13059,8884,4643,7567,5610,6505,1857,Upgrade
7,Interest Expense,-1514,-1408,-1422,-3265,-5101,-3478,-1706,-1509,-42517,-1005,-46547,-2143,-141118,-1061,-234.82,-186.04,-173.53,-177.46,-382.14,-415.4,Upgrade
8,Interest & Investment Income,22563,15287,16504,3337,16862,23843,23862,582.1,-,11249,-,44565,-,17326,133154,114.9,127.58,2384,1285,949.75,Upgrade
9,Earnings From Equity Investments,-1115,-2931,-2713,-2291,-3508,-2836,-2908,-3354,-4928,-2725,-1760,-2234,-1317,-1204,-4952,-3939,-5902,-1673,834.34,585.96,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,695.6,-,-,-,289.99,-1729,-,-229.61,125.92,691.86,-,241.07,678.43,631.64,-,-,386.81,Upgrade
11,Other Non Operating Income (Expenses),-1516,-1504,1037,1613,-1513,194.97,1090,34.43,420.16,-12196,758.14,-54.21,-84217,-394.61,-972.18,-0,386.87,-54.86,-973.27,-79.43,Upgrade
12,EBT Excluding Unusual Items,15936,4877,16894,-2577,-9777,6431,33194,-32704,-73993,-16568,-55351,21510,-242941,1607,136120,1311,2637,6090,7268,3285,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,14663,-,-,-,10268,33071,-,48979,4672,166739,-,-96292,1849,1808,-,-,115.54,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,30,-,84515,-,35,-,1.82,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84480,-,-,-,-,-,Upgrade
16,Pretax Income,15936,4877,16894,12086,-9777,6431,33194,-22436,-40922,-16568,-6342,26181,8312,1607,124343,3160,4447,6090,7268,3400,Upgrade
17,Income Tax Expense,4164,4209,6123,5275,4299,4652,7795,1845,-3773,1354,1527,9664,2288,-713.81,1481,2312,3152,-396.73,1315,346.29,Upgrade
18,Earnings From Continuing Operations,11772,668.49,10771,6811,-14076,1778,25399,-24280,-37149,-17921,-7869,16517,6024,2321,122862,847.99,1294,6486,5953,3054,Upgrade
