,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,30595,23722,17310,22572,18486,-,11505,12521,17333,30051,142901,25891,20443,27218,21274,-,17626,14706,12282,6431,Upgrade
1,Short-Term Investments,16200,93237,92909,98343,329475,-,111734,112868,117709,864510,402706,316706,82396,224087,182963,-,625948,145614,99114,74280,Upgrade
2,Trading Asset Securities,75705,76880,76634,75401,75377,-,75363,75315,75306,908.86,57060,57204,240842,224098,249209,-,171077,155063,155049,173468,Upgrade
3,Cash & Short-Term Investments,122500,193839,186853,196316,423338,-,198602,200704,210348,895470,602667,399801,343682,475403,453446,814652,814652,315383,266445,254179,Upgrade
4,Cash Growth,-71.06%,-,-5.92%,-2.19%,101.26%,-,-67.05%,-49.80%,-38.80%,88.36%,32.91%,-50.92%,-57.81%,50.74%,70.18%,220.50%,241.27%,19.42%,6.25%,3.02%,Upgrade
5,Accounts Receivable,70686,36046,51423,39163,44420,-,38641,71634,167565,426325,649700,530968,125164,366018,329160,-,56174,28384,30710,47273,Upgrade
6,Other Receivables,1226244,1127782,1166817,1204747,1264089,-,1082449,995589,948984,105034,28464,26009,448148,20569,19864,-,12616,11473,10370,14007,Upgrade
7,Receivables,1332280,1194178,1228241,1282310,1318509,-,1206736,1160822,1210149,531359,678164,556977,573313,386587,349024,-,68790,39858,41080,61280,Upgrade
8,Inventory,71232,48168,62553,51425,62014,-,88737,64478,70612,81048,66996,56612,60505,77570,77282,-,46130,40648,47012,65670,Upgrade
9,Prepaid Expenses,1918,1259,2870,1246,1433,-,5854,6888,8444,6264,1899,3081,2395,2390,2774,-,2741,3417,2953,3311,Upgrade
10,Other Current Assets,79662,115477,113170,49684,45206,-,45730,45955,35809,34036,44952,30532,34947,29225,29973,-,18782,11849,36889,37513,Upgrade
