,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,998.8,1753,-,1331,-,1339,1223,973.01,1001,999.54,Upgrade
1,Revenue Growth (YoY),-,31.70%,-,-0.60%,-,37.63%,22.10%,-2.65%,14.74%,3.76%,Upgrade
2,"Selling, General & Admin",188.92,168.69,-,172.06,-,193.98,209.36,140.95,172.22,162.83,Upgrade
3,Provision for Bad Debts,0.7,-,-,0.56,-,-,-0.21,-5.28,-17.7,10.43,Upgrade
4,Other Operating Expenses,335.04,901.16,-,510.59,-,542.64,541.52,334.36,406.28,357.09,Upgrade
5,Total Operating Expenses,524.66,1070,-,683.22,-,736.62,750.66,470.04,560.33,530.82,Upgrade
6,Operating Income,474.14,683.4,-,647.98,-,602.57,471.86,502.98,440.88,468.72,Upgrade
7,Interest Expense,-343.38,-340.56,-,-312.85,-,-257,-237.87,-208.26,-201.85,-202.58,Upgrade
8,Interest Income,-25.59,25.59,-,10.81,-,10.51,4.45,11.67,5.91,5.06,Upgrade
9,Net Interest Expense,-368.97,-314.98,-,-302.04,-,-246.49,-233.42,-196.59,-195.94,-197.52,Upgrade
10,Income (Loss) on Equity Investments,74.98,102.67,-,144.05,-,111.45,32.69,119.82,24.47,89.81,Upgrade
11,Currency Exchange Gain (Loss),3.92,-4.06,-,11.54,-,1.32,0.31,-1.65,22.97,-1.14,Upgrade
12,Other Non-Operating Income (Expenses),134.99,48.66,-,28.05,-,13.51,-94.51,-26.53,-3.18,8.81,Upgrade
13,EBT Excluding Unusual Items,319.07,515.69,-,529.58,-,482.37,176.92,398.03,289.2,368.68,Upgrade
14,Gain (Loss) on Sale of Investments,-4.14,5.79,-,13.09,-,28.37,0.92,49.98,33.74,12.74,Upgrade
15,Gain (Loss) on Sale of Assets,30.49,-0.13,-,1.38,-,2.39,262.55,-3.18,36.76,44.93,Upgrade
16,Asset Writedown,-,-,-,-,-,-,-,-,-23.43,-,Upgrade
17,Legal Settlements,-,-,-,-,-,-,25.84,-,-,-,Upgrade
18,Other Unusual Items,-,-,-,-,-,-,28.52,-,2.2,-2.2,Upgrade
19,Pretax Income,345.41,521.36,-,544.04,-,513.13,494.77,444.83,338.48,424.15,Upgrade
20,Income Tax Expense,17.29,-26.1,-,44.18,-,42.93,94.71,27.03,35.84,42.58,Upgrade
21,Earnings From Continuing Ops.,328.12,547.46,-,499.86,-,470.2,400.06,417.8,302.64,381.57,Upgrade
22,Earnings From Discontinued Ops.,-,-,-,11.37,-,-,-,-,-,-,Upgrade
23,Net Income to Company,328.12,547.46,-,511.23,-,470.2,400.06,417.8,302.64,381.57,Upgrade
24,Minority Interest in Earnings,-24.35,-46.09,-,-14.93,-,-27.02,-16.87,-13.46,-8.62,-2.18,Upgrade
25,Net Income,303.76,501.37,-,496.3,-,443.18,383.19,404.34,294.02,379.39,Upgrade
26,Net Income to Common,303.76,501.37,-,496.3,-,443.18,383.19,404.34,294.02,379.39,Upgrade
27,Net Income Growth,-,1.02%,-,11.99%,-,9.60%,30.33%,6.58%,43.38%,-4.97%,Upgrade
28,Shares Outstanding (Basic),7973,8032,-,8511,-,8847,8415,8235,8211,8249,Upgrade
29,Shares Outstanding (Diluted),7983,8047,-,8543,-,8890,8474,8306,9180,9163,Upgrade
30,Shares Change (YoY),-,-5.81%,-,-3.90%,-,7.03%,-7.69%,-9.36%,-0.96%,1.02%,Upgrade
31,EPS (Basic),0.04,0.06,-,0.06,-,0.05,0.05,0.05,0.04,0.05,Upgrade
32,EPS (Diluted),0.04,0.06,-,0.06,-,0.05,0.05,0.05,0.04,0.04,Upgrade
33,EPS Growth,-,7.17%,-,16.50%,-,2.46%,27.41%,12.98%,51.62%,-5.12%,Upgrade
34,Free Cash Flow,-,-1696,-,-1247,-,-456.2,-718.47,-966.48,-90.44,-252.14,Upgrade
35,Free Cash Flow Per Share,-,-0.21,-,-0.15,-,-0.05,-0.08,-0.12,-0.01,-0.03,Upgrade
36,Profit Margin,30.41%,28.60%,-,37.28%,-,33.09%,31.34%,41.56%,29.37%,37.96%,Upgrade
37,Free Cash Flow Margin,-,-96.72%,-,-93.69%,-,-34.07%,-58.77%,-99.33%,-9.03%,-25.23%,Upgrade
38,EBITDA,700.47,1131,-,970.46,-,892.19,694.67,731.33,647.88,757.06,Upgrade
39,D&A For EBITDA,226.33,448,348.06,322.48,261.9,289.62,222.8,228.35,207,288.34,Upgrade
40,EBIT,474.14,683.4,-,647.98,-,602.57,471.86,502.98,440.88,468.72,Upgrade
