,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 3, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,102,104,87,85,87,92,132,137,95,246,305,Upgrade
1,Market Cap Growth,21.31%,21.31%,0%,-7.58%,-34.04%,-32.65%,38.24%,-44.32%,-68.81%,-31.25%,-20.44%,Upgrade
2,Enterprise Value,19,-1,-13,1,35,41,67,86,47,222,274,Upgrade
3,Last Close Price,0.36,0.37,0.30,0.29,0.28,0.30,0.42,0.44,0.31,0.79,0.98,Upgrade
4,PE Ratio,12.17,12.30,9.63,4.95,4.05,2.64,3.95,6.40,8.79,-,-,Upgrade
5,PS Ratio,0.06,0.06,0.04,0.05,0.05,0.05,0.06,0.07,0.08,0.60,0.69,Upgrade
6,PB Ratio,0.62,0.63,0.53,0.54,0.55,0.64,0.96,1.22,0.91,2.79,3.23,Upgrade
7,P/TBV Ratio,0.63,0.63,0.53,0.54,0.55,0.64,0.96,1.22,0.91,2.79,3.23,Upgrade
8,P/FCF Ratio,-,-,2.72,1.83,2.83,-,-,6.74,3.19,11.49,-,Upgrade
9,P/OCF Ratio,-,-,2.72,1.83,2.82,-,-,6.68,3.14,9.81,13.26,Upgrade
10,EV/Sales Ratio,0.01,-,-,0.00,0.02,0.02,0.03,0.05,0.04,0.54,0.62,Upgrade
11,EV/EBITDA Ratio,1.60,-,-,0.05,1.44,0.99,1.66,3.84,4.77,-,-,Upgrade
12,EV/EBIT Ratio,2.16,-,-,0.06,1.48,1.01,1.70,4.00,5.20,-,-,Upgrade
13,EV/FCF Ratio,-2.90,-,-,0.02,1.15,-,-,4.25,1.57,10.35,-,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.04,0.00,0.01,0.09,0.03,0.05,0.06,0.05,0.06,Upgrade
15,Debt / FCF Ratio,-,-,0.20,0.01,0.06,-,-,0.27,0.22,0.19,-,Upgrade
16,Return on Capital Employed (ROCE),5.30%,5.30%,6.68%,12.98%,14.98%,27.67%,28.39%,18.63%,8.29%,-,-,Upgrade
17,Earnings Yield,8.24%,8.13%,10.38%,20.20%,24.71%,37.86%,25.29%,15.63%,11.38%,-3.46%,-1.64%,Upgrade
18,FCF Yield,-6.49%,-6.32%,36.70%,54.72%,35.33%,-14.38%,0.52%,14.84%,31.38%,8.71%,6.11%,Upgrade
19,Total Shareholder Return,4.11%,-,-,-,-,-,-,-,-,-,-,Upgrade
