,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4700,4420,3880,4640,5420,5180,6400,4280,3500,3220,3620
1,Market Cap Growth,-4.74%,-4.74%,-28.41%,-10.42%,-15.31%,21.03%,82.86%,32.92%,-3.31%,-12.50%,9.04%
2,Enterprise Value,13622,11320,7971,7184,6342,7710,9112,7598,1828,1704,2192
3,Last Close Price,2.35,2.05,1.80,2.15,2.31,2.03,2.50,1.68,1.24,1.14,1.15
4,PE Ratio,9.94,8.69,6.71,6.34,6.13,5.20,6.11,3.86,4.75,6.15,5.43
5,PS Ratio,0.65,0.61,0.63,1.19,1.64,2.13,2.61,1.68,1.74,1.79,1.98
6,PB Ratio,0.75,0.69,0.58,0.74,0.84,0.85,1.54,1.21,1.02,0.82,0.65
7,P/TBV Ratio,-,-,-,-,-,-,-,-,-,2.77,-
8,P/FCF Ratio,-,-,-,-,-,-,4.30,2.68,2.85,3.27,2.98
9,P/OCF Ratio,6.42,6.42,3.65,5.52,6.56,3.65,3.87,2.51,2.59,2.46,2.36
10,EV/Sales Ratio,1.88,1.56,1.29,1.85,1.91,3.18,3.72,2.99,0.91,0.95,1.20
11,EV/EBITDA Ratio,14.13,12.32,7.47,5.63,4.10,4.33,4.66,3.64,1.18,1.27,1.55
12,EV/EBIT Ratio,20.06,17.68,10.48,7.31,5.23,5.41,5.93,4.68,1.69,2.10,2.21
13,EV/FCF Ratio,-3.10,-,-,-,-,-,6.13,4.76,1.49,1.73,1.81
14,Debt / Equity Ratio,1.53,1.53,1.19,0.82,0.67,0.53,0.78,0.97,1.15,0.05,0.40
15,Debt / FCF Ratio,-,-,-,-,-,-,2.19,2.16,3.23,0.18,1.82
16,Return on Capital Employed (ROCE),4.02%,4.02%,5.40%,8.89%,11.52%,15.74%,21.85%,24.69%,15.85%,19.94%,13.34%
17,Earnings Yield,10.82%,11.51%,14.91%,15.77%,16.30%,19.24%,16.37%,25.88%,21.06%,16.27%,18.41%
18,FCF Yield,-93.46%,-99.38%,-98.45%,-44.57%,-15.89%,12.58%,23.24%,37.29%,35.06%,30.58%,33.52%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-2.46%,
20,Total Shareholder Return,7.00%,-,-,-,-,-,-,-,-,-,-2.46%
