,Fiscal Quarter,Current,Q1 2020,Q4 2019,Q1 2019,Q4 2018
,Period Ending,"Mar '25 Mar 12, 2025","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018"
0,Market Capitalization,1206000,735000,-,-,-
1,Enterprise Value,709681,709681,-,-,-
2,Last Close Price,40200.00,15918.83,19427.47,-,-
3,PE Ratio,12.35,9.58,-,-,-
4,PS Ratio,3.57,2.19,-,-,-
5,PB Ratio,2.18,1.33,-,-,-
6,P/FCF Ratio,5.36,3.65,-,-,-
7,P/OCF Ratio,2.73,3.65,-,-,-
8,EV/Sales Ratio,2.10,2.12,-,-,-
9,EV/EBITDA Ratio,5.05,7.77,-,-,-
10,EV/EBIT Ratio,6.24,7.76,-,-,-
11,EV/FCF Ratio,2.64,3.53,-,-,-
12,Debt / Equity Ratio,0.02,0.02,0.02,-,-
13,Debt / EBITDA Ratio,0.07,0.08,0.09,-,-
14,Debt / FCF Ratio,0.04,0.05,-,-,-
15,Asset Turnover,0.30,-,-,-,
16,Inventory Turnover,-,17.44,-,-,-
17,Quick Ratio,0.62,0.62,0.41,-,0.55
18,Current Ratio,1.13,1.13,1.09,-,1.27
19,Return on Equity (ROE),15.44%,-,16.45%,-,
20,Return on Assets (ROA),6.12%,-,-,-,
21,Return on Capital (ROIC),11.61%,-,12.62%,-,
22,Earnings Yield,8.10%,10.44%,-,-,-
23,FCF Yield,18.65%,27.37%,-,-,-
