,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,54.16,47.79,23.39,35.98,27.71,30.65,46.32,35.36,44.04,81,Upgrade
1,Revenue Growth (YoY),131.60%,32.83%,-15.61%,17.38%,-40.17%,-13.30%,5.17%,-56.35%,-69.95%,-47.34%,Upgrade
2,Cost of Revenue,42.68,36.76,18.56,26.89,20.62,27.22,35.69,27.13,43.07,64.34,Upgrade
3,Gross Profit,11.48,11.03,4.83,9.09,7.09,3.43,10.63,8.23,0.97,16.66,Upgrade
4,"Selling, General & Admin",18.7,17.7,11.14,9.37,8.79,17.15,15.57,12.79,17.38,15.96,Upgrade
5,Operating Expenses,18.7,17.7,11.14,9.37,8.79,17.15,15.57,12.79,17.38,15.96,Upgrade
6,Operating Income,-7.22,-6.67,-6.31,-0.28,-1.7,-13.72,-4.94,-4.56,-16.41,0.71,Upgrade
7,Interest Expense,-0.21,-0.13,-0,-0,-0.02,-0.07,-0.09,-0.11,-0.06,-0.03,Upgrade
8,Interest & Investment Income,0.44,0.28,-,0,0,0.02,0.01,0,0.01,0.05,Upgrade
9,Currency Exchange Gain (Loss),-0.26,18.71,2.08,5.11,-0.53,-0.62,-0.05,-0.49,-0.46,-0.7,Upgrade
10,Other Non Operating Income (Expenses),-0.72,1.29,0.09,-2.03,0.02,-3.03,0,-0.46,0.15,0.01,Upgrade
11,EBT Excluding Unusual Items,-7.96,13.48,-4.15,2.79,-2.22,-17.43,-5.07,-5.61,-16.76,0.04,Upgrade
12,Impairment of Goodwill,-,-2.53,-,-,-,-,-,-,-,-,Upgrade
13,Gain (Loss) on Sale of Assets,9.11,-,-,-,-,-,-,-,-,-,Upgrade
14,Asset Writedown,-,-,-,-3.62,-,-0,-,-2.72,-,-,Upgrade
15,Other Unusual Items,-,-,-,0.01,0.11,0.13,-,0.19,-,-,Upgrade
16,Pretax Income,1.15,10.94,-4.15,-0.81,-2.11,-17.3,-5.07,-8.13,-16.76,0.04,Upgrade
17,Income Tax Expense,0.08,-0.03,-,-1.49,-,-0.36,0.36,0.52,1.21,-2.25,Upgrade
18,Earnings From Continuing Operations,1.07,10.97,-4.15,0.68,-2.11,-16.95,-5.43,-8.66,-17.97,2.28,Upgrade
19,Net Income,1.07,10.97,-4.15,0.68,-2.11,-16.95,-5.43,-8.66,-17.97,2.28,Upgrade
20,Net Income to Common,1.07,10.97,-4.15,0.68,-2.11,-16.95,-5.43,-8.66,-17.97,2.28,Upgrade
21,Net Income Growth,-,1523.08%,-,-,-,-,-,-,-,-86.83%,Upgrade
22,Shares Outstanding (Basic),1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,Upgrade
23,Shares Outstanding (Diluted),1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,Upgrade
24,EPS (Basic),0.00,0.01,-0.00,0.00,-0.00,-0.02,-0.00,-0.01,-0.02,0.00,Upgrade
25,EPS (Diluted),0.00,0.01,-0.00,0.00,-0.00,-0.02,-0.00,-0.01,-0.02,0.00,Upgrade
26,EPS Growth,-,1523.86%,-,-,-,-,-,-,-,-86.84%,Upgrade
27,Free Cash Flow,-17.76,29.88,-1.05,4.1,-18.18,2.42,15.09,-12.44,-21.32,-19.38,Upgrade
28,Free Cash Flow Per Share,-0.02,0.03,-0.00,0.00,-0.02,0.00,0.01,-0.01,-0.02,-0.02,Upgrade
29,Operating Margin,-13.33%,-13.96%,-26.97%,-0.79%,-6.13%,-44.77%,-10.67%,-12.90%,-37.26%,0.87%,Upgrade
30,Profit Margin,1.98%,22.96%,-17.73%,1.88%,-7.62%,-55.29%,-11.72%,-24.48%,-40.79%,2.82%,Upgrade
31,Free Cash Flow Margin,-32.79%,62.52%,-4.47%,11.40%,-65.60%,7.90%,32.57%,-35.18%,-48.40%,-23.92%,Upgrade
32,EBITDA,-7.1,-6.63,-6.2,-0.08,-1.34,-13.35,-4.59,-4.19,-16.13,0.98,Upgrade
33,D&A For EBITDA,0.12,0.04,0.1,0.2,0.36,0.38,0.35,0.37,0.28,0.27,Upgrade
34,EBIT,-7.22,-6.67,-6.31,-0.28,-1.7,-13.72,-4.94,-4.56,-16.41,0.71,Upgrade
