,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2574,2232,2124,2719,3625,4491,3951,4391,4925,3420,3876,3853,6023,4475,5971,5134,5463,-,-,-
1,Market Cap Growth,-50.29%,-50.29%,-46.25%,-38.08%,-26.40%,31.32%,1.94%,13.94%,-18.22%,-23.59%,-35.08%,-24.95%,10.24%,-,-,-,-,-,-,-
2,Enterprise Value,3231,2856,2525,2839,3745,4514,3892,4000,4535,2992,3576,3272,5442,3844,5192,5075,5404,-,-,-
3,Last Close Price,15.98,13.86,13.18,16.83,22.44,27.80,24.36,26.34,29.55,20.52,23.25,22.69,35.47,26.45,35.29,30.33,32.27,-,-,-
4,PE Ratio,92.79,79.57,-,36.82,65.81,53.67,38.22,-,48.99,44.80,-,35.62,36.86,21.92,26.42,19.97,24.77,-,-,-
5,Forward PE,51.55,19.34,18.83,17.49,26.25,25.45,21.74,21.08,28.26,24.38,20.85,19.20,19.13,-,-,-,-,-,-,-
6,PS Ratio,2.46,2.11,2.12,2.77,4.00,4.74,4.18,5.05,5.76,4.38,5.33,5.12,7.34,5.49,7.14,5.79,6.76,-,-,-
7,PB Ratio,1.39,1.20,1.14,1.46,1.93,2.42,2.13,2.40,2.57,1.77,2.04,2.16,3.42,2.59,3.55,2.89,3.20,-,-,-
8,P/TBV Ratio,1.30,1.30,1.24,1.58,2.09,2.62,2.32,2.61,2.79,1.93,2.20,2.32,3.67,2.77,3.73,3.03,3.37,-,-,-
9,P/FCF Ratio,-,-6.00,-,-,-,-,-,-,-,-,-18.55,-,-,-,-,-58.62,-,-,-,-
10,P/OCF Ratio,-,-25.27,-,-,-,75.41,816.89,-,-,128.97,1113.78,-845.35,-,-,58.32,36.42,-,-,-,-
11,EV/Sales Ratio,3.06,2.70,2.52,2.89,4.13,4.76,4.12,4.60,5.30,3.83,4.91,4.35,6.63,4.72,6.21,5.73,6.69,-,-,-
12,EV/EBITDA Ratio,25.68,25.50,24.66,22.22,36.78,33.62,25.43,34.23,34.04,33.72,42.96,25.27,28.76,15.55,18.72,16.78,20.01,-,-,-
13,EV/EBIT Ratio,65.45,55.42,-,39.53,-,53.40,36.91,-,49.50,60.72,-,34.70,-,17.75,20.92,18.44,22.12,-,-,-
14,EV/FCF Ratio,-8.68,-7.67,-,-,-,-,-,-,-,-,-17.11,-,-,-,-,-57.94,-,-,-,-
15,Debt / Equity Ratio,0.65,0.65,0.59,0.57,0.56,0.53,0.50,0.51,0.48,0.48,0.46,0.24,0.26,0.20,0.20,0.07,0.02,-,0.05,0.13
16,Debt / EBITDA Ratio,9.59,5.98,14.86,7.65,12.22,6.01,5.45,26.75,4.42,3.88,35.74,4.33,16.66,1.57,1.66,0.37,0.12,-,0.12,0.38
17,Debt / FCF Ratio,-,-3.24,-,-,-,-,-,-,-,-,-4.15,-,-,-,-,-1.45,-,-,0.32,1.09
18,Asset Turnover,0.35,0.27,0.26,0.33,0.32,0.27,0.18,0.39,0.32,0.20,0.21,0.39,0.34,0.29,0.37,-,-,-,-,
