,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,357.86,195.87,224.14,202.25,292.22,185.03,149.16,240.96,275.28,123.23,135.14,188.4,220.52,150.18,203.51,189.07,244.19,197.62,125.68
1,Other Revenue,-46.36,46.36,-,77.08,-34.89,34.89,-,80.94,-21.47,21.47,-,58.16,-19.22,19.22,-,51.67,-21.55,21.55,-
2,Revenue,311.5,242.23,224.14,279.33,257.32,219.92,149.16,321.9,253.81,144.7,135.14,246.55,201.31,169.4,203.51,240.74,222.64,219.17,125.68
3,Revenue Growth (YoY),21.05%,10.14%,50.26%,-13.23%,1.39%,51.98%,10.38%,30.56%,26.08%,-14.58%,-33.60%,2.42%,-9.58%,-22.71%,61.93%,-,-,-,-
4,Cost of Revenue,230.32,179.43,162.63,212.7,182.61,159.28,117.79,214.61,157.35,113.9,97.35,182.11,120.56,94.39,105.85,129.4,110.04,119.58,66.76
5,Gross Profit,81.18,62.8,61.51,66.63,74.71,60.64,31.38,107.29,96.46,30.81,37.79,64.45,80.74,75.02,97.66,111.34,112.6,99.59,58.92
6,"Selling, General & Admin",28.78,28.98,22.71,28.67,20.57,20.94,18.72,21.4,19.08,15.53,14.87,22.89,13.04,15.76,13.1,21.7,12.42,15.98,7.94
7,Research & Development,32.51,20.59,25.13,22.12,24.46,19.62,22.09,25.71,25.85,24.14,23.72,30.51,18.38,21.86,15.37,29.24,20.58,11.29,8.87
8,Other Operating Expenses,-12.54,5.85,-7.38,11.41,1.56,-6.69,-5.83,20.88,-2.83,-2.09,-9.69,12.84,0.51,-1.17,-5.52,7.93,-0.12,0.74,-1.14
