,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,229.14,157.01,539.51,698.56,742.03,597.6,703.51,914.77,1222,1312,750.85,831.35,920.09,968.32,905.6,719.96,-,93.59,-
1,Trading Asset Securities,320,320,120,80,120,300,290,250,110,-,-,-,-,-,-,50,-,-,-
2,Cash & Short-Term Investments,549.14,477.01,659.51,778.56,862.03,897.6,993.51,1165,1332,1312,750.85,831.35,920.09,968.32,905.6,769.96,-,93.59,33.69
3,Cash Growth,-36.30%,-46.86%,-33.62%,-33.16%,-35.31%,-31.58%,32.32%,40.11%,44.82%,35.49%,-17.09%,7.97%,-,934.61%,2588.03%,-,-,-,-
4,Accounts Receivable,650.16,611.13,518.99,491.11,486.13,457.36,413.75,445.03,318.98,294.09,284.06,405.42,265.78,226.65,273.55,378.35,-,283.02,-
5,Other Receivables,4.24,4.32,4.07,3.06,5.39,4.95,14.37,37.29,27.64,27.35,2.72,3.12,2.72,2.16,2.45,2.17,-,1.81,-
6,Receivables,654.4,615.45,523.06,494.17,491.52,462.31,428.12,482.32,346.62,321.45,286.77,408.54,268.5,228.81,276,380.52,-,284.83,-
7,Inventory,824.63,853.56,775.42,688.93,660.58,627.23,673.58,629.51,601.84,578.77,582.85,564.74,550.37,485.45,416.14,408.33,-,253.91,-
8,Other Current Assets,61.48,81.99,79.19,54.32,35.96,21.85,28.56,20.46,23.22,18.67,42.25,36.29,20.82,22.94,23.73,21.92,-,6.97,-
9,Total Current Assets,2090,2028,2037,2016,2050,2009,2124,2297,2304,2231,1663,1841,1760,1706,1621,1581,-,639.3,-
10,"Property, Plant & Equipment",1308,1262,1212,1125,1007,882.13,830.86,738.28,675.52,613.03,607.23,586.2,480.04,451.46,447.98,411.53,-,309.91,-
11,Other Intangible Assets,142.89,143.87,144.59,145.67,146.82,147.96,149.15,150.22,138.19,120.15,106.5,107.01,107.19,82.65,83.36,83.71,-,84.01,-
12,Long-Term Deferred Tax Assets,68.45,68.02,67.03,66.18,54.01,50.66,34.26,47.01,33.09,41.24,34.14,33.55,22.09,16.25,24.04,20.26,-,16.25,-
13,Long-Term Deferred Charges,8.45,9.38,9.97,10.72,13.43,14.34,16.27,11.91,9.18,5.42,5.76,6.39,5.13,5.47,5.97,0.28,-,0.37,-
14,Other Long-Term Assets,38.94,39.74,75.03,75.95,77.78,79.11,79.12,79.19,125.19,124.93,164.64,95.37,71.62,96.33,60.28,36.12,-,4.58,-
15,Total Assets,3656,3551,3545,3440,3350,3183,3233,3324,3285,3136,2581,2669,2446,2358,2243,2133,-,1054,-
16,Accounts Payable,432.44,369.62,434.64,254.73,334.82,179.55,320.8,251.1,279.36,144.77,178.28,201.33,222.83,146.88,159.04,190.42,-,145.08,-
17,Accrued Expenses,12.13,48.98,17.06,57.53,10.84,56.12,9.27,59.5,9.51,31.22,8.05,48.51,8.6,32.46,10.57,29.31,-,21.17,-
18,Short-Term Debt,360.31,248.04,216.31,236.28,217.64,146.7,249.72,244.16,250.91,200.55,330.42,353.19,303.19,303.05,93.05,29.31,-,34.69,-
19,Current Portion of Long-Term Debt,78.43,68.12,9.16,2.5,6.99,3,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,-,7.99,-,17.53,-,3.94,4.08,4.28,4.41,4.98,4.92,5.17,-,-,-,-,-,-,-
21,Current Income Taxes Payable,9.46,0.65,19.96,8.09,22.71,2.11,11.56,5.74,5.72,1.85,16.09,8.93,14.85,1.5,36.02,18.26,-,8.68,-
22,Current Unearned Revenue,1.29,1.32,0.98,1.19,2.34,1.25,3.28,0.59,1.1,0.64,1.48,0.24,0.77,4.06,2.36,1.32,-,0.57,-
23,Other Current Liabilities,0.88,32.52,5.96,53.32,8.25,37.76,11.69,43.66,12.57,30.79,11.19,45.99,0.41,25.1,0.37,34.98,-,17.3,-
24,Total Current Liabilities,894.95,777.25,704.08,631.19,603.58,430.44,610.39,609.04,563.57,414.8,550.44,663.36,550.64,513.04,301.41,303.6,-,227.51,-
25,Long-Term Debt,645.24,656.6,715.32,669.08,660.49,670.81,585.11,579.18,569.24,561.96,-,-,-,-,-,-,-,-,-
26,Long-Term Leases,122,120.06,119.88,119.26,97,95.94,95.08,94.02,101.01,100,98.89,97.48,35.89,33.48,33.59,-,-,-,-
27,Long-Term Unearned Revenue,66.22,67.38,68.62,69.85,65.09,62.32,59.46,60.89,62.53,45.84,38.65,39.73,39.37,40.37,41.45,42.69,-,59.6,-
28,Long-Term Deferred Tax Liabilities,35.42,37.01,39.04,41.21,33.16,34.58,23.38,37.49,-,0.98,1.18,1.18,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,38.96,36.82,34.98,33.2,30.97,35.27,28.77,25.42,61.19,115.57,110.18,104.64,94.94,86.78,88.22,80.35,-,57.01,-
30,Total Liabilities,1803,1695,1682,1564,1490,1329,1402,1406,1358,1239,799.34,906.39,720.85,673.67,464.67,426.64,-,344.11,-
31,Common Stock,162.54,162.54,162.54,162.54,162.54,162.54,166.6,166.6,166.6,166.6,166.6,166.6,166,166,166,166,-,124.5,-
32,Additional Paid-In Capital,822.11,822.11,821.13,821.13,821.13,821.13,921.57,921.56,923.08,923.09,924.59,923.09,912.61,912.61,912.61,912.61,-,82.11,-
33,Retained Earnings,768.44,766.36,769.29,756.23,740.22,734.01,711,717.29,671.3,629.47,683.52,666.41,646.13,605.31,699.83,627.52,-,503.81,-
