,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,3205814,3277906,3195660,2855768,2390108,2697642,2723684,2221582,2475470,3261443,4226296,3267592,2692921,2230522,2342634,1788172,1943693,1799791,1657589,1636106,Upgrade
1,Revenue Growth (YoY),34.13%,21.51%,17.33%,28.55%,-3.45%,-17.29%,-35.55%,-32.01%,-8.07%,46.22%,80.41%,82.73%,38.55%,23.93%,41.33%,9.29%,-10.47%,-4.39%,-18.12%,-8.56%,Upgrade
2,Cost of Revenue,2628217,2699314,2726951,2589544,2146631,2412717,2143725,1837119,1999227,2636788,3129741,2489109,2050699,1821826,1910337,1515566,1703805,1570390,1326818,1421393,Upgrade
3,Gross Profit,577597,578593,468709,266224,243477,284925,579959,384463,476242,624655,1096555,778483,642222,408695,432297,272606,239888,229401,330771,214713,Upgrade
4,"Selling, General & Admin",201877,160877,143725,132029,155253,134444,114681,119572,222155,145047,211622,142664,154519,112117,150660,139320,98446,69836,71918,79135,Upgrade
5,Operating Expenses,201877,160877,143725,132029,155253,134444,114681,119572,222155,145047,211622,142664,154519,112117,150660,139320,98446,69836,71918,79135,Upgrade
6,Operating Income,375720,417716,324984,134195,88224,150481,465278,264892,254087,479608,884933,635819,487703,296578,281637,133286,141442,159565,258854,135578,Upgrade
7,Interest Expense,-17030,-,-17831,-17854,-18819,-,-42712,-37133,-32942,-25105,-144171,-19321,-9077,-11928,-7548,-6150,-22232,-8401,-9707,-12388,Upgrade
8,Interest & Investment Income,147990,56257,25629,28121,9862,115053,26877,35171,22512,163225,-,21364,16782,50259,11732,18775,-,68898,25123,27177,Upgrade
9,Earnings From Equity Investments,555.81,704.88,669.21,309.5,171.2,190.15,285.05,154.3,-777.85,188.88,453.71,357.78,132.29,-1054,364.93,119.11,-209.3,-75.82,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,49370,48650,22173,-,33315,-1254,-96.05,-,128495,23521,13356,-,4378,3604,3717,-,-13024,21919,Upgrade
11,Other Non Operating Income (Expenses),-26655,-73132,18636,12148,28636,-36840,15165,5476,19427,-72176,81893,-1006,653.67,-41105,725.63,1370,1717,-23581,-6001,-438.68,Upgrade
12,EBT Excluding Unusual Items,480581,401545,401458,205569,130248,228884,498208,267306,262210,545741,951604,660735,509550,292750,291290,151004,124435,196405,255245,171847,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-3304,12317,6463,-,26751,-7790,-14790,-,-73013,2156,24095,-,9672,1194,58617,-,-3280,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-494.22,-1198,-1052,-,-3990,-,-11726,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,480581,401545,397660,216688,135660,228884,520969,259516,235695,545741,878591,662891,533645,292750,300962,152198,183053,196405,251965,171847,Upgrade
16,Income Tax Expense,40028,60476,57590,27629,45164,27977,64365,33766,37791,85922,76670,109614,76004,36540,39823,20634,15359,20988,27914,19710,Upgrade
17,Earnings From Continuing Operations,440553,341070,340070,189060,90496,200907,456604,225750,197903,459819,801922,553276,457641,256210,261138,131564,167694,175417,224051,152137,Upgrade
18,Minority Interest in Earnings,-15178,-20444,-22038,-19397,-20176,-10283,-17342,-6766,-9620,-9607,-12935,-5526,-5272,-767.43,-1030,-525.16,9.6,-,-,-,Upgrade
19,Net Income,425374,320625,318032,169663,70320,190625,439262,218984,188283,450212,788987,547751,452370,255442,260108,131039,167703,175417,224051,152137,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,32690,-,90571,7500,10000,-,10000,-,-,-,-,-,Upgrade
21,Net Income to Common,425374,320625,318032,169663,70320,190625,439262,218984,155593,450212,698416,540251,442370,255442,250108,131039,167703,175417,224051,152137,Upgrade
22,Net Income Growth,504.91%,68.20%,-27.60%,-22.52%,-62.65%,-57.66%,-44.33%,-60.02%,-58.38%,76.25%,203.33%,318.01%,169.74%,45.62%,16.09%,-13.87%,-15.30%,-30.89%,-46.65%,-50.50%,Upgrade
23,Shares Outstanding (Basic),224,224,250,224,228,225,223,224,226,228,212,220,218,210,219,218,218,218,218,218,Upgrade
24,Shares Outstanding (Diluted),224,224,250,224,228,225,223,224,226,228,212,220,218,210,219,218,218,218,218,218,Upgrade
25,Shares Change (YoY),-1.56%,-0.31%,12.20%,-,0.66%,-1.19%,4.93%,2.00%,3.61%,8.63%,-3.01%,0.79%,0.02%,-3.98%,0.28%,-,-3.30%,-14.83%,15.03%,-0.36%,Upgrade
26,EPS (Basic),1897.00,1429.00,1272.20,755.90,308.72,847.00,1971.56,975.63,687.59,1976.67,3289.12,2455.10,2025.50,1218.33,1142.36,600.17,768.00,803.33,1026.18,696.81,Upgrade
27,EPS (Diluted),1897.00,1429.00,1272.20,755.83,308.72,847.00,1971.56,975.63,687.30,1976.67,3289.12,2455.00,2025.50,1218.33,1142.36,600.00,767.40,803.33,1026.18,696.81,Upgrade
28,EPS Growth,514.48%,68.71%,-35.47%,-22.53%,-55.08%,-57.15%,-40.06%,-60.26%,-66.07%,62.24%,187.92%,309.17%,163.95%,51.66%,11.32%,-13.89%,-5.44%,-18.86%,-49.50%,-48.65%,Upgrade
29,Free Cash Flow,427008,405947,1016756,-441820,577025,170786,-236722,-641042,744656,557085,148663,-977562,-325490,286186,29645,-246420,-19501,-64291,-45668,-33019,Upgrade
30,Free Cash Flow Per Share,1904.29,1809.27,4067.27,-1968.43,2533.23,758.85,-1062.49,-2856.01,3290.76,2445.90,700.11,-4442.41,-1490.34,1364.97,135.40,-1128.63,-89.31,-294.43,-209.16,-151.23,Upgrade
31,Dividend Per Share,-,-,-,-,-,1666.667,-,-,-,1666.667,-,-,-,-,1666.667,-,-,-,1666.667,-,Upgrade
32,Gross Margin,18.02%,17.65%,14.67%,9.32%,10.19%,10.56%,21.29%,17.31%,19.24%,19.15%,25.95%,23.82%,23.85%,18.32%,18.45%,15.24%,12.34%,12.75%,19.95%,13.12%,Upgrade
33,Operating Margin,11.72%,12.74%,10.17%,4.70%,3.69%,5.58%,17.08%,11.92%,10.26%,14.71%,20.94%,19.46%,18.11%,13.30%,12.02%,7.45%,7.28%,8.87%,15.62%,8.29%,Upgrade
34,Profit Margin,13.27%,9.78%,9.95%,5.94%,2.94%,7.07%,16.13%,9.86%,6.29%,13.80%,16.53%,16.53%,16.43%,11.45%,10.68%,7.33%,8.63%,9.75%,13.52%,9.30%,Upgrade
35,Free Cash Flow Margin,13.32%,12.38%,31.82%,-15.47%,24.14%,6.33%,-8.69%,-28.86%,30.08%,17.08%,3.52%,-29.92%,-12.09%,12.83%,1.27%,-13.78%,-1.00%,-3.57%,-2.76%,-2.02%,Upgrade
36,EBITDA,494031,532352,439448,240482,196290,253801,562120,358456,344504,562465,964843,709568,560776,370954,348920,203546,194069,214859,307394,181796,Upgrade
37,EBITDA Margin,15.41%,16.24%,13.75%,8.42%,8.21%,9.41%,20.64%,16.14%,13.92%,17.25%,22.83%,21.72%,20.82%,16.63%,14.89%,11.38%,9.98%,11.94%,18.54%,11.11%,Upgrade
38,D&A For EBITDA,118311,114636,114464,106287,108065,103320,96842,93565,90417,82857,79909,73749,73072,74376,67284,70260,52627,55294,48540,46218,Upgrade
39,EBIT,375720,417716,324984,134195,88224,150481,465278,264892,254087,479608,884933,635819,487703,296578,281637,133286,141442,159565,258854,135578,Upgrade
40,EBIT Margin,11.72%,12.74%,10.17%,4.70%,3.69%,5.58%,17.08%,11.92%,10.26%,14.71%,20.94%,19.46%,18.11%,13.30%,12.02%,7.45%,7.28%,8.87%,15.62%,8.29%,Upgrade
41,Effective Tax Rate,8.33%,15.06%,14.48%,12.75%,33.29%,12.22%,12.35%,13.01%,16.03%,15.74%,8.73%,16.54%,14.24%,12.48%,13.23%,13.56%,8.39%,10.69%,11.08%,11.47%,Upgrade
42,Revenue as Reported,3205814,3277906,3195660,2855768,2390108,2697642,2723684,2221582,2475470,3261443,4226296,3267592,2692921,2230522,2342634,1788172,1943693,1799791,1657589,1636106,Upgrade
