,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,15240369,15823948,16227963,15734183,17597128,13916110,14468442,11919502,9792329,12799712,15568704,17145745,17248483,11426210,9406610,8278544,7059506,7532565,7969236,6386306,3729894,Upgrade
1,Market Cap Growth,13.71%,13.71%,12.16%,32.00%,79.70%,8.72%,-7.07%,-30.48%,-43.23%,12.02%,65.51%,107.11%,144.33%,51.69%,18.04%,29.63%,89.27%,4.41%,5.95%,-21.46%,-55.05%,Upgrade
2,Enterprise Value,14925978,15528738,16293101,16386575,17791895,14802045,15509650,12765652,10030708,13395234,16705962,18677696,17825315,11679172,9940274,8408396,6968941,6912830,7397699,5980421,3283632,Upgrade
3,Last Close Price,67900.00,70500.00,70316.46,68176.82,76249.11,58490.97,62028.73,51100.98,41981.42,54874.60,65012.09,71597.53,72593.01,48089.04,38407.46,33801.53,28824.16,30755.68,31094.06,24917.84,14553.16,Upgrade
4,PE Ratio,12.33,12.83,18.47,21.02,20.23,15.14,14.40,9.43,6.43,6.94,7.30,8.85,11.59,10.59,11.70,11.43,10.11,10.47,10.84,7.85,3.83,Upgrade
5,Forward PE,10.41,10.80,11.11,11.27,12.24,8.66,9.15,7.60,5.77,6.61,7.36,8.48,12.44,10.32,9.91,9.53,7.69,6.90,7.73,6.97,4.52,Upgrade
6,PS Ratio,1.21,1.26,1.38,1.41,1.65,1.39,1.43,1.12,0.80,0.97,1.16,1.38,1.64,1.26,1.13,1.05,0.98,1.07,1.10,0.87,0.48,Upgrade
7,PB Ratio,1.76,1.76,1.80,1.81,2.11,1.62,1.71,1.45,1.24,1.66,1.98,2.32,2.68,1.94,1.64,1.51,1.31,1.46,1.48,1.22,0.74,Upgrade
8,P/TBV Ratio,1.97,1.97,2.02,2.04,2.38,1.82,1.90,1.61,1.37,1.84,2.18,2.56,3.00,2.20,1.85,1.72,1.51,1.56,1.59,1.30,0.80,Upgrade
9,P/FCF Ratio,10.82,11.24,10.42,11.90,-,-107.09,384.00,-,-,27.07,-26.06,-19.75,-,-,188.47,-27.54,-,-,-,-,-,Upgrade
10,P/OCF Ratio,7.49,7.49,7.51,7.71,-,25.44,18.66,-,-,7.98,26.96,273.78,-,-,22.14,73.07,-,19.23,8.14,5.85,3.40,Upgrade
11,PEG Ratio,0.36,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,Upgrade
12,EV/Sales Ratio,1.19,1.24,1.39,1.47,1.67,1.48,1.53,1.20,0.82,1.01,1.24,1.50,1.69,1.29,1.20,1.07,0.97,0.98,1.02,0.81,0.43,Upgrade
13,EV/EBITDA Ratio,8.74,9.10,11.57,14.50,14.20,10.80,10.21,6.99,4.50,5.19,5.97,7.17,8.96,7.87,8.90,8.75,7.58,7.70,7.87,5.76,2.95,Upgrade
14,EV/EBIT Ratio,11.89,12.40,16.88,23.48,21.23,15.28,13.67,8.72,5.33,5.94,6.71,8.10,10.47,9.74,11.65,11.74,10.05,9.94,9.92,6.96,3.49,Upgrade
15,EV/FCF Ratio,10.60,11.03,10.46,12.39,-,-113.90,411.64,-,-,28.33,-27.97,-21.51,-,-,199.17,-27.98,-,-,-,-,-,Upgrade
