,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,279,569,137,91,109,146,282,191,219,219,219,Upgrade
1,Market Cap Growth,523.99%,523.99%,25.00%,-37.50%,-61.28%,-23.73%,29.27%,-12.50%,0%,0%,0%,Upgrade
2,Enterprise Value,169,540,145,162,286,236,489,392,445,277,257,Upgrade
3,Last Close Price,0.26,0.52,0.15,0.10,0.12,0.16,0.31,0.21,0.24,0.24,0.24,Upgrade
4,PE Ratio,-,-,-,-,-,24.01,22.14,9.14,6.61,5.31,6.48,Upgrade
5,PS Ratio,0.76,1.76,0.45,0.28,0.21,0.24,0.37,0.24,0.26,0.25,0.35,Upgrade
6,PB Ratio,1.18,2.23,0.59,0.38,0.45,0.60,1.14,0.78,0.92,0.99,1.10,Upgrade
7,P/TBV Ratio,2.41,2.41,0.65,0.43,0.51,0.69,1.33,0.95,1.14,1.21,1.38,Upgrade
8,P/FCF Ratio,3.78,7.71,1.42,0.54,5.56,-,2.07,5.86,3.77,12.33,-,Upgrade
9,P/OCF Ratio,7.57,7.57,1.39,0.54,4.74,-,2.05,5.73,3.75,11.59,-,Upgrade
10,EV/Sales Ratio,0.52,1.67,0.47,0.49,0.56,0.39,0.64,0.50,0.53,0.31,0.42,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,17.68,20.92,10.30,9.09,5.54,6.94,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,21.60,21.77,10.37,9.13,5.56,6.96,Upgrade
13,EV/FCF Ratio,2.29,7.32,1.50,0.97,14.52,-,3.58,11.99,7.67,15.64,-,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.11,0.16,0.45,0.83,0.50,1.18,1.14,1.42,1.57,Upgrade
15,Debt / FCF Ratio,0.01,0.01,0.26,0.23,5.55,-,0.92,8.82,4.65,17.64,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,4.49%,9.01%,12.77%,16.85%,18.23%,14.62%,Upgrade
17,Earnings Yield,-3.57%,-1.75%,-3.26%,-5.84%,0.26%,4.16%,4.52%,10.95%,15.14%,18.83%,15.42%,Upgrade
18,FCF Yield,26.46%,12.97%,70.65%,183.59%,18.00%,35.70%,48.29%,17.08%,26.53%,8.11%,-2.89%,Upgrade
19,Buyback Yield / Dilution,-5.57%,-12.21%,1.05%,1.04%,-0.12%,0.01%,0.12%,0.00%,-,-,-0.00%,Upgrade
20,Total Shareholder Return,-5.57%,-12.21%,1.05%,1.04%,-0.12%,0.01%,0.12%,0.00%,-,-,-0.00%,Upgrade
