,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,42.46,59.15,-
1,Cash & Short-Term Investments,42.46,59.15,-
2,Accounts Receivable,32.87,46.2,-
3,Other Receivables,22.43,-,-
4,Receivables,55.3,46.2,-
5,Inventory,0.23,-,-
6,Other Current Assets,2.44,1.39,-
7,Total Current Assets,100.44,106.74,-
8,"Property, Plant & Equipment",53.27,5.91,-
9,Other Intangible Assets,0.34,0.12,-
10,Long-Term Deferred Tax Assets,3.3,3.04,-
11,Other Long-Term Assets,2.99,3.03,-
12,Total Assets,160.33,118.83,-
13,Accounts Payable,0.49,0.61,-
14,Accrued Expenses,2.01,2.65,-
15,Current Portion of Leases,1.48,0.51,-
16,Current Income Taxes Payable,0.99,3.27,-
17,Current Unearned Revenue,1.23,1.39,-
18,Other Current Liabilities,7.07,6.32,-
19,Total Current Liabilities,13.28,14.75,-
20,Long-Term Leases,37.12,1.49,-
21,Total Liabilities,50.4,16.25,-
22,Common Stock,23.75,23.75,-
23,Additional Paid-In Capital,57.32,57.32,-
24,Retained Earnings,28.86,21.51,-
25,Shareholders' Equity,109.93,102.59,-
26,Total Liabilities & Equity,160.33,118.83,-
27,Total Debt,38.6,2,-
28,Net Cash (Debt),3.86,57.14,-
29,Net Cash Per Share,0.16,2.70,-
30,Filing Date Shares Outstanding,33.93,23.75,20
31,Total Common Shares Outstanding,23.75,23.75,20
32,Working Capital,87.15,91.99,-
33,Book Value Per Share,4.63,4.32,-
34,Tangible Book Value,109.59,102.47,-
35,Tangible Book Value Per Share,4.61,4.31,-
36,Machinery,24.98,12.53,-
37,Leasehold Improvements,0.83,0.53,-
38,Order Backlog,13.01,-,-
