,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,358.46,98.35,465.55,352.75,511.76,464.63,482.79,282.52,76.5,34.32,-,53.5,-,42.11,42.11
1,Short-Term Investments,-,-,75.99,-,131.92,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,262.06,593,334.16,595.17,676,857.43,949.9,1262,172.91,291.45,-,491.06,-,580.55,580.55
3,Cash & Short-Term Investments,620.53,620.53,767.33,799.72,1080,1188,1322,1433,1544,249.41,325.77,544.56,544.56,-,622.66,622.66
4,Cash Growth,-42.54%,-47.76%,-41.96%,-44.18%,-30.07%,376.22%,305.83%,163.09%,183.57%,-,-47.68%,-12.54%,-,-,-,-
5,Accounts Receivable,-,376.39,400.16,394.82,413.17,286.17,269.31,245.58,267.54,180.14,173.16,-,194.08,-,123.77,123.77
6,Other Receivables,-,6.64,7.26,7.52,8.37,7.06,7.55,7.56,8.18,8.19,6.13,-,6.62,-,-,-
7,Receivables,-,383.03,407.42,402.34,421.54,293.23,276.86,253.14,275.72,188.34,179.28,-,200.7,-,125.77,125.77
8,Inventory,-,72.3,65.24,63.53,50.25,70.65,54.87,62.23,48.78,71.29,62.4,-,42.88,-,56.18,56.18
9,Other Current Assets,-,82.96,14.93,115.26,7.39,40.6,6.76,7.98,4.81,21.08,24.62,-,15.93,-,10.37,10.37
