,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7452,5574,4755,4436,6248,7863,8367,16101,14501,10997,-,-,-,-,-,-,-
1,Market Cap Growth,-29.11%,-29.11%,-43.17%,-72.45%,-56.92%,-28.49%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6923,5045,4066,3731,5144,6760,7110,14727,14290,10785,-,-,-,-,-,-,-
3,Last Close Price,61.67,46.13,39.35,36.71,51.70,65.07,69.24,133.24,120.00,91.00,-,-,-,-,-,-,-
4,PS Ratio,20.08,15.01,9.96,9.00,12.24,16.02,19.73,38.98,37.07,29.51,-,-,-,-,-,-,-
5,PB Ratio,6.42,4.82,4.11,3.53,4.60,5.46,5.72,10.51,8.92,6.44,-,-,-,-,-,-,-
6,P/TBV Ratio,5.00,5.00,4.26,3.57,4.70,5.53,5.71,10.49,8.91,6.43,-,-,-,-,-,-,-
7,EV/Sales Ratio,18.64,13.58,8.51,7.57,10.08,13.77,16.76,35.66,36.52,28.94,-,-,-,-,-,-,-
8,Debt / Equity Ratio,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.04,0.04,0.02,0.10,0.04,0.05,0.05,-,0.03,0.03
9,Asset Turnover,-,0.19,0.20,0.15,0.62,0.20,0.21,0.09,0.63,0.48,-,-,-,-,0.19,-,
10,Inventory Turnover,-,-,1.97,2.45,1.36,7.64,1.47,3.24,1.50,5.70,1.61,-,-,-,-,1.17,-
11,Quick Ratio,-,-,4.51,5.68,5.73,5.10,8.26,9.80,11.10,9.85,3.31,4.17,-,4.01,-,6.79,6.79
12,Current Ratio,-,-,5.21,6.06,6.58,5.29,8.88,10.18,11.56,10.14,4.01,4.89,-,4.33,-,7.41,7.41
13,Return on Equity (ROE),-16.89%,-33.75%,-31.43%,-25.41%,-5.44%,-21.24%,-26.42%,-20.55%,-17.40%,-55.72%,-57.81%,-56.90%,-,-,-42.36%,-,
14,Return on Assets (ROA),-,-16.41%,-18.50%,-13.23%,-6.11%,-12.14%,-15.58%,-12.59%,-16.64%,-24.22%,-,-,-,-,-22.54%,-,
15,Return on Capital (ROIC),-7.92%,-18.70%,-20.83%,-15.12%,-6.90%,-13.21%,-16.91%,-13.85%,-19.30%,-32.20%,-35.49%,-34.61%,-,-,-26.65%,-,
16,Earnings Yield,-4.59%,-6.14%,-6.57%,-6.54%,-4.67%,-3.67%,-3.76%,-1.84%,-1.86%,-2.47%,-,-,-,-,-,-,-
17,FCF Yield,-,-9.68%,-11.82%,-8.47%,-6.34%,-5.54%,-2.31%,-2.34%,-3.01%,-,-,-,-,-,-,-,
18,Buyback Yield / Dilution,-0.30%,-1.23%,0.52%,0.42%,-0.93%,-7.98%,-35.00%,-32.55%,-33.40%,-21.17%,0.51%,-1.10%,0.14%,-,-,-,-
19,Total Shareholder Return,-0.30%,-1.23%,0.52%,0.42%,-0.93%,-7.98%,-35.00%,-32.55%,-33.40%,-21.17%,0.51%,-1.10%,0.14%,-,-,-,-
