,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,4286471,3969823,3805635,4163330,3442077,2961242,2931922,3148885,3236842,3137157,3172340,3307208,4046053,3500715,3377575,2709096,2521453,2720824,2228261,2333810,2931922,Upgrade
1,Market Cap Growth,34.06%,34.06%,29.80%,32.22%,6.34%,-5.61%,-7.58%,-4.79%,-20.00%,-10.39%,-6.08%,22.08%,60.47%,28.66%,51.58%,16.08%,-14.00%,-9.02%,-20.83%,3.65%,2.04%,Upgrade
2,Enterprise Value,4498318,4190824,3900011,4082031,3443743,2874840,2864518,3087362,3235266,3081686,3090758,3266516,4049928,3443487,3248601,2622381,2450263,2645005,2020498,2234007,2855572,Upgrade
3,PE Ratio,11.67,8.02,10.01,9.70,8.87,8.20,8.09,10.53,14.74,14.56,14.55,12.35,12.69,10.81,10.83,9.70,9.12,10.48,9.57,10.58,15.17,Upgrade
4,PS Ratio,1.24,0.87,0.84,0.93,0.81,0.74,0.78,0.90,0.99,1.05,1.13,1.28,1.61,1.42,1.42,1.14,1.10,1.26,1.05,1.14,1.50,Upgrade
5,PB Ratio,1.45,1.34,1.35,1.51,1.19,1.06,1.10,1.24,1.21,1.21,1.29,1.37,1.53,1.36,1.37,1.15,1.01,1.13,0.95,1.03,1.27,Upgrade
6,P/FCF Ratio,9.81,9.09,10.60,21.50,18.19,7.17,-,-,5.79,-,9.21,8.03,14.23,-,10.03,15.54,8.95,-,-,60.56,-,Upgrade
7,P/OCF Ratio,8.50,8.50,9.56,17.87,15.82,6.71,-,-,5.69,-,8.69,7.75,13.45,-,9.96,15.33,8.93,-,-,60.54,-,Upgrade
8,EV/Sales Ratio,0.97,0.92,0.87,0.91,0.81,0.72,0.76,0.88,0.99,1.03,1.10,1.26,1.61,1.39,1.36,1.10,1.07,1.22,0.96,1.09,1.46,Upgrade
9,EV/EBITDA Ratio,6.71,7.10,6.51,6.09,5.42,5.03,5.03,6.21,7.76,8.01,8.76,7.94,8.82,6.89,7.09,6.51,6.50,7.02,5.53,6.51,8.92,Upgrade
10,EV/EBIT Ratio,6.82,7.22,6.63,6.16,5.49,5.11,5.11,6.33,7.93,8.19,8.96,8.08,8.96,6.98,7.19,6.61,6.59,7.12,5.61,6.63,9.10,Upgrade
11,EV/FCF Ratio,10.30,9.60,10.86,21.08,18.20,6.96,-,-,5.79,-,8.97,7.93,14.24,-,9.64,15.04,8.69,-,-,57.97,-,Upgrade
12,Debt / Equity Ratio,0.10,0.10,0.10,0.07,0.01,-,-,-,0.00,-,-,-,-,0.00,-,-,-,-,-,-,-,Upgrade
13,Debt / EBITDA Ratio,0.42,0.46,0.74,0.23,0.05,-,-,-,0.00,-,-,-,-,0.01,-,-,-,-,-,-,-,Upgrade
14,Debt / FCF Ratio,0.65,0.65,0.75,0.93,0.15,-,-,-,0.00,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Quick Ratio,1.06,1.06,1.03,1.06,1.21,1.08,1.14,0.99,1.09,1.09,1.10,1.09,1.19,1.13,1.24,1.03,1.01,0.95,0.93,0.76,0.79,Upgrade
16,Current Ratio,1.32,1.32,1.32,1.35,1.46,1.44,1.42,1.36,1.40,1.45,1.38,1.38,1.50,1.50,1.59,1.39,1.33,1.42,1.27,1.26,1.17,Upgrade
17,Asset Turnover,0.53,0.50,0.61,0.59,0.59,0.55,0.54,0.50,0.52,0.47,0.46,0.39,0.44,0.35,0.43,0.38,0.41,0.38,0.41,0.32,Upgrade,
18,Return on Equity (ROE),20.97%,10.47%,23.97%,15.02%,18.62%,18.73%,19.75%,11.96%,21.76%,9.53%,7.91%,11.52%,17.87%,17.98%,16.26%,13.01%,10.70%,13.07%,16.63%,11.10%,Upgrade,
19,Return on Assets (ROA),4.32%,2.54%,6.03%,4.95%,5.30%,5.30%,5.25%,3.09%,5.99%,3.30%,2.96%,2.23%,5.17%,5.79%,5.04%,4.09%,3.70%,3.94%,4.36%,4.37%,Upgrade,
20,Return on Capital (ROIC),11.98%,7.18%,16.35%,13.24%,14.73%,15.40%,14.92%,8.19%,15.68%,8.93%,7.51%,5.24%,12.62%,15.12%,12.75%,9.79%,8.99%,9.85%,10.75%,10.53%,Upgrade,
21,Return on Capital Employed (ROCE),7.61%,6.69%,6.61%,8.12%,8.16%,7.45%,7.40%,6.49%,5.58%,5.64%,5.24%,6.13%,7.24%,8.16%,7.19%,6.28%,6.24%,6.39%,6.23%,5.80%,5.71%,Upgrade
22,Earnings Yield,11.54%,12.46%,12.32%,12.44%,13.85%,15.19%,15.73%,12.64%,9.84%,10.01%,9.12%,10.25%,9.64%,11.28%,10.26%,11.59%,12.33%,10.82%,11.57%,10.53%,7.44%,Upgrade
23,Earnings Yield,11.54%,12.46%,12.32%,12.44%,13.85%,15.19%,15.73%,12.64%,9.84%,10.01%,9.12%,10.25%,9.64%,11.28%,10.26%,11.59%,12.33%,10.82%,11.57%,10.53%,7.44%,Upgrade
