,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,6.72,497.27,-,19.06,-,-,22.68,-
1,Revenue Growth (YoY),-,2508.99%,-,-,-,-,-,-
2,Gross Profit,6.72,497.27,-,19.06,-,-,22.68,-
3,"Selling, General & Admin",33.92,40.29,50.67,45.73,62.6,55.85,84.02,40.76
4,Research & Development,236.3,215.07,229.09,204.65,219.74,159.01,146.56,79.57
5,Operating Expenses,270.22,255.37,279.76,250.38,282.33,214.86,230.57,120.33
6,Operating Income,-263.5,241.91,-279.76,-231.32,-282.33,-214.86,-207.89,-120.33
7,Interest Expense,-0.72,-0.89,-1.01,-1.16,-1.29,-1.4,-4.75,-0.06
8,Interest & Investment Income,43.35,45.75,38.48,27.02,28.85,6.17,-,3.85
9,Currency Exchange Gain (Loss),2.19,-0.39,8.17,-13.77,-23.95,-17.05,0.34,-0.34
10,Other Non Operating Income (Expenses),11.54,-1.21,11.2,9.87,4.73,5.52,43.31,0.2
11,EBT Excluding Unusual Items,-207.14,285.17,-222.93,-209.36,-274,-221.61,-168.99,-116.68
12,Gain (Loss) on Sale of Investments,-0.32,0.32,-0.07,0.77,-,-,-5.9,5.9
13,Other Unusual Items,-,-,-,-,-,-,-1258,-266.44
14,Pretax Income,-207.46,285.49,-222.99,-208.59,-274,-221.61,-1433,-377.22
15,Income Tax Expense,-28.97,78.69,-,-,-,-,-,-
16,Net Income,-178.49,206.79,-222.99,-208.59,-274,-221.61,-1433,-377.22
17,Net Income to Common,-178.49,206.79,-222.99,-208.59,-274,-221.61,-1433,-377.22
18,Shares Outstanding (Basic),629,639,647,647,539,702,371,99
19,Shares Outstanding (Diluted),647,652,647,647,539,702,371,99
20,Shares Change (YoY),0.04%,0.69%,19.96%,-7.77%,45.55%,607.69%,-,-
21,EPS (Basic),-0.28,0.32,-0.34,-0.32,-0.51,-0.32,-3.87,-3.80
22,EPS (Diluted),-0.28,0.32,-0.34,-0.32,-0.51,-0.32,-3.87,-3.80
23,Free Cash Flow,-,158.16,-218.75,-235.59,-228.67,-134.84,-73.4,-105.36
24,Free Cash Flow Per Share,-,0.24,-0.34,-0.36,-0.42,-0.19,-0.20,-1.06
25,Operating Margin,-3921.71%,48.65%,-,-1213.63%,-,-,-916.54%,-
26,Profit Margin,-2656.48%,41.59%,-,-1094.40%,-,-,-6316.80%,-
27,Free Cash Flow Margin,-,31.80%,-,-1236.02%,-,-,-323.60%,-
28,EBITDA,-262.56,247.28,-277.64,-227.13,-280.82,-211.8,-206.49,-117.55
29,D&A For EBITDA,0.94,5.38,2.12,4.19,1.51,3.06,1.4,2.78
30,EBIT,-263.5,241.91,-279.76,-231.32,-282.33,-214.86,-207.89,-120.33
