,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,289.53,305.99,1971,2102,2259,2497,2546,-
1,Short-Term Investments,1718,44.75,38.32,35.6,26.05,20.89,26.48,-
2,Trading Asset Securities,0.23,1.24,0.92,98.11,93.8,-,-,-
3,Cash & Short-Term Investments,2008,351.98,2011,2236,2379,2517,2572,1380
4,Cash Growth,-0.15%,-84.26%,-15.47%,-11.18%,-7.52%,82.40%,-,-
5,Other Receivables,-,-,-,-,7.74,-,-,-
6,Receivables,3.71,5.57,9.38,9.55,17.8,-,-,-
7,Other Current Assets,9.05,1833,21.29,20.88,11.25,9.41,9.39,-
8,Total Current Assets,2020,2191,2041,2267,2408,2527,2581,-
9,"Property, Plant & Equipment",52.82,63.06,69.35,74.28,77.3,67.21,69.29,-
10,Other Intangible Assets,4.83,4.91,4.63,4.54,4.51,2.98,3.05,-
11,Other Long-Term Assets,28.97,-,-,2.45,0.03,2.98,0.81,-
12,Total Assets,2107,2259,2115,2348,2490,2600,2655,-
13,Accrued Expenses,26.11,69.91,81.65,17.75,66.04,13.56,22.3,-
14,Current Portion of Leases,11.02,11.33,10.61,10.23,9.97,11.41,8.86,-
15,Current Income Taxes Payable,16.14,1.32,2.11,3.83,24.05,1.24,1.3,-
16,Other Current Liabilities,82.18,18.15,14.79,53.51,7.49,51.93,41.08,-
17,Total Current Liabilities,135.44,100.71,109.17,85.32,107.55,78.14,73.54,-
18,Long-Term Leases,13.27,19.45,25.11,30.55,35.61,40.32,44.94,-
19,Total Liabilities,148.71,120.16,134.28,115.86,143.16,118.46,118.48,-
20,Common Stock,0.04,0.05,0.05,0.05,0.05,0.05,0.05,-
21,Additional Paid-In Capital,-,5470,5493,5498,5498,5366,5370,-
22,Retained Earnings,-,-3700,-3907,-3684,-3475,-3201,-2980,-
23,Treasury Stock,-0,-0.01,-0,-0,-0,-0.01,-0.01,-
24,Comprehensive Income & Other,1958,369.14,395.14,417.52,323.44,317.49,146.3,-
25,Shareholders' Equity,1958,2139,1981,2232,2346,2482,2536,-1232
26,Total Liabilities & Equity,2107,2259,2115,2348,2490,2600,2655,-
27,Total Debt,24.29,30.79,35.72,40.78,45.58,51.73,53.8,2607
28,Net Cash (Debt),1983,321.19,1975,2195,2333,2466,2518,-1227
29,Net Cash Growth,0.42%,-85.37%,-15.35%,-10.97%,-7.35%,-,-,-
30,Net Cash Per Share,3.06,0.49,3.05,3.39,4.33,3.51,6.80,-12.37
31,Filing Date Shares Outstanding,628.77,639.22,647.01,647.86,647.43,701.77,695.13,99.19
32,Total Common Shares Outstanding,628.77,639.22,647.01,647.86,647.43,701.77,695.13,99.19
33,Working Capital,1885,2090,1932,2181,2300,2449,2508,-
34,Book Value Per Share,3.11,3.35,3.06,3.45,3.62,3.54,3.65,-12.42
35,Tangible Book Value,1954,2134,1976,2227,2342,2479,2533,-1233
36,Tangible Book Value Per Share,3.11,3.34,3.05,3.44,3.62,3.53,3.64,-12.43
37,Machinery,-,-,45.33,-,33.27,-,25.41,-
38,Construction In Progress,-,-,13.82,-,13.68,-,-,-
39,Leasehold Improvements,-,-,3.93,-,3.93,-,3.74,-
