,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,4952,2876,2106,2365,1736,2253,2512,6393,-
1,Market Cap Growth,21.63%,21.63%,21.27%,4.97%,-30.89%,-64.77%,-,-,-
2,Enterprise Value,2841,2531,-70,-7,-901,-636,-579,7849,-
3,Last Close Price,7.92,4.60,3.25,3.65,2.68,3.21,3.58,9.10,-
4,PE Ratio,186.06,-,-120.96,-,-,-,-,-,-
5,PS Ratio,9.36,5.36,3.94,-,84.30,-,-,229.64,-
6,PB Ratio,2.39,1.38,0.92,1.08,0.72,0.85,0.86,2.05,-
7,P/TBV Ratio,1.38,1.38,0.92,1.09,0.72,0.85,0.87,2.06,-
8,P/FCF Ratio,-,-,-32.34,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-35.31,-,-,-,-,-,-
10,EV/Sales Ratio,5.30,4.72,-,-,-,-,-,281.93,-
11,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,-2.12
12,Debt / FCF Ratio,-,-,-0.51,-,-,-,-,-,-
13,Return on Capital Employed (ROCE),-,-,-1.75%,-,-,-,-,-,-
14,Earnings Yield,0.61%,1.05%,-0.83%,-20.11%,-30.03%,-24.87%,-77.14%,-34.75%,-
15,FCF Yield,-,-3.09%,-21.17%,-28.89%,-18.24%,-9.71%,-3.43%,-,
16,Buyback Yield / Dilution,-0.37%,-0.04%,-0.69%,-19.96%,7.77%,-45.55%,-607.69%,-,-
17,Total Shareholder Return,-0.37%,-0.04%,-0.69%,-19.96%,7.77%,-45.55%,-607.69%,-,-
