,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,631.18,608.75,698.77,852.66,804.09,592.67,482.24,280.28,282.44,198.11
1,Cash & Short-Term Investments,631.18,608.75,698.77,852.66,804.09,592.67,482.24,280.28,282.44,198.11
2,Cash Growth,-9.67%,-28.61%,-13.10%,43.87%,66.74%,111.46%,70.74%,41.48%,-53.47%,257.01%
3,Accounts Receivable,3.3,20.51,25.33,12.05,7.84,38.03,19.65,35.88,78.94,41.54
4,Other Receivables,21.75,17.36,15.36,-,0,-,10.05,23.94,23.8,34.9
5,Receivables,25.05,37.87,40.69,12.05,7.85,38.03,29.7,59.82,102.74,76.44
6,Inventory,1.36,1.61,1.67,2.67,2.59,3.35,3.77,3.91,4.2,4.1
7,Other Current Assets,0.09,0.19,0.08,0.31,0.47,0.69,1.12,0.69,3.27,0.27
8,Total Current Assets,657.69,648.42,741.2,867.69,814.99,634.74,516.83,344.69,392.65,278.91
9,"Property, Plant & Equipment",2485,2339,2228,1742,1738,1798,1800,1850,1883,1917
10,Other Intangible Assets,2.82,2.83,3.07,3.3,2.66,2.81,3.02,2.91,1.75,1.89
11,Long-Term Deferred Tax Assets,4.43,1.5,-,0.05,-,-,-,-,-,-
12,Other Long-Term Assets,303.27,309.18,293.04,290.78,294.16,297.24,301.37,305.44,309.11,313.13
13,Total Assets,3454,3301,3265,2904,2850,2733,2621,2503,2587,2511
14,Accounts Payable,45.18,26.18,7.77,6.36,11.74,18.34,2.36,7.31,5.77,14.35
15,Accrued Expenses,7.93,10.47,28.96,9.91,8.29,5.78,3.82,3.29,3.12,3.24
16,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,75,25
17,Current Portion of Leases,13.72,8.26,13.86,14.47,13.58,13.26,2.78,2.68,8.08,13.31
18,Current Income Taxes Payable,17.74,13.09,18.14,13.54,14.91,11.57,12.65,7.45,12.81,7.17
19,Current Unearned Revenue,14.45,3.54,5.69,7.08,7.66,16.7,35.33,2.53,2.46,2.46
20,Other Current Liabilities,197.36,169.14,176.88,61.97,40.27,18.92,21.64,23.55,54.21,20.42
21,Total Current Liabilities,296.36,230.68,251.28,113.32,96.44,84.56,78.58,46.8,161.45,85.96
22,Long-Term Debt,-,-,-,-,-,-,-,-,25,75
23,Long-Term Leases,329.87,322,361.07,217.67,227.54,232.92,204.87,205.2,207.65,207.88
24,Long-Term Unearned Revenue,11.28,12.47,13.66,14.84,16.03,17.22,18.41,19.59,21.45,21.97
25,Long-Term Deferred Tax Liabilities,-,-,2.41,-,4.1,4.3,5.39,5.66,5.84,6.45
26,Total Liabilities,638.1,565.74,629.69,347.82,344.12,339,307.24,277.25,421.38,397.25
27,Common Stock,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
28,Additional Paid-In Capital,105.25,105.25,105.25,105.25,105.25,105.25,105.25,105.25,105.25,105.25
29,Retained Earnings,891.21,810.54,710.94,632.16,581.84,469.29,389.76,300.99,241.05,189.67
30,Comprehensive Income & Other,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08,159.08
31,Shareholders' Equity,2816,2735,2635,2556,2506,2394,2314,2225,2165,2114
32,Total Liabilities & Equity,3454,3301,3265,2904,2850,2733,2621,2503,2587,2511
33,Total Debt,343.58,330.26,374.92,232.14,241.13,246.18,207.65,207.88,315.73,321.19
34,Net Cash (Debt),287.6,278.49,323.85,620.52,562.97,346.49,274.59,72.41,-33.29,-123.08
35,Net Cash Growth,-11.19%,-55.12%,-42.48%,79.09%,105.02%,378.54%,-,-,-,-
36,Net Cash Per Share,0.17,0.17,0.20,0.37,0.34,0.21,0.17,0.04,-0.02,-0.07
37,Filing Date Shares Outstanding,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
38,Total Common Shares Outstanding,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
39,Working Capital,361.33,417.74,489.92,754.37,718.55,550.18,438.25,297.9,231.2,192.96
40,Book Value Per Share,1.70,1.65,1.59,1.54,1.51,1.44,1.39,1.34,1.30,1.27
41,Tangible Book Value,2813,2732,2632,2553,2504,2391,2311,2222,2164,2112
42,Tangible Book Value Per Share,1.69,1.65,1.59,1.54,1.51,1.44,1.39,1.34,1.30,1.27
43,Buildings,-,119.8,-,119.76,-,120.19,-,108.19,-,108.07
44,Machinery,-,913.71,-,918.45,-,918.64,-,897.05,-,860.76
45,Construction In Progress,-,554.86,-,53.12,-,1.08,-,26.18,-,210.7
