,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1179,996,847,913,913,822,930,1046,979,1029,1527
1,Market Cap Growth,9.09%,9.09%,-7.27%,11.11%,-1.79%,-21.43%,-5.08%,1.61%,-35.87%,-62.60%,-
2,Enterprise Value,870,689,497,212,254,396,599,960,1016,1167,1266
3,Last Close Price,0.71,0.60,0.49,0.53,0.50,0.45,0.48,0.54,0.51,0.54,0.76
4,PE Ratio,5.09,4.27,3.49,3.99,4.01,3.65,4.50,5.86,5.46,6.18,9.67
5,PS Ratio,1.31,1.11,0.93,1.02,0.97,0.84,1.00,1.31,1.34,1.65,2.52
6,PB Ratio,0.39,0.33,0.28,0.32,0.32,0.28,0.32,0.38,0.37,0.43,0.65
7,P/TBV Ratio,0.33,0.33,0.28,0.32,0.32,0.28,0.32,0.38,0.37,0.43,0.65
8,P/FCF Ratio,-,-27.20,-,-,2.51,2.07,2.16,2.30,3.17,-3.26,-
9,P/OCF Ratio,2.35,2.35,2.35,2.94,2.38,1.99,2.09,2.17,2.74,3.87,5.66
10,EV/Sales Ratio,0.97,0.77,0.55,0.24,0.27,0.41,0.64,1.20,1.39,1.87,2.09
11,EV/EBITDA Ratio,1.91,1.62,1.15,0.52,0.61,0.93,1.43,2.58,2.72,3.32,3.62
12,EV/EBIT Ratio,2.73,2.16,1.55,0.70,0.85,1.31,2.04,3.79,3.92,4.71,5.12
13,EV/FCF Ratio,-23.75,-18.82,-,-,0.70,1.00,1.39,2.11,3.29,-3.70,-
14,Debt / Equity Ratio,0.12,0.12,0.12,0.14,0.09,0.10,0.10,0.09,0.09,0.15,0.15
15,Debt / FCF Ratio,-,-10.08,-,-,0.72,0.71,0.70,0.55,0.80,-1.10,-
16,Return on Capital Employed (ROCE),9.39%,9.39%,9.48%,9.28%,9.48%,9.37%,9.03%,8.28%,8.89%,9.31%,9.12%
17,Earnings Yield,19.64%,23.44%,28.64%,25.09%,24.92%,27.38%,22.22%,17.08%,18.33%,16.19%,10.34%
18,FCF Yield,-3.11%,-3.68%,-27.24%,-3.75%,39.86%,48.39%,46.40%,43.50%,31.54%,-30.68%,-19.90%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.00%,-35.34%,-38.33%,
20,Total Shareholder Return,3.71%,-,-,-,-,-,-,-,-0.00%,-35.34%,-38.33%
