,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,114826,11551,-,-,-
1,Enterprise Value,114381,11889,-,-,-
2,Last Close Price,682.00,70.00,-,-,-
3,PE Ratio,110.60,13.70,-,-,-
4,PS Ratio,16.90,2.18,-,-,-
5,PB Ratio,36.15,3.71,-,-,-
6,P/TBV Ratio,3.71,3.71,-,-,-
7,P/FCF Ratio,-,82.53,-,-,-
8,P/OCF Ratio,-,59.65,-,-,-
9,EV/Sales Ratio,20.15,2.24,-,-,-
10,EV/EBITDA Ratio,85.66,10.14,-,-,-
11,EV/EBIT Ratio,97.41,10.46,-,-,-
12,EV/FCF Ratio,-705.76,84.95,-,-,-
13,Debt / Equity Ratio,0.14,0.14,0.14,-,0.39
14,Debt / EBITDA Ratio,0.33,0.23,0.23,-,0.52
15,Debt / FCF Ratio,-,3.14,3.62,-,6.97
16,Asset Turnover,1.83,-,-,-,
17,Inventory Turnover,-,1.96,-,-,-
18,Quick Ratio,1.53,1.53,1.53,-,-
19,Current Ratio,4.38,4.38,4.38,-,-
20,Return on Equity (ROE),40.58%,-,-,-,
21,Return on Assets (ROA),25.74%,-,-,-,
22,Return on Capital (ROIC),29.89%,-,-,-,
23,Return on Capital Employed (ROCE),35.69%,34.54%,21.63%,-,-
24,Earnings Yield,0.76%,7.30%,-,-,-
25,FCF Yield,-0.14%,1.21%,-,-,-
