,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,1760,1760,708.76,708.76
1,Cost of Revenue,1033,1033,413.51,413.51
2,Gross Profit,727.49,727.49,295.25,295.25
3,"Selling, General & Admin",328.39,328.39,158.9,158.9
4,Research & Development,3.28,3.28,2.33,2.33
5,Other Operating Expenses,0.44,0.44,0.54,0.54
6,Operating Expenses,332.1,332.1,161.77,161.77
7,Operating Income,395.39,395.39,133.48,133.48
8,Interest Expense,-5.31,-5.31,-4.19,-4.19
9,Interest & Investment Income,0.3,0.3,0.14,0.14
10,Currency Exchange Gain (Loss),0.28,0.28,0.11,0.11
11,Other Non Operating Income (Expenses),0.3,0.3,0.42,0.42
12,EBT Excluding Unusual Items,390.95,390.95,129.95,129.95
13,Gain (Loss) on Sale of Assets,-0.76,-0.76,-0.16,-0.16
14,Pretax Income,390.2,390.2,129.79,129.79
15,Income Tax Expense,96.29,96.29,31.41,31.41
16,Net Income,293.91,293.91,98.38,98.38
17,Net Income to Common,293.91,293.91,98.38,98.38
18,Shares Outstanding (Basic),143,143,137,137
19,Shares Outstanding (Diluted),143,143,137,137
20,EPS (Basic),2.06,2.06,0.72,0.72
21,EPS (Diluted),2.06,2.06,0.72,0.72
22,Free Cash Flow,17.04,17.04,48.09,48.09
23,Free Cash Flow Per Share,0.12,0.12,0.35,0.35
24,Gross Margin,41.33%,41.33%,41.66%,41.66%
25,Operating Margin,22.46%,22.46%,18.83%,18.83%
26,Profit Margin,16.70%,16.70%,13.88%,13.88%
27,Free Cash Flow Margin,0.97%,0.97%,6.78%,6.78%
28,EBITDA,405.53,405.53,139.84,139.84
29,EBITDA Margin,23.04%,23.04%,19.73%,19.73%
30,D&A For EBITDA,10.14,10.14,6.37,6.37
31,EBIT,395.39,395.39,133.48,133.48
32,EBIT Margin,22.46%,22.46%,18.83%,18.83%
33,Effective Tax Rate,24.68%,24.68%,24.20%,24.20%
