,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,823.9,823.9,-,-
1,Cash & Short-Term Investments,823.9,823.9,-,68.77
2,Receivables,369.91,369.91,-,-
3,Inventory,2108.0,2108.0,-,-
4,Other Current Assets,103.87,103.87,-,-
5,Total Current Assets,3406.0,3406.0,-,-
6,"Property, Plant & Equipment",369.85,369.85,-,-
7,Other Intangible Assets,2.77,2.77,-,-
8,Long-Term Deferred Tax Assets,11.58,11.58,-,-
9,Other Long-Term Assets,50.41,50.41,-,-
10,Total Assets,3841.0,3841.0,-,-
11,Accounts Payable,226.22,226.22,-,-
12,Accrued Expenses,139.73,139.73,-,-
13,Short-Term Debt,126.87,126.87,-,-
14,Current Portion of Leases,121.48,121.48,-,-
15,Current Income Taxes Payable,35.83,35.83,-,-
16,Current Unearned Revenue,45.24,45.24,-,-
17,Other Current Liabilities,83.17,83.17,-,-
18,Total Current Liabilities,778.53,778.53,-,-
19,Long-Term Leases,161.03,161.03,-,-
20,Long-Term Unearned Revenue,1.04,1.04,-,-
21,Other Long-Term Liabilities,2.89,2.89,-,-
22,Total Liabilities,943.49,943.49,-,-
23,Common Stock,165.01,165.01,-,-
24,Additional Paid-In Capital,1356.0,1356.0,-,-
25,Retained Earnings,1339.0,1339.0,-,-
26,Comprehensive Income & Other,37.16,37.16,-,-
27,Shareholders' Equity,2897.0,2897.0,-,869.57
28,Total Liabilities & Equity,3841.0,3841.0,-,-
29,Total Debt,409.38,409.38,-,334.93
30,Net Cash (Debt),414.53,414.53,-,-266.16
31,Net Cash Per Share,2.9,2.9,-,-1.95
32,Filing Date Shares Outstanding,165.01,165.01,136.5,136.5
33,Total Common Shares Outstanding,165.01,165.01,136.5,136.5
34,Working Capital,2628.0,2628.0,-,-
35,Book Value Per Share,17.56,17.56,-,6.37
36,Tangible Book Value,2894.0,2894.0,-,866.5
37,Tangible Book Value Per Share,17.54,17.54,-,6.35
