,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,143.14,134.91,115.88,103.84,126.52,118.58,128.64,102.19,119.93,105.98,93.32,67.91,88.18,74.39,68.7,65.33,77.05,59.17
1,Other Revenue,-,-4.02,4.02,-,7.3,-4.05,4.05,-,10.56,-2.71,2.71,-,7.23,-1.32,1.32,-,2.97,-
2,Revenue,143.14,130.89,119.91,103.84,133.82,114.53,132.69,102.19,130.5,103.27,96.03,67.91,95.41,73.07,70.02,65.33,80.02,59.17
3,Revenue Growth (YoY),6.96%,14.29%,-9.64%,1.62%,2.55%,10.91%,38.17%,50.48%,36.77%,41.32%,37.16%,3.96%,19.24%,23.49%,-,-,-,-
4,Cost of Revenue,-134.47,49.63,46.52,38.32,53.8,42.54,49.83,41.73,58.03,41.47,41.64,30.2,41.86,31.74,30.14,28.64,34.91,27.19
5,Gross Profit,277.61,81.26,73.38,65.52,80.02,71.99,82.86,60.46,72.46,61.79,54.4,37.71,53.55,41.33,39.87,36.69,45.11,31.98
6,"Selling, General & Admin",-82.76,31.69,29.23,21.84,26.5,24.17,23.69,21.09,24.01,16.98,15.76,16.37,16.11,10.08,10.63,9.64,-5.99,-3.31
7,Research & Development,-69.73,25.8,23.09,20.84,31.63,20.81,16.89,16.76,23.3,13.54,10.69,10.08,14.66,8.86,7.47,7.3,28.87,27.43
8,Other Operating Expenses,382.72,-5.67,0.73,-3.14,3.35,-5.07,-2.64,-5.74,14,-9.13,-3.5,-1.26,4.94,-1.7,-3.1,-0.7,1.72,3.79
9,Operating Expenses,229.09,51.71,54.29,39.55,59.68,40.19,38.54,32.06,62.27,22.09,24.37,24.94,36.22,17.33,15.1,16.58,24.96,28.32
10,Operating Income,48.51,29.56,19.09,25.97,20.34,31.8,44.32,28.4,10.19,39.71,30.03,12.78,17.33,24,24.78,20.11,20.15,3.66
11,Interest Expense,-28.2,-0.38,-0.42,-0.43,-0.17,-0.22,-0.24,-0.26,-0.31,-0.26,-0.13,-0.13,-0.13,-0.11,-0.23,-,-,-
12,Interest & Investment Income,1.23,7.78,9.83,10.59,10.18,9.77,10.49,10.48,10.76,10.92,10.52,10.68,3.07,0.17,0.23,0.91,0.66,0.26
13,Currency Exchange Gain (Loss),-,1.9,-1.9,-,5.7,-5.29,5.29,-,5.75,0.33,-0.33,-,-4.98,1.22,-1.22,-,-1.8,0.63
14,Other Non Operating Income (Expenses),-1.86,-0.42,2.04,-2.42,2.54,3.25,-6.82,0.36,-2.18,-2.15,1.23,-1.54,2,-2.22,0.6,-1.05,-0.82,-0.49
15,EBT Excluding Unusual Items,19.69,38.43,28.64,33.71,38.6,39.31,53.04,38.99,24.21,48.55,41.32,21.79,17.29,23.06,24.17,19.96,18.19,4.06
16,Gain (Loss) on Sale of Assets,-0.21,-,0.21,-,0.02,-,0,-0.02,0,-,-0,-0,0,0,-0.01,0.01,-0.01,-
17,Asset Writedown,-0.08,0.08,-,-,-0.2,0.15,-0.09,0.09,0.34,-0.34,0,-0,0.26,-0.26,-0.02,0.02,-,-0
18,Other Unusual Items,-,-2.14,2.14,-,-0.76,-0.05,0.05,-,17.33,-,-,-,5.94,-,-,-,4.05,4.1
19,Pretax Income,19.4,36.38,30.99,33.71,37.66,39.42,52.99,39.06,41.89,48.2,41.32,21.79,23.5,22.8,24.14,19.99,22.23,8.15
20,Income Tax Expense,-0.43,3.17,2.92,3.34,1.42,3.8,5.46,3.19,1.64,4.21,4.84,1.74,2.91,2.87,2.4,1.18,2.7,0.45
21,Net Income,19.83,33.21,28.07,30.37,36.24,35.61,47.54,35.87,40.24,44,36.48,20.05,20.59,19.92,21.74,18.81,19.53,7.71
22,Net Income to Common,19.83,33.21,28.07,30.37,36.24,35.61,47.54,35.87,40.24,44,36.48,20.05,20.59,19.92,21.74,18.81,19.53,7.71
23,Net Income Growth,-45.28%,-6.76%,-40.95%,-15.33%,-9.95%,-19.06%,30.29%,78.94%,95.49%,120.83%,67.81%,6.59%,5.42%,158.56%,-,-,-,-
24,Shares Outstanding (Basic),163,158,156,160,158,155,165,156,154,165,157,157,132,119,120,117,119,119
25,Shares Outstanding (Diluted),163,158,156,160,158,155,165,156,154,165,157,157,132,119,120,117,119,119
26,Shares Change (YoY),3.39%,1.84%,-5.33%,2.50%,2.37%,-5.69%,5.10%,-0.81%,16.33%,38.67%,30.50%,34.68%,11.04%,-0.39%,-,-,-,-
27,EPS (Basic),0.12,0.21,0.18,0.19,0.23,0.23,0.29,0.23,0.26,0.27,0.23,0.13,0.16,0.17,0.18,0.16,0.16,0.06
