,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4862,4462,4680,4297,5833,6374,7922,8389,8221,9947,8068,6522,5870,10451,-,-,-,-,-
1,Market Cap Growth,-30.00%,-30.00%,-40.92%,-48.78%,-29.04%,-35.91%,-1.82%,28.63%,40.05%,-4.83%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3715,3315,3537,3012,4624,5166,6731,7144,6981,8707,6840,5252,4598,10347,-,-,-,-,-
3,Last Close Price,30.54,28.03,29.40,26.99,35.61,38.92,48.36,51.30,49.75,60.19,48.83,39.47,35.14,62.57,-,-,-,-,-
4,PE Ratio,43.63,40.03,36.60,32.98,38.95,41.06,49.74,50.04,52.50,70.66,66.62,67.20,71.32,128.93,-,-,-,-,-
5,Forward PE,25.24,24.27,23.06,20.45,29.55,30.03,35.48,39.03,41.21,56.73,52.90,45.88,-,-,-,-,-,-,-
6,PS Ratio,9.77,8.96,9.58,9.10,12.03,13.19,16.51,17.90,19.03,25.01,22.25,19.62,19.16,34.40,-,-,-,-,-
7,PB Ratio,3.21,2.95,3.09,2.90,3.66,4.08,5.18,5.65,5.39,6.69,5.58,4.66,4.16,7.51,-,-,-,-,-
8,P/TBV Ratio,2.95,2.95,3.09,2.90,3.66,4.08,5.18,5.65,5.39,6.69,5.58,4.66,4.16,7.51,-,-,-,-,-
9,P/FCF Ratio,-,-,39.96,34.67,49.36,74.93,534.90,424.40,-,785.21,213.34,302.19,-,354.04,-,-,-,-,-
10,P/OCF Ratio,-,-,31.68,29.41,42.22,59.98,218.96,208.11,-,341.63,157.11,197.63,-,285.83,-,-,-,-,-
11,PEG Ratio,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.19,1.28,1.19,1.03,-,-,-,-,-,-,-
12,EV/Sales Ratio,7.46,6.66,7.24,6.38,9.54,10.69,14.03,15.24,16.16,21.89,18.86,15.80,15.00,34.05,-,-,-,-,-
13,EV/EBITDA Ratio,28.57,25.37,34.51,28.98,36.04,39.75,56.56,56.45,62.59,91.12,66.84,60.68,56.76,117.22,-,-,-,-,-
14,EV/EBIT Ratio,30.17,26.92,37.24,30.99,37.77,41.37,58.68,58.26,64.44,93.91,68.50,62.42,58.28,120.01,-,-,-,-,-
15,EV/FCF Ratio,-,-,30.20,24.31,39.13,60.72,454.49,361.42,-,687.33,180.86,243.36,-,350.49,-,-,-,-,-
16,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,-,0.04,-,-,-
17,Debt / EBITDA Ratio,0.26,0.17,0.27,0.31,0.34,0.13,0.13,0.09,0.17,0.32,0.14,0.07,0.20,0.11,-,0.08,-,-,-
18,Debt / FCF Ratio,-,-,0.29,0.27,0.32,0.18,1.13,0.93,-,1.70,0.60,0.44,-,0.31,-,0.18,-,-,-
19,Asset Turnover,-,0.32,0.29,0.25,0.33,0.29,0.33,0.25,0.33,0.27,0.26,0.18,-,-,-,-,-,-,
20,Inventory Turnover,-,-,0.85,0.84,0.72,1.04,0.85,1.07,1.01,1.53,1.23,1.46,1.17,-,-,-,-,-,-
21,Quick Ratio,-,-,14.09,14.70,14.27,15.82,19.02,15.60,16.70,14.68,15.98,18.85,26.47,19.55,-,2.44,-,2.79,1.98
22,Current Ratio,-,-,16.96,17.55,16.78,18.39,22.25,18.14,19.26,16.58,17.97,20.79,28.90,21.23,-,4.04,-,4.00,3.32
23,Return on Equity (ROE),5.24%,8.87%,7.30%,7.70%,9.38%,9.46%,12.64%,9.53%,10.97%,12.37%,10.38%,5.72%,-,-,48.21%,46.96%,-,-,
24,Return on Assets (ROA),-,4.57%,2.88%,3.84%,3.10%,4.97%,6.91%,4.41%,1.62%,6.55%,5.09%,2.17%,-,-,-,-,-,-,
25,Return on Capital (ROIC),7.83%,4.82%,3.04%,4.05%,3.26%,5.22%,7.27%,4.65%,1.71%,6.90%,5.30%,2.26%,-,-,33.58%,31.38%,-,-,
26,Return on Capital Employed (ROCE),-,-,6.15%,6.43%,7.54%,7.92%,7.43%,8.17%,7.03%,6.15%,6.80%,5.97%,5.55%,6.15%,-,32.94%,-,14.60%,3.37%
27,Earnings Yield,2.29%,2.50%,2.73%,3.03%,2.57%,2.44%,2.01%,2.00%,1.90%,1.42%,1.50%,1.49%,1.40%,0.78%,-,-,-,-,-
28,FCF Yield,-,2.50%,2.88%,2.03%,1.33%,0.19%,0.24%,-0.03%,0.13%,0.47%,0.33%,0.43%,0.28%,-,-,-,-,-,
29,Dividend Yield,2.81%,-,-,-,-,2.26%,-,-,-,0.95%,-,-,-,0.50%,-,-,-,-,-
30,Payout Ratio,0.00%,-,-,499.12%,-,-,-,190.74%,-,-,-,137.05%,-,-,-,-,-,-,-
31,Buyback Yield / Dilution,-0.52%,-3.39%,-1.84%,5.33%,-2.50%,-2.37%,5.69%,-5.10%,0.81%,-16.33%,-38.67%,-30.50%,-34.68%,-11.04%,0.39%,-,-,-,-
32,Total Shareholder Return,2.29%,-3.39%,-1.84%,5.33%,-2.50%,-0.11%,5.69%,-5.10%,0.81%,-15.39%,-38.67%,-30.50%,-34.68%,-10.54%,0.39%,-,-,-,-
