,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q4 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,-,1181,1177,1322,1308,1225,1209,1265,1279,1263,1238,1280,1282,-,112.96,-,110.25,60.14
1,Cash & Short-Term Investments,1181,1181,1177,1322,1308,1225,1209,1265,1279,1263,1238,1280,1282,-,112.96,110.25,110.25,60.14
2,Cash Growth,-9.74%,-3.63%,-2.65%,4.55%,2.31%,-2.94%,-2.31%,-1.21%,-0.22%,-,995.78%,1061.14%,1062.46%,-,-,-,-,-
3,Accounts Receivable,-,90.61,81.96,66.05,66.14,96.74,99.19,87.33,85.56,70.97,71.23,43.26,47.94,-,37.08,-,29.1,23.2
4,Other Receivables,-,3.19,2.82,2.37,3.5,3.19,3.08,2.5,2.08,3.09,4.71,0.46,1.77,-,1.2,-,3.72,0.94
5,Receivables,-,93.8,84.77,68.41,69.63,99.93,102.27,89.83,87.63,74.06,75.94,43.72,49.71,-,38.29,-,32.82,24.14
6,Inventory,-,241.87,224.14,220.38,206.88,205.23,194.68,176.37,155.67,148.33,122.38,105.99,100.45,-,84.62,-,54.37,51.69
7,Other Current Assets,-,17.63,20.59,24.96,16.77,19.87,18.24,31.31,21.46,18.08,13.14,15.84,13.97,-,14.14,-,7.48,5.78
8,Total Current Assets,-,1534,1507,1636,1602,1550,1524,1562,1543,1503,1449,1446,1446,-,250.01,-,204.91,141.75
9,"Property, Plant & Equipment",-,68.84,65.52,65.28,45.36,46.02,43.23,43.28,39.13,37.89,23.06,20.81,19.02,-,15.36,-,5.88,5.48
10,Other Intangible Assets,-,1.09,1,0.1,0.11,0.02,0.02,0.03,0.04,0.07,0.09,0.12,0.11,-,0.17,-,0.25,0.24
11,Long-Term Deferred Tax Assets,-,7.78,7.18,7.39,8.85,10.25,10.63,9.97,10.27,8.58,5.22,4.34,3.41,-,4.78,-,3.16,3.66
12,Long-Term Deferred Charges,-,5.48,3.2,1.66,1.87,2.09,1.96,1.81,1.87,0.55,0.64,0.73,0.64,-,0.1,-,0.14,0.21
13,Other Long-Term Assets,-,17.73,14.83,10.47,5.11,4.11,5.24,4.03,5.09,1.54,1.14,0.95,0.87,-,-,-,-,-
