,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,166.86,148.59,137.8,145.05,130.95,105.31,105.43,122.46,125.26,95.77,102.38
1,Other Revenue,-1.83,1.83,-,3.73,-2.04,2.04,-,3.58,-,-,-
2,Revenue,165.03,150.42,137.8,148.78,128.91,107.35,105.43,126.04,125.26,95.77,102.38
3,Revenue Growth (YoY),28.02%,40.11%,30.71%,18.04%,2.91%,12.10%,2.98%,-,-,-,-
4,Cost of Revenue,114.59,112.59,101.96,113.05,90.46,75.97,74.3,93.35,86.83,66.99,72.38
5,Gross Profit,50.44,37.82,35.84,35.73,38.46,31.39,31.13,32.69,38.43,28.78,30.01
6,"Selling, General & Admin",16.91,16.64,15.02,20.09,15.2,14.62,14.24,11.89,11.74,7.03,7.44
7,Research & Development,5.39,5.27,4.16,4.66,3.85,4.03,3.58,3.29,3.53,2.68,2.11
8,Other Operating Expenses,1.8,2.95,0.32,2.6,0.95,0.29,0.9,2.69,1.31,-0.07,1.11
9,Operating Expenses,23.72,21.54,24.27,26.15,20.04,19.78,18.2,18.03,20.27,9.16,8.77
10,Operating Income,26.72,16.28,11.57,9.58,18.42,11.61,12.93,14.66,18.17,19.62,21.23
11,Interest Expense,-0.48,-0.36,-0.3,-0.33,-0.28,-0.42,-0.66,-0.75,-0.72,-0.73,-0.67
12,Interest & Investment Income,0.5,1.18,0.98,1.4,1.26,1.68,0.6,0.03,0.06,0.05,0.03
13,Currency Exchange Gain (Loss),1.05,-1.05,-,0.09,-0.14,0.14,-,0.77,-0.44,0.44,-
14,Other Non Operating Income (Expenses),-3.24,0.27,-0.22,-0.49,-0.81,0.28,-0.4,0.16,-0.14,0.67,-0.63
15,EBT Excluding Unusual Items,24.56,16.31,12.04,10.25,18.44,13.29,12.48,14.88,16.93,20.04,19.96
16,Gain (Loss) on Sale of Investments,-0.02,-0.46,0.19,-0.19,0.2,0.27,0.07,-,-,0.02,-0.02
17,Gain (Loss) on Sale of Assets,-0.58,0.53,-0.52,-,-,-,-,-,0.1,0.11,-
18,Asset Writedown,-3.11,0.3,-0.88,1.11,-1.12,0.3,-0.36,1.98,-2.02,0.24,-0.27
19,Other Unusual Items,0.55,-0.53,-0.16,2.03,0,-0,-,4.4,0.7,-0.7,-
20,Pretax Income,21.4,16.14,10.66,13.2,17.52,13.85,12.19,21.25,15.7,19.72,19.68
21,Income Tax Expense,3.54,1.34,2.26,2.14,2.7,1.18,2.85,3.32,1.99,2.98,3.76
22,Net Income,17.86,14.8,8.4,11.07,14.82,12.67,9.33,17.94,13.72,16.74,15.91
23,Net Income to Common,17.86,14.8,8.4,11.07,14.82,12.67,9.33,17.94,13.72,16.74,15.91
24,Net Income Growth,20.51%,16.83%,-10.00%,-38.31%,8.04%,-24.29%,-41.35%,-,-,-,-
25,Shares Outstanding (Basic),110,112,120,121,115,113,96,85,86,83,88
26,Shares Outstanding (Diluted),110,112,120,121,115,113,96,85,86,83,88
27,Shares Change (YoY),-4.50%,-1.15%,24.71%,41.25%,34.52%,35.86%,8.84%,-,-,-,-
28,EPS (Basic),0.16,0.13,0.07,0.09,0.13,0.11,0.10,0.21,0.16,0.20,0.18
29,EPS (Diluted),0.16,0.13,0.07,0.09,0.13,0.11,0.10,0.21,0.16,0.20,0.18
30,EPS Growth,26.20%,18.19%,-27.84%,-56.32%,-19.68%,-44.27%,-46.11%,-,-,-,-
