,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,114.72,145.5,164.94,186.87,77.8,157.13,270.3,61.44,-,49.22,-
1,Short-Term Investments,-,-,-,0,-,40,-,-,-,-,-
2,Trading Asset Securities,30.05,71.63,95.54,110.35,140.54,70.34,100.09,-,-,-,-
3,Cash & Short-Term Investments,144.77,217.13,260.48,297.22,218.33,267.47,370.4,61.44,-,49.22,36.56
4,Cash Growth,-33.70%,-18.82%,-29.68%,383.78%,-,443.40%,912.99%,-,-,-,-
5,Accounts Receivable,246.78,209.02,224.43,232.3,207.07,172.15,173.49,176.27,-,137.44,-
6,Other Receivables,3.89,4.37,19.26,6.68,7.28,6.09,7.29,7.2,-,7.21,-
7,Receivables,250.67,213.38,243.69,238.98,214.35,178.23,180.79,183.47,-,144.65,-
8,Inventory,96.52,93.82,106.29,99.47,104.3,98.67,102.95,97.31,-,82.87,-
9,Other Current Assets,25.94,5.57,8.96,4.24,56.04,10.77,14.03,7.31,-,13.33,-
10,Total Current Assets,517.89,529.9,619.41,639.92,593.03,555.15,668.16,349.52,-,290.07,-
11,"Property, Plant & Equipment",406.79,359.34,336.6,334.2,332.34,334.81,327.01,305.23,-,266.36,-
12,Other Intangible Assets,37.62,37.23,37.76,38.38,35.11,35.55,36.29,36.75,-,36.72,-
13,Long-Term Deferred Tax Assets,4.48,3.39,2.85,3.13,3.49,3.61,3.16,3.26,-,3.59,-
14,Long-Term Deferred Charges,1.04,0.36,0.26,0.29,0.33,-,-,-,-,-,-
15,Other Long-Term Assets,62.22,98.94,26,27.81,16.46,17.63,18.81,19.27,-,23.63,-
16,Total Assets,1030,1029,1023,1044,980.75,946.75,1053,714.04,-,620.37,-
17,Accounts Payable,112.54,124.53,136.62,114.73,107.2,80,88.99,118.81,-,61.35,-
18,Accrued Expenses,4.61,14.09,4.51,20.56,4.03,11.61,3.05,14.64,-,14.24,-
19,Short-Term Debt,10.62,10.62,10.47,60.06,20.02,26.83,49.96,54.96,-,45.84,-
20,Current Portion of Long-Term Debt,-,-,-,-,0.97,-,5.43,7.42,-,20.26,-
21,Current Portion of Leases,5.01,6.03,0.99,0.97,-,0.96,-,0.89,-,0.83,-
22,Current Income Taxes Payable,3.34,1.78,4.11,0.74,5.7,2.1,4.64,4.04,-,3.68,-
23,Current Unearned Revenue,1.72,1.48,1.95,2.54,1.19,1.34,1.02,2.37,-,1.29,-
24,Other Current Liabilities,70.29,63.21,77.27,64.18,75.09,73.17,102.79,73.96,-,64.85,-
25,Total Current Liabilities,208.13,221.74,235.94,263.77,214.2,196.01,255.88,277.1,-,212.36,-
26,Long-Term Debt,-,-,-,-,-,-,-,2.12,-,4.13,-
27,Long-Term Leases,21.9,25.22,6.2,6.44,6.79,7.08,6.97,7.29,-,7.47,-
28,Long-Term Unearned Revenue,0.36,0.39,0.41,0.44,-,-,-,-,-,0.5,-
29,Long-Term Deferred Tax Liabilities,1.85,2.14,1.17,2.28,-,-,-,-,-,-,-
30,Total Liabilities,232.24,249.48,243.73,272.93,220.99,203.09,262.84,286.51,-,224.46,-
31,Common Stock,115,115,115,115,115,115,115,86.25,-,86.25,-
32,Additional Paid-In Capital,479.83,479.83,479.83,479.83,479.83,478.51,478.51,153.43,-,153.43,-
33,Retained Earnings,202.63,184.77,184.34,175.97,164.91,150.09,197.13,187.88,-,156.23,-
34,Comprehensive Income & Other,0.34,0.08,-0,-0,0.03,0.06,-0.05,-0.03,-,-0,-
35,Shareholders' Equity,797.79,779.68,779.16,770.8,759.77,743.66,790.59,427.53,-,395.91,363.26
36,Total Liabilities & Equity,1030,1029,1023,1044,980.75,946.75,1053,714.04,-,620.37,-
37,Total Debt,37.53,41.87,17.66,67.47,27.77,34.87,62.35,72.69,-,78.54,67.99
38,Net Cash (Debt),107.24,175.26,242.82,229.74,190.56,232.6,308.04,-11.25,-,-29.32,-31.43
39,Net Cash Growth,-43.73%,-24.65%,-21.17%,-,-,-,-,-,-,-,-
40,Net Cash Per Share,0.97,1.56,2.02,1.91,1.65,2.05,3.20,-0.13,-,-0.35,-0.36
41,Filing Date Shares Outstanding,115,115,115,115,115,115,115,115,85.74,86.25,88.39
42,Total Common Shares Outstanding,115,115,115,115,115,115,115,86.25,85.74,86.25,88.39
43,Working Capital,309.76,308.16,383.48,376.15,378.83,359.14,412.28,72.43,-,77.71,-
44,Book Value Per Share,6.94,6.78,6.78,6.70,6.61,6.47,6.87,4.96,-,4.59,4.20
45,Tangible Book Value,760.17,742.45,741.41,732.42,724.66,708.11,754.3,390.78,-,359.18,325.13
46,Tangible Book Value Per Share,6.61,6.46,6.45,6.37,6.30,6.16,6.56,4.53,-,4.16,3.76
47,Buildings,-,247.02,-,230.14,-,224.62,-,189.73,-,184.7,-
48,Machinery,-,216.1,-,215.2,-,198.63,-,166.67,-,160.98,-
49,Construction In Progress,-,4.27,-,7.57,-,13.79,-,40.35,-,1.69,-
