,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2062,1763,1602,1930,2538,2458,2471,2740,-,-,-,-
1,Market Cap Growth,-28.26%,-28.26%,-35.18%,-29.58%,-,-,-,-,-,-,-,-
2,Enterprise Value,1955,1588,1359,1739,2347,2225,2163,2770,-,-,-,-
3,Last Close Price,17.93,15.33,13.93,16.64,21.89,21.19,21.31,23.07,-,-,-,-
4,PE Ratio,39.79,33.82,32.63,41.10,53.00,44.88,46.06,47.48,-,-,-,-
5,PS Ratio,3.45,2.93,2.83,3.69,5.17,5.25,5.33,6.06,-,-,-,-
6,PB Ratio,2.58,2.21,2.05,2.48,3.29,3.23,3.32,3.47,-,-,-,-
7,P/TBV Ratio,2.32,2.32,2.16,2.60,3.47,3.39,3.49,3.63,-,-,-,-
8,P/FCF Ratio,-,-,-72.84,-,-,-67.96,-,-,-,-,-,-
9,P/OCF Ratio,37.04,-,16.41,130.34,-144.80,-398.51,-,-,-,-,-,-
10,EV/Sales Ratio,3.25,2.64,2.40,3.33,4.79,4.76,4.66,6.12,-,-,-,-
11,EV/EBITDA Ratio,19.87,16.51,15.63,21.65,29.05,26.17,26.05,30.61,-,-,-,-
12,EV/EBIT Ratio,30.47,24.75,24.33,33.98,44.68,38.61,37.71,42.36,-,-,-,-
13,EV/FCF Ratio,-20.78,-,-61.80,-,-,-61.53,-,-,-,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.02,0.09,0.04,0.05,0.08,0.17,-,0.20,0.19
15,Debt / EBITDA Ratio,0.38,0.27,0.39,0.23,0.92,0.28,0.45,0.79,0.82,-,0.75,0.65
16,Debt / FCF Ratio,-,-,-1.90,-,-,-0.77,-,-,1.93,-,1.98,5.60
17,Asset Turnover,0.64,0.59,0.53,0.59,0.54,0.43,0.48,-,-,-,-,
18,Inventory Turnover,4.40,4.82,4.50,3.96,4.44,3.57,3.01,2.97,-,-,-,-
19,Quick Ratio,1.90,1.90,1.94,2.14,2.03,2.02,2.27,2.15,0.88,-,0.91,-
20,Current Ratio,2.49,2.49,2.39,2.63,2.43,2.77,2.83,2.61,1.26,-,1.37,-
21,Return on Equity (ROE),9.06%,7.60%,4.33%,5.78%,7.88%,6.61%,6.13%,-,-,17.64%,-,
22,Return on Assets (ROA),6.49%,3.97%,2.80%,2.37%,4.78%,2.90%,3.66%,-,-,-,-,
23,Return on Capital (ROIC),8.06%,5.03%,3.54%,2.95%,5.88%,3.56%,4.78%,-,-,10.83%,-,
24,Return on Capital Employed (ROCE),7.81%,7.81%,6.92%,6.50%,6.74%,7.52%,7.64%,8.20%,16.86%,-,10.01%,-
25,Earnings Yield,2.53%,2.96%,3.06%,2.43%,1.89%,2.23%,2.17%,2.11%,-,-,-,-
26,FCF Yield,-4.56%,-5.34%,-1.37%,-2.05%,-2.75%,-1.47%,-2.16%,-0.56%,-,-,-,-
27,Dividend Yield,0.69%,-,-,-,0.57%,-,-,-,-,-,-,-
28,Payout Ratio,28.83%,0.39%,97.61%,4.77%,1.00%,2.71%,473.15%,7.50%,3.80%,4.84%,4.33%,193.94%
29,Buyback Yield / Dilution,-12.79%,4.50%,1.15%,-24.71%,-41.25%,-34.52%,-35.86%,-8.84%,-,-,-,-
30,Total Shareholder Return,-12.10%,4.50%,1.15%,-24.71%,-40.68%,-34.52%,-35.86%,-8.84%,-,-,-,-
