,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2762,2066,1752,1519,1997,2027,1967,2038,1819,2160,-,-,-,-,-,-
1,Market Cap Growth,1.93%,1.93%,-10.94%,-25.44%,9.76%,-6.15%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2354,1696,1387,1143,1621,1634,1607,1701,1483,2091,-,-,-,-,-,-
3,Last Close Price,34.52,25.74,21.83,18.83,24.75,25.12,24.38,25.07,22.38,26.57,-,-,-,-,-,-
4,PE Ratio,51.34,38.41,39.75,39.65,59.02,55.67,49.06,39.43,28.36,30.03,-,-,-,-,-,-
5,PS Ratio,5.39,4.03,3.57,3.33,4.66,4.93,4.76,4.30,3.36,3.60,-,-,-,-,-,-
6,PB Ratio,3.82,2.86,2.48,2.16,2.90,2.99,-,3.01,2.72,3.30,-,-,-,-,-,-
7,P/TBV Ratio,2.91,2.91,2.53,2.20,2.96,3.05,-,3.07,2.78,3.37,-,-,-,-,-,-
8,P/FCF Ratio,73.97,55.35,43.50,42.63,38.20,48.14,60.87,37.84,-,41.29,-,-,-,-,-,-
9,P/OCF Ratio,39.34,39.34,31.09,28.51,28.65,39.59,44.62,30.93,25.60,31.43,-,-,-,-,-,-
10,EV/Sales Ratio,4.59,3.31,2.82,2.51,3.78,3.98,3.89,3.59,2.74,3.49,-,-,-,-,-,-
11,EV/EBITDA Ratio,34.40,23.97,23.27,24.23,36.95,47.89,45.72,33.22,22.32,25.56,-,-,-,-,-,-
12,EV/EBIT Ratio,44.79,30.36,30.76,34.84,54.28,79.79,74.89,44.91,27.95,30.58,-,-,-,-,-,-
13,EV/FCF Ratio,63.05,45.42,34.42,32.08,31.01,38.79,49.73,31.59,-,39.97,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.08,0.07,0.07,0.05,-,0.05,0.06,0.09,0.15,0.17,0.17,-,-,-
15,Debt / EBITDA Ratio,0.38,0.30,0.71,0.76,0.92,0.71,-,0.61,2.91,1.23,0.64,0.52,0.78,-,-,-
16,Debt / FCF Ratio,0.70,0.70,1.32,1.41,0.94,0.74,-,0.60,-,1.13,0.86,1.58,-,-,-,-
17,Asset Turnover,0.65,0.62,0.63,-,-,-,0.53,0.52,-,-,-,-,-,1.24,-,
18,Inventory Turnover,3.85,3.63,3.53,3.94,-,-,-,2.90,2.72,-,-,-,-,-,4.14,-
19,Quick Ratio,6.30,6.30,4.98,4.87,4.92,5.64,-,6.29,4.69,3.79,1.72,-,1.74,-,1.92,1.92
20,Current Ratio,7.57,7.57,6.01,5.81,5.82,6.69,-,7.54,5.93,4.63,2.49,-,2.61,-,2.88,2.88
21,Return on Equity (ROE),9.15%,7.80%,8.07%,-,-,-,5.67%,7.43%,-,21.37%,25.52%,-,-,21.98%,-,
22,Return on Assets (ROA),5.58%,4.49%,3.94%,-,-,-,3.21%,0.09%,-,-,-,-,-,12.32%,-,
23,Return on Capital (ROIC),6.09%,4.92%,4.33%,-,-,-,3.51%,0.10%,-,11.22%,15.56%,-,-,16.76%,-,
24,Return on Capital Employed (ROCE),7.24%,7.69%,6.35%,4.64%,4.31%,3.01%,-,5.56%,7.90%,10.40%,19.15%,-,20.81%,-,13.28%,6.64%
25,Earnings Yield,1.95%,2.60%,2.52%,2.52%,1.69%,1.80%,2.04%,2.54%,3.53%,3.33%,-,-,-,-,-,-
26,FCF Yield,1.35%,1.81%,2.30%,2.35%,2.62%,2.08%,1.64%,2.64%,3.03%,2.42%,-,-,-,-,-,-
27,Dividend Yield,0.42%,-,0.92%,-,0.48%,-,-,-,0.80%,-,-,-,-,-,-,-
28,Payout Ratio,17.85%,-,69.91%,-,-,-,180.60%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-19.98%,-0.01%,0.03%,-0.03%,-199.62%,33.05%,-32.31%,-33.28%,55.52%,-101.73%,-0.20%,0.63%,-,-,-,-
30,Total Shareholder Return,-19.57%,-0.01%,0.95%,-0.03%,-199.13%,33.05%,-32.31%,-33.28%,56.33%,-101.73%,-0.20%,0.63%,-,-,-,-
