,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,134.04,129.29,129.39,119.14,112.2,94.12,102.01,102.57,114.32,155.27,169.82,159.56,127.61,132.25,132.25
1,Other Revenue,-0,0,-,0.91,-0.04,0.04,-,0.05,-0.04,-,-,0.27,-0.03,0.01,0.01
2,Revenue,134.04,129.29,129.39,120.06,112.16,94.15,102.01,102.62,114.28,155.27,169.82,159.83,127.58,132.27,132.27
3,Revenue Growth (YoY),19.50%,37.32%,26.83%,16.99%,-1.85%,-39.36%,-39.93%,-35.79%,-10.43%,17.39%,28.39%,-,-,-,-
4,Cost of Revenue,107.42,102.62,105.58,99.46,95.51,80.36,87.27,87.01,98.92,127.87,135.39,125.97,105.13,103.97,103.97
5,Gross Profit,26.62,26.67,23.8,20.6,16.65,13.79,14.74,15.62,15.36,27.4,34.43,33.85,22.45,28.3,28.3
6,"Selling, General & Admin",4.68,5.31,4,5.2,5.4,4.27,2.3,6.55,6.61,3.82,3.04,3.88,3.4,3.08,3.08
7,Research & Development,5.93,6.31,5.67,5.25,4.99,4.58,4.22,6.2,3.98,6.41,5.21,7.7,4.79,4.61,4.61
8,Other Operating Expenses,-1.49,0.24,0.79,-0.09,-2.48,3.02,-1.58,3.43,-2.48,-0.8,-0.04,4.99,-0.2,-0.75,-0.75
9,Operating Expenses,8.25,11.79,10.89,10.92,9.06,11.17,4.77,15.33,6.78,8.36,9.28,18.26,7.65,7.31,7.31
10,Operating Income,18.37,14.89,12.92,9.67,7.59,2.63,9.97,0.29,8.58,19.04,25.15,15.59,14.8,20.99,20.99
11,Interest Expense,-,-,-,-,-,-,-,-,-,-0.04,-,-,-,-,-
12,Interest & Investment Income,2.2,2.33,2.2,2.25,1.98,1.74,1.67,1.61,1.17,-,0.04,0.14,0.18,0.16,0.16
13,Currency Exchange Gain (Loss),-0.8,0.8,-,1.09,-1.19,1.19,-,6.37,-4.62,-,-,-1.43,0.55,-0.28,-0.28
14,Other Non Operating Income (Expenses),-2.04,-0.25,0.21,-1.21,0.61,0.93,-1.07,-6.95,6.91,4.97,-0.42,1.27,-1.21,-0.1,-0.1
15,EBT Excluding Unusual Items,17.73,17.76,15.33,11.8,8.99,6.49,10.57,1.32,12.04,23.97,24.77,15.58,14.33,20.77,20.77
16,Gain (Loss) on Sale of Investments,0.16,-0.1,0.15,0.09,0.17,0.16,0.2,0.05,-0.14,0.17,0.3,0.03,0,-0.02,-0.02
17,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.05,-,-,-,-0.03,0.06,0.04,0.04
18,Asset Writedown,-1.08,-0.06,0.06,-0.02,-0,-0.23,-0.21,-0.24,-0.02,-0.02,-0,-0.65,0.6,-0.37,-0.37
19,Other Unusual Items,1.54,-2.32,0.78,-0.34,-2.22,2.22,-,11.2,-2.59,-,-,4.94,-,-,-
20,Pretax Income,18.35,15.28,16.33,11.53,6.94,8.64,10.56,12.37,9.29,24.12,25.07,19.86,14.99,20.42,20.42
21,Income Tax Expense,2.02,1.55,2.31,1.82,0.33,0.67,1.02,0.08,-1,4.56,3.05,-0.21,2.27,3.21,3.21
22,Net Income,16.33,13.73,14.02,9.71,6.61,7.97,9.54,12.29,10.29,19.56,22.01,20.07,12.72,17.21,17.21
23,Net Income to Common,16.33,13.73,14.02,9.71,6.61,7.97,9.54,12.29,10.29,19.56,22.01,20.07,12.72,17.21,17.21
24,Net Income Growth,147.14%,72.22%,46.99%,-21.03%,-35.78%,-59.23%,-56.66%,-38.75%,-19.14%,13.65%,27.92%,-,-,-,-
25,Shares Outstanding (Basic),80,80,80,80,80,80,80,27,119,61,60,60,59,60,60
26,Shares Outstanding (Diluted),80,80,80,80,80,80,80,27,119,61,60,60,59,60,60
27,Shares Change (YoY),0.01%,-0.03%,0.03%,199.62%,-33.05%,32.31%,33.28%,-55.52%,101.73%,0.20%,-0.63%,-,-,-,-
28,EPS (Basic),0.20,0.17,0.18,0.12,0.08,0.10,0.12,0.46,0.09,0.32,0.37,0.33,0.21,0.28,0.28
29,EPS (Diluted),0.20,0.17,0.18,0.12,0.08,0.10,0.12,0.46,0.09,0.32,0.37,0.33,0.21,0.28,0.28
30,EPS Growth,147.11%,72.27%,46.94%,-73.64%,-4.07%,-69.19%,-67.48%,37.71%,-59.92%,13.43%,28.74%,-,-,-,-
31,Free Cash Flow,10.16,17.14,2.39,7.65,13.1,12.49,19.03,-2.51,3.31,34.03,20.32,-5.35,17.63,4.62,4.62
32,Free Cash Flow Per Share,0.13,0.21,0.03,0.10,0.16,0.16,0.24,-0.09,0.03,0.56,0.34,-0.09,0.30,0.08,0.08
33,Dividend Per Share,-,0.080,-,0.120,-,-,-,0.180,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-33.33%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,19.86%,20.63%,18.40%,17.16%,14.85%,14.65%,14.45%,15.22%,13.44%,17.65%,20.27%,21.18%,17.60%,21.40%,21.40%
36,Operating Margin,13.71%,11.52%,9.98%,8.06%,6.77%,2.79%,9.77%,0.28%,7.51%,12.26%,14.81%,9.76%,11.60%,15.87%,15.87%
37,Profit Margin,12.18%,10.62%,10.84%,8.09%,5.89%,8.47%,9.35%,11.98%,9.00%,12.60%,12.96%,12.56%,9.97%,13.01%,13.01%
38,Free Cash Flow Margin,7.58%,13.26%,1.84%,6.37%,11.68%,13.27%,18.65%,-2.45%,2.90%,21.91%,11.97%,-3.34%,13.82%,3.50%,3.50%
39,EBITDA,22.07,18.69,16.61,13.37,10.92,6.28,13.29,3.61,11.96,22.33,28.53,18.97,18.17,24.36,24.36
40,EBITDA Margin,16.46%,14.46%,12.84%,11.13%,9.73%,6.67%,13.03%,3.52%,10.46%,14.38%,16.80%,11.87%,14.24%,18.42%,18.42%
41,D&A For EBITDA,3.69,3.8,3.69,3.69,3.33,3.66,3.33,3.33,3.38,3.29,3.38,3.38,3.37,3.37,3.37
42,EBIT,18.37,14.89,12.92,9.67,7.59,2.63,9.97,0.29,8.58,19.04,25.15,15.59,14.8,20.99,20.99
43,EBIT Margin,13.71%,11.52%,9.98%,8.06%,6.77%,2.79%,9.77%,0.28%,7.51%,12.26%,14.81%,9.76%,11.60%,15.87%,15.87%
44,Effective Tax Rate,11.03%,10.11%,14.12%,15.79%,4.78%,7.74%,9.63%,0.62%,-,18.92%,12.18%,-,15.15%,15.73%,15.73%
45,Revenue as Reported,134.04,129.29,129.39,120.06,112.16,94.15,102.01,102.62,114.28,-,169.82,159.83,127.58,132.27,132.27
