,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,388.71,402.7,384.63,382.02,376.13,-,366.7,332.83,350.16,91.97,-,39.14,-,17.85,17.85
1,Trading Asset Securities,45.21,21.05,31.2,31.05,30.96,-,25.63,45.42,45.38,34.52,-,28.05,-,27.01,27.01
2,Cash & Short-Term Investments,433.92,423.75,415.83,413.07,407.08,-,392.32,378.26,395.54,126.48,67.19,67.19,-,44.87,44.87
3,Cash Growth,6.59%,-,5.99%,9.20%,2.92%,-,483.91%,462.97%,-,181.91%,49.75%,-,-,-,-
4,Accounts Receivable,154.45,167.1,178.06,166.29,152.21,-,152.12,145.77,167.32,185.38,-,185.71,-,165.44,165.44
5,Other Receivables,0.09,0.02,2.3,3.46,2.03,-,0.07,1.99,0.19,1.46,-,1.61,-,0.97,0.97
6,Receivables,154.54,167.12,180.37,169.75,154.24,-,152.19,147.76,167.5,186.83,-,187.33,-,166.4,166.4
7,Inventory,115.9,120.59,111.9,102.51,99.55,-,105.47,134.92,121.14,134.68,-,123,-,100.43,100.43
8,Other Current Assets,2.18,1.55,3.25,3.61,4.81,-,2.96,4.29,3.92,5.5,-,3.73,-,4.4,4.4
9,Total Current Assets,706.54,713.01,711.34,688.93,665.68,-,652.94,665.24,688.11,453.5,-,381.25,-,316.09,316.09
10,"Property, Plant & Equipment",98.75,100.74,103.45,107.02,99.95,-,100.41,103.95,102.7,102.38,-,92.95,-,93.39,93.39
11,Other Intangible Assets,12.41,12.55,12.69,12.83,12.97,-,13.24,13.38,13.52,13.65,-,13.94,-,14.26,14.26
12,Long-Term Deferred Tax Assets,1.68,1.81,1.59,1.76,1.47,-,1.42,1.46,1.5,1.71,-,1.74,-,1.58,1.58
13,Other Long-Term Assets,-,-,-,-,-,-,-,-,0.3,0.27,-,3.71,-,0.56,0.56
14,Total Assets,819.39,828.1,829.06,810.54,780.07,-,768.01,784.02,806.13,571.52,-,493.59,-,425.87,425.87
15,Accounts Payable,46.98,46.86,50.77,48.45,52.41,-,41.73,52.02,63.57,104.03,-,66.69,-,51.98,51.98
16,Accrued Expenses,14.41,15.21,13.62,16.24,13.34,-,11.21,16.02,11.93,13.36,-,14.6,-,11.74,11.74
17,Short-Term Debt,26.22,53.07,50.42,49.27,31.18,-,32.25,42.01,58.87,57.07,-,58.94,-,-,-
18,Current Income Taxes Payable,3.15,1.13,6.31,2.48,1.19,-,0.44,-,0.58,3.8,-,2.27,-,3.45,3.45
19,Current Unearned Revenue,1.46,0.82,0.57,1.43,1.12,-,0.7,1.57,1.43,1.65,-,1.5,-,0.87,0.87
20,Other Current Liabilities,1.14,1.46,0.69,0.5,0.32,-,0.23,0.61,12.28,2.13,-,1.9,-,41.79,41.79
21,Total Current Liabilities,93.35,118.56,122.38,118.37,99.56,-,86.55,112.24,148.64,182.03,-,145.89,-,109.84,109.84
22,Long-Term Unearned Revenue,2.11,2.22,2.33,2.44,1.35,-,1.57,1.68,1.79,1.9,-,2.12,-,2.34,2.34
23,Long-Term Deferred Tax Liabilities,1.53,1.55,1.76,1.81,1.85,-,1.91,1.94,0.44,0.53,-,0.5,-,0.53,0.53
24,Total Liabilities,96.98,122.33,126.47,122.61,102.75,-,90.03,115.85,150.87,184.46,-,148.5,-,112.71,112.71
25,Common Stock,80,80,80,80,80,-,80,80,80,60,-,60,-,60,60
26,Additional Paid-In Capital,433.96,433.96,433.96,433.96,433.96,-,433.96,433.96,433.96,195.64,-,195.64,-,195.64,195.64
27,Retained Earnings,207.52,191.19,187.06,173.03,163.33,-,163.14,153.6,141.31,131.02,-,89.45,-,56.65,56.65
28,Comprehensive Income & Other,0.93,0.63,1.58,0.93,0.04,-,0.88,0.61,-,0.4,-,-,-,0.87,0.87
29,Shareholders' Equity,722.41,705.78,702.59,687.92,677.32,-,677.98,668.17,655.27,387.06,345.09,345.09,-,313.16,313.16
30,Total Liabilities & Equity,819.39,828.1,829.06,810.54,780.07,-,768.01,784.02,806.13,571.52,-,493.59,-,425.87,425.87
31,Total Debt,26.22,53.07,50.42,49.27,31.18,-,32.25,42.01,58.87,57.07,58.94,58.94,-,-,-
32,Net Cash (Debt),407.71,370.68,365.41,363.8,375.9,-,360.07,336.24,336.68,69.42,8.25,8.25,-,44.87,44.87
33,Net Cash Growth,8.46%,-,1.48%,8.20%,11.65%,-,4262.93%,3974.24%,-,54.71%,-81.61%,-,-,-,-
34,Net Cash Per Share,5.10,4.63,4.57,4.55,4.70,-,4.50,12.60,2.82,1.15,0.14,0.14,-,0.74,0.74
35,Filing Date Shares Outstanding,80,80,80,80,80,80.05,80,80,80,60,60,60,59.23,60,60
36,Total Common Shares Outstanding,80,80,80,80,80,80.05,80,80,80,60,60,60,59.23,60,60
37,Working Capital,613.19,594.45,588.96,570.57,566.12,-,566.39,553,539.47,271.47,-,235.36,-,206.25,206.25
38,Book Value Per Share,9.03,8.82,8.78,8.60,8.47,-,8.47,8.35,8.19,6.45,5.75,5.75,-,5.22,5.22
39,Tangible Book Value,709.99,693.23,689.9,675.1,664.35,-,664.73,654.79,641.75,373.41,331.14,331.14,-,298.91,298.91
40,Tangible Book Value Per Share,8.87,8.67,8.62,8.44,8.30,-,8.31,8.18,8.02,6.22,5.52,5.52,-,4.98,4.98
41,Buildings,-,102.47,-,100.49,-,-,-,100.7,-,100.7,-,100.7,-,100.76,100.76
42,Machinery,-,135.43,-,135.22,-,-,-,131,-,115.44,-,111.67,-,108.1,108.1
43,Construction In Progress,-,5.99,-,7.3,-,-,-,0.3,-,11.25,-,0.66,-,-,-
