,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,40.29,1.25,5.66,15.15,24.71,9.07,23.37,27.95,14.04,53.89,Upgrade
1,Cash & Short-Term Investments,40.29,1.25,5.66,15.15,24.71,9.07,23.37,27.95,14.04,53.89,Upgrade
2,Cash Growth,611.50%,-91.73%,-77.08%,67.02%,5.71%,-67.55%,66.46%,-48.14%,5300.77%,5326.89%,Upgrade
3,Accounts Receivable,7.28,7.68,8.09,17.45,25.28,74.53,8.08,56.43,-,3.84,Upgrade
4,Other Receivables,0.81,6.38,-,0.31,0.31,0.26,0.11,0.55,2.13,0.57,Upgrade
5,Receivables,8.08,14.06,8.09,17.75,25.59,74.79,8.19,56.98,2.13,4.41,Upgrade
6,Prepaid Expenses,0.24,0.24,124.54,1.28,0.68,1.21,1.88,0.56,0.48,0.91,Upgrade
7,Other Current Assets,125.46,170.33,-,124.38,132.45,148.82,207.21,183.27,24.53,7.42,Upgrade
8,Total Current Assets,174.06,185.88,138.28,158.56,183.43,233.89,240.65,268.75,41.18,66.62,Upgrade
9,"Property, Plant & Equipment",18.24,52.17,59.12,60.07,54.7,55.43,40.32,41.18,40.89,43.56,Upgrade
10,Long-Term Investments,-,1.6,-,1.6,-,1.6,-,1.6,-,1.6,Upgrade
11,Other Intangible Assets,129.46,292.38,332.25,332.25,325.6,325.6,230.07,230.07,230.07,230.07,Upgrade
12,Other Long-Term Assets,2.62,1.02,2.62,1.02,2.62,1.02,2.62,1.02,2.43,1.02,Upgrade
13,Total Assets,324.38,533.04,532.28,553.5,566.35,617.54,513.67,542.62,314.57,342.87,Upgrade
14,Accounts Payable,0.15,0.15,0.11,7.28,10.53,44.88,-,67.94,-,-,Upgrade
15,Accrued Expenses,13.44,13.27,12.42,13.65,13.85,14.63,9.84,8.31,10.72,10.77,Upgrade
16,Short-Term Debt,14.35,16.83,-,-,-,2,-,-,25,36.19,Upgrade
17,Current Portion of Leases,1.94,1.89,1.8,1.74,0.38,1.11,1.41,1.46,1.64,3.15,Upgrade
18,Current Income Taxes Payable,11.45,11.72,12.56,13.12,12.95,18.05,11.98,11.01,0.18,0.14,Upgrade
19,Current Unearned Revenue,37.88,32.16,-,-,-,-,110.93,104.96,0.14,-,Upgrade
20,Other Current Liabilities,5.14,5.15,3.25,2.32,1.96,14.76,0.5,0.46,0.15,1.82,Upgrade
21,Total Current Liabilities,84.35,81.17,30.14,38.1,39.66,95.42,134.65,194.15,37.83,52.07,Upgrade
22,Long-Term Leases,0.59,1.57,1.98,2.9,-,-,0.38,1.22,-,0.25,Upgrade
23,Long-Term Deferred Tax Liabilities,1.04,42.03,51.75,51.75,50.13,50.13,29.02,29.02,29.02,29.02,Upgrade
24,Other Long-Term Liabilities,-,-,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,Upgrade
25,Total Liabilities,85.98,124.77,83.96,92.84,89.88,145.64,164.14,224.47,66.94,81.41,Upgrade
26,Common Stock,168.38,168.38,168.38,168.38,168.38,168.38,168.38,168.38,122.46,122.46,Upgrade
27,Additional Paid-In Capital,2816,2816,2816,2816,2816,2816,2816,2816,2817,2817,Upgrade
28,Retained Earnings,-3134,-2966,-2924,-2917,-2905,-2916,-3033,-3063,-3086,-3072,Upgrade
29,Treasury Stock,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,-10.56,Upgrade
30,Comprehensive Income & Other,397.56,400.11,398.22,402.95,406.58,413,407.93,407.06,403.49,403.94,Upgrade
31,Total Common Equity,237.38,407.26,447.3,459.65,475.46,470.89,348.52,317.13,246.62,260.44,Upgrade
32,Minority Interest,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,Upgrade
33,Shareholders' Equity,238.4,408.27,448.32,460.66,476.47,471.91,349.53,318.15,247.63,261.46,Upgrade
34,Total Liabilities & Equity,324.38,533.04,532.28,553.5,566.35,617.54,513.67,542.62,314.57,342.87,Upgrade
35,Total Debt,16.88,20.3,3.78,4.63,0.38,3.11,1.79,2.68,26.64,39.58,Upgrade
36,Net Cash (Debt),23.4,-19.04,1.88,10.51,24.33,5.96,21.59,25.27,-12.6,14.31,Upgrade
37,Net Cash Growth,1144.73%,-,-92.27%,76.27%,12.71%,-76.40%,-,76.58%,-,-,Upgrade
38,Net Cash Per Share,0.03,-0.02,0.00,0.01,0.03,0.01,0.03,0.04,-0.02,0.02,Upgrade
39,Filing Date Shares Outstanding,841.64,841.64,841.64,841.64,841.64,841.64,841.64,841.64,612.03,612.03,Upgrade
40,Total Common Shares Outstanding,841.64,841.64,841.64,841.64,841.64,841.64,841.64,841.64,612.03,612.03,Upgrade
41,Working Capital,89.71,104.71,108.14,120.46,143.77,138.47,106,74.6,3.35,14.55,Upgrade
42,Book Value Per Share,0.28,0.48,0.53,0.55,0.56,0.56,0.41,0.38,0.40,0.43,Upgrade
43,Tangible Book Value,107.92,114.88,115.06,127.4,149.85,145.29,118.45,87.07,16.55,30.38,Upgrade
44,Tangible Book Value Per Share,0.13,0.14,0.14,0.15,0.18,0.17,0.14,0.10,0.03,0.05,Upgrade
45,Machinery,-,1.47,-,1.38,-,1.23,-,1.17,-,1.12,Upgrade
46,Leasehold Improvements,-,0.09,-,0.09,-,0.09,-,0.09,-,5.26,Upgrade
