,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,309,69,118,135,149,219,219,219,236,220,422,Upgrade
1,Market Cap Growth,-48.75%,-48.75%,-20.90%,-38.46%,-31.92%,0%,-7.14%,-0.68%,-44.20%,-26.10%,30.31%,Upgrade
2,Enterprise Value,286,89,117,125,126,214,198,195,249,207,547,Upgrade
3,Last Close Price,0.36,0.08,0.14,0.16,0.18,0.26,0.26,0.26,0.28,0.36,0.69,Upgrade
4,PE Ratio,-,-,-,-,-,1.71,1.48,4.16,27.04,-,-,Upgrade
5,PS Ratio,1.91,0.44,0.73,4.99,0.42,0.18,0.14,0.16,0.32,1.20,2.41,Upgrade
6,PB Ratio,1.28,0.29,0.29,0.30,0.32,0.46,0.46,0.63,0.74,0.89,1.62,Upgrade
7,P/TBV Ratio,0.64,0.64,1.03,1.17,1.17,1.46,1.51,1.85,2.71,13.32,13.90,Upgrade
8,P/FCF Ratio,11.29,2.53,-,-,-,-402.25,-,-,-,-,-,Upgrade
9,P/OCF Ratio,2.52,2.52,-,-,-,-409.79,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,1.81,0.56,0.72,4.63,-,0.18,0.13,0.15,0.34,1.12,3.12,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,1.28,1.04,2.84,13.08,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,1.30,1.05,2.86,14.26,-,-,Upgrade
13,EV/FCF Ratio,10.47,3.26,-,-,-,-393.16,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.05,0.01,0.01,0.00,0.01,0.01,0.01,0.11,0.15,Upgrade
15,Debt / FCF Ratio,0.62,0.62,-,-,-,-0.70,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,31.32%,36.09%,17.93%,5.01%,-,-,Upgrade
17,Earnings Yield,-17.61%,-78.71%,-42.05%,-14.70%,-0.80%,58.63%,67.55%,24.04%,3.70%,-116.74%,-63.66%,Upgrade
18,FCF Yield,8.86%,39.60%,-24.40%,-17.35%,5.92%,-0.25%,-10.58%,-5.48%,-14.52%,-25.72%,-10.80%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-29.79%,-37.46%,-8.31%,-277.32%,-268.94%,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-29.79%,-37.46%,-8.31%,-277.32%,-268.94%,Upgrade,
