,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,1484979,1608063,1436975,1547955,1186850,1474311,1409454,1722838,1546787,1897921,1718978,1761595,1715070,1611879,1403404,1588534,1447784,1351287,1213632,1667038,Upgrade
1,Revenue Growth (YoY),25.12%,9.07%,1.95%,-10.15%,-23.27%,-22.32%,-18.01%,-2.20%,-9.81%,17.75%,22.49%,10.89%,18.46%,19.28%,15.64%,-4.71%,10.86%,-0.68%,-0.16%,7.02%,Upgrade
2,Cost of Revenue,1198206,1283604,1133939,1265190,924583,1159683,1124872,1389634,1207533,1429345,1319960,1387087,1298587,1271759,1081896,1270861,1138780,1071639,979068,1359274,Upgrade
3,Gross Profit,286773,324459,303036,282765,262267,314628,284583,333203,339253,468575,399018,374509,416483,340120,321509,317673,309005,279648,234564,307764,Upgrade
4,"Selling, General & Admin",164143,181982,181096,178613,130433,159280,177001,200835,180152,214373,200012,194206,198627,181654,181131,173984,163529,152719,128575,112417,Upgrade
5,Operating Expenses,164143,181982,181096,178613,130433,159280,177001,200835,180152,214373,200012,194206,198627,181654,181131,173984,163529,152719,128575,112417,Upgrade
6,Operating Income,122630,142477,121939,104152,131834,155347,107582,132368,159102,254202,199005,180302,217856,158466,140377,143689,145476,126928,105989,195347,Upgrade
7,Interest Expense,-28224,-19375,-22522,-26934,-43096,-29647,-32532,-21712,-42243,-26087,-29753,-29747,-26188,-20794,-22018,-17159,-,-22945,-30655,-27842,Upgrade
8,Interest & Investment Income,10302,2729,1604,1508,12095,2256,191.33,-,11125,879.55,591.43,1608,20611,1808,1986,1444,-,-,4935,2925,Upgrade
