,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Cash & Equivalents,228667,341791,299409,428338,169113,235828,188058,272075,191986,331020,204365,135867,136534,109766,179551,167783,170385,117440,90080,126519,Upgrade
1,Short-Term Investments,-,-,-,-,-,13018,13018,11068,-,-,-,-,100000,100000,100000,100000,50000,50000,50000,50000,Upgrade
2,Trading Asset Securities,26369,29353,23662,19643,19515,16794,20988,16099,25354,19757,39047,53657,68860,45881,44176,12603,450,450,450,450,Upgrade
3,Cash & Short-Term Investments,255036,371144,323071,447981,188628,265640,222064,299242,217340,350777,243412,189524,305394,255647,323726,280386,220835,167890,140530,176969,Upgrade
4,Cash Growth,35.21%,39.72%,45.49%,49.71%,-13.21%,-24.27%,-8.77%,57.89%,-28.83%,37.21%,-24.81%,-32.41%,38.29%,52.27%,130.36%,58.44%,78.52%,10.40%,-47.00%,-21.20%,Upgrade
5,Accounts Receivable,722822,719201,773695,791331,656910,689245,696765,708393,777959,828361,877021,757808,783402,781136,732722,624684,580480,647368,603291,680018,Upgrade
6,Other Receivables,-24254,15857,17345,24017,4191,3237,33505,8970,-6368,7982,4657,23628,-819.25,22518,8862,10283,3893,3089,6749,2362,Upgrade
7,Receivables,800771,845062,841040,865348,711101,742483,730271,717363,771591,836343,881677,781436,782583,803654,741584,634967,584373,650457,610040,682380,Upgrade
8,Inventory,1554758,1338235,1351629,1466264,1605823,1608977,1688692,1757431,1803552,1730693,1695395,1859252,1874443,1759867,1568685,1440420,1326143,1236251,1366054,1321759,Upgrade
9,Prepaid Expenses,31270,33721,36216,32598,40396,45289,53460,57423,57649,51188,40764,35848,33504,31584,28337,27988,28911,34870,38471,35090,Upgrade
10,Other Current Assets,296787,262908,213117,171601,204447,251179,273342,223800,274766,263318,343155,313778,333509,353802,340638,354464,288929,202539,245823,224417,Upgrade
11,Total Current Assets,2938622,2851070,2765073,2983793,2750394,2913569,2967828,3055259,3124898,3232319,3204404,3179837,3329433,3204555,3002970,2738226,2449191,2292006,2400917,2440614,Upgrade
12,"Property, Plant & Equipment",1629831,1661827,1692428,1733401,1772240,1810137,1792583,1810865,1842755,1874338,1876371,1867667,1851932,1888262,1812384,1685415,1706274,1738226,1681850,1608067,Upgrade
13,Long-Term Investments,256669,256935,364994,255768,262622,65082,14600,14600,14600,14600,14600,14600,14600,14600,14600,10400,10400,10400,10400,4800,Upgrade
14,Goodwill,9621,10402,11184,11965,12746,13546,14346,15146,15946,16745,17545,18345,19145,19945,20745,21545,22345,23145,24080,24745,Upgrade
15,Other Intangible Assets,19635,20105,20616,21126,21666,22259,22872,23469,24100,24730,26038,26010,26643,26982,26069,26915,27668,28383,29097,29773,Upgrade
16,Long-Term Deferred Tax Assets,3174,3097,2999,3090,2056,1984,1931,3037,1809,2013,1936,1824,1767,5217,4496,4041,3046,1938,908.91,900.09,Upgrade
17,Other Long-Term Assets,316465,292758,291149,297291,299886,299301,313127,315921,320880,313142,317464,322594,324659,300903,287477,287216,298020,224422,220101,219795,Upgrade
18,Total Assets,5174017,5096195,5148443,5306433,5121609,5125878,5127286,5238298,5344987,5477888,5458358,5430878,5568180,5460464,5168742,4773757,4516945,4318521,4367354,4328694,Upgrade
19,Accounts Payable,479278,456766,525635,499009,408796,372598,438040,417799,460272,507847,456129,619833,510347,534031,474159,528593,547618,455618,489162,444109,Upgrade
20,Accrued Expenses,217409,222815,190903,217351,192309,192080,156394,205869,186299,159635,152704,185517,354784,187032,147753,163110,171677,151157,98276,132933,Upgrade
21,Short-Term Debt,1202642,1228884,1387657,1467626,1553752,1481834,1416629,1366312,1569159,1650319,1618048,1379580,1563254,1572318,1559671,1241212,1265891,1282777,1388983,1484010,Upgrade
22,Current Portion of Long-Term Debt,18900,53500,72640,85823,-,78400,46881,109586,109978,216742,196465,240335,153321,180424,126743,156194,67685,84243,12759,84687,Upgrade
23,Current Income Taxes Payable,42387,24240,8616,36938,46669,31888,12604,83307,85563,69878,35650,92794,93642,55558,26234,73113,61003,39191,21526,65703,Upgrade
24,Current Unearned Revenue,14413,10300,9346,9046,7227,642.54,37.8,3030,44.05,14677,25455,82025,79973,351524,287325,246457,154970,100192,138,207,Upgrade
25,Other Current Liabilities,119180,32524,36574,45167,53282,74345,74284,124197,80962,101883,111408,64474,72864,68437,72172,53599,49684,34827,39369,41049,Upgrade
26,Total Current Liabilities,2094209,2029029,2231370,2360959,2262036,2231787,2144869,2310100,2492276,2720982,2595860,2664558,2828184,2949324,2694056,2462278,2318527,2148004,2050213,2252697,Upgrade
27,Long-Term Debt,103276,106443,132109,115511,79313,135351,143869,151714,78506,97648,310081,358183,456591,388426,372534,307494,316246,299821,394782,221222,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6850,-,Upgrade
29,Long-Term Deferred Tax Liabilities,4462,4462,4092,3749,2948,2948,2487,2063,2460,3734,4478,5599,3147,3147,835.92,1380,487.87,487.87,387.29,387.29,Upgrade
30,Other Long-Term Liabilities,17002,16389,15723,15370,14614,13763,13597,13160,12550,12640,13086,11804,11757,13458,12428,11980,10014,9734,9443,8871,Upgrade
31,Total Liabilities,2218949,2156322,2383294,2495590,2358911,2383849,2304822,2477037,2585792,2835004,2923505,3040144,3299679,3354356,3079855,2783132,2645274,2458047,2461676,2483177,Upgrade
32,Common Stock,669384,669384,669384,669384,669384,680384,680384,680384,680384,680384,485994,485994,485994,485994,485994,485994,485994,485994,485994,485994,Upgrade
33,Additional Paid-In Capital,-,-,-,-,-,23060,23565,23565,23565,23565,23565,23696,23696,23696,162129,162129,162129,162129,162129,162129,Upgrade
34,Retained Earnings,2154159,2141500,2041881,2088245,2040418,1986625,2044959,1983293,1979594,1863490,1950244,1810871,1690035,1525321,1509855,1413320,1296783,1289111,1277586,1219189,Upgrade
35,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-131.3,-131.3,-131.3,-138564,-138564,-138564,-138564,-82809,-82809,Upgrade
36,Total Common Equity,2823543,2810884,2711265,2757629,2709802,2690069,2748908,2687242,2683543,2567439,2459803,2320430,2199593,2034880,2019414,1922879,1806342,1798670,1842901,1784504,Upgrade
37,Minority Interest,131525,128989,53884,53215,52897,51960,73557,74019,75652,75445,75050,70304,68908,71229,69473,67746,65329,61805,62777,61013,Upgrade
38,Shareholders' Equity,2955068,2939873,2765149,2810843,2762699,2742029,2822464,2761261,2759194,2642884,2534853,2390734,2268501,2106109,2088887,1990625,1871670,1860475,1905678,1845517,Upgrade
39,Total Liabilities & Equity,5174017,5096195,5148443,5306433,5121609,5125878,5127286,5238298,5344987,5477888,5458358,5430878,5568180,5460464,5168742,4773757,4516945,4318521,4367354,4328694,Upgrade
40,Total Debt,1324818,1388826,1592406,1668960,1633066,1695585,1607379,1627612,1757642,1964709,2124594,1978098,2173166,2141168,2058948,1704900,1649822,1666841,1796524,1789919,Upgrade
41,Net Cash (Debt),-1069783,-1017682,-1269335,-1220980,-1444438,-1429945,-1385315,-1328370,-1540302,-1613932,-1881182,-1788574,-1867772,-1885521,-1735222,-1424514,-1428986,-1498951,-1655994,-1612950,Upgrade
42,Net Cash Per Share,-15980.14,-15206.96,-18962.73,-18242.71,-22326.95,-21016.56,-20360.95,-19524.53,-22636.30,-23720.26,-27649.79,-27594.88,-28454.20,-28496.13,-26650.99,-21666.12,-21735.14,-23154.60,-24809.73,-24311.41,Upgrade
43,Filing Date Shares Outstanding,66.94,66.94,66.94,66.94,66.94,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,64.48,64.48,64.48,64.48,66.22,66.22,Upgrade
44,Total Common Shares Outstanding,66.94,66.94,66.94,66.94,66.94,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,68.04,64.48,64.48,64.48,64.48,66.22,66.22,Upgrade
45,Working Capital,844413,822041,533703,622833,488358,681781,822959,745159,632622,511337,608544,515279,501249,255231,308914,275948,130665,144002,350704,187918,Upgrade
46,Book Value Per Share,42181.21,41992.10,40503.88,41196.51,40482.02,39537.51,40402.30,39495.95,39441.59,37735.14,36152.73,34106.00,32329.92,29908.94,31317.07,29820.00,28012.74,27893.76,27830.30,26948.43,Upgrade
47,Tangible Book Value,2794286,2780376,2679466,2724538,2675390,2654264,2711690,2648627,2643497,2525963,2416220,2276075,2153805,1987953,1972600,1874419,1756328,1747141,1789724,1729986,Upgrade
48,Tangible Book Value Per Share,41744.14,41536.34,40028.83,40702.17,39967.93,39011.26,39855.28,38928.41,38853.02,37125.55,35512.17,33454.06,31656.91,29219.20,30591.08,29068.49,27237.14,27094.67,27027.26,26125.13,Upgrade
49,Buildings,1294543,1294037,1283709,1282348,1277753,1242671,1257271,1271507,1256890,1242460,1246376,1232835,1248113,1101958,1061592,965915,1061734,950600,926722,926575,Upgrade
50,Machinery,2112511,2093403,2085336,2081264,2076977,1979995,2053802,2060190,2059077,2014779,2001563,1901243,1896609,1792764,1752998,1617550,1741431,1597623,1534516,1526055,Upgrade
51,Construction In Progress,19525,17136,17948,13914,17323,132080,81523,38296,38643,65548,73702,113453,34931,262874,199175,249576,46993,286427,261317,158109,Upgrade
