,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,9400466,9585449,9400466,9467761,8943388,8438889,8607055,9466248,7448250,7680625,9955460,11516893,14268717,13057768,9490640,6741818,6664681,6032153,3840636,2969166,1945838,Upgrade
1,Market Cap Growth,13.59%,13.59%,9.22%,0.02%,20.07%,9.87%,-13.54%,-17.81%,-47.80%,-41.18%,4.90%,70.83%,114.09%,116.47%,147.11%,127.06%,242.51%,69.47%,-7.51%,-24.96%,-50.24%,Upgrade
2,Enterprise Value,14549156,14974317,14781611,15209350,15046430,14507551,15063895,16187826,14072790,14385732,17081378,18715927,21857436,19693659,16189357,13732181,13696870,12975002,10263176,8680579,8149026,Upgrade
3,Last Close Price,27950.00,28500.00,27950.00,28150.00,26185.56,24708.43,25200.80,27716.41,21807.87,22488.25,29148.78,33720.44,41777.53,39133.57,28442.94,21430.29,21185.09,18753.51,11942.77,9232.87,6050.71,Upgrade
4,PE Ratio,16.31,16.63,14.13,15.47,15.32,12.69,13.34,11.66,6.45,7.01,7.23,8.51,14.33,12.17,12.42,10.16,6.07,6.29,3.76,2.63,2.22,Upgrade
5,Forward PE,12.97,13.23,12.07,11.94,10.09,8.87,8.38,9.75,7.32,6.27,7.57,7.93,9.56,5.80,5.80,5.80,6.49,4.68,3.77,3.04,2.33,Upgrade
6,PS Ratio,3.46,3.53,3.32,3.47,3.22,2.92,2.77,2.71,1.93,2.14,2.61,3.19,4.59,3.46,2.62,1.76,1.26,1.21,0.77,0.55,0.43,Upgrade
7,PB Ratio,1.49,1.25,1.24,1.27,1.19,1.17,1.23,1.37,1.08,1.17,1.54,1.90,2.50,2.42,1.98,1.57,1.53,1.52,0.98,0.79,0.57,Upgrade
8,P/TBV Ratio,1.57,1.57,1.58,1.63,1.51,1.49,1.62,1.82,1.44,1.58,2.05,2.58,3.43,3.36,2.78,2.34,2.26,2.30,1.50,1.18,0.85,Upgrade
9,P/FCF Ratio,10.62,10.83,-,-,6.58,13.07,-,9.04,-,5.08,-23.77,-44.61,-25.06,-,1714.85,-11.38,-,-,-,-4.81,-,Upgrade
10,P/OCF Ratio,10.57,10.57,7.67,-,5.94,10.63,-,6.96,-,3.96,16.58,9.02,15.62,-,5.55,6.87,3.92,4.23,-,2.66,-,Upgrade
11,EV/Sales Ratio,5.35,5.51,5.22,5.58,5.41,5.02,4.85,4.64,3.65,4.02,4.48,5.18,7.03,5.21,4.47,3.59,2.60,2.60,2.04,1.60,1.82,Upgrade
12,EV/EBITDA Ratio,8.31,8.55,7.65,8.16,7.96,7.22,7.29,7.06,5.23,5.58,5.94,6.82,9.96,8.58,8.87,7.84,5.90,6.17,5.08,4.09,4.62,Upgrade
13,EV/EBIT Ratio,11.82,12.16,10.60,11.47,11.10,9.74,9.73,9.15,6.50,7.02,7.22,8.16,11.99,9.95,10.28,9.17,6.58,6.94,5.74,4.56,5.27,Upgrade
14,EV/FCF Ratio,16.44,16.92,-,-,11.06,22.46,-,15.45,-,9.51,-40.79,-72.49,-38.39,-,2925.22,-23.18,-,-,-,-14.06,-,Upgrade
15,Debt / Equity Ratio,0.64,0.64,0.67,0.69,0.71,0.75,0.80,0.82,0.85,0.93,1.02,1.13,1.25,1.37,1.35,1.54,1.53,1.65,1.65,1.62,1.77,Upgrade
16,Debt / EBITDA Ratio,2.79,2.68,3.08,3.65,2.49,2.13,4.15,3.73,2.24,2.20,2.93,2.21,3.29,1.86,3.75,7.20,2.60,3.15,4.49,1.90,3.58,Upgrade
17,Debt / FCF Ratio,5.52,5.52,-,-,3.91,8.40,-,5.41,-,4.04,-15.75,-26.65,-12.48,-,1172.18,-11.12,-,-,-,-9.82,-,Upgrade
18,Asset Turnover,0.22,0.16,0.16,0.24,0.24,0.13,0.17,0.26,0.28,0.21,0.24,0.17,0.34,0.17,0.13,0.39,0.34,0.25,0.55,0.31,Upgrade,
