,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,4179,7073,4118,12320,15385,11222,25479,20732,-
1,Trading Asset Securities,2.28,23.41,3.46,4.29,22.21,78.36,79.22,33.81,-
2,Cash & Short-Term Investments,4182,7096,4121,12324,15408,11300,25558,20766,-
3,Cash Growth,1.47%,-42.42%,-73.25%,9.06%,-39.72%,-45.58%,-,-,-
4,Accounts Receivable,37.8,39.46,69.57,60.52,59.9,66.24,64.9,51.78,-
5,Other Receivables,5059,9956,6238,13254,9027,17588,9548,10885,-
6,Receivables,5097,9996,6308,13315,9087,17654,9613,10937,-
7,Inventory,63023,77988,90880,101024,111242,118355,119859,116442,-
8,Prepaid Expenses,-,1518,-,2197,-,3102,-,2924,-
9,Restricted Cash,-,-,6809,-,-,7657,-,5420,-
10,Other Current Assets,7254,2636,9711,2930,11146,5406,14466,5957,-
11,Total Current Assets,79555,99235,117829,131789,146882,163475,169496,162445,-
12,"Property, Plant & Equipment",1699,1614,1269,1263,1272,1297,461.69,475.72,-
13,Long-Term Investments,9241,8372,8132,8215,8788,8570,8621,7483,-
14,Other Intangible Assets,19.21,21.7,23.16,24.2,26.55,18.77,20.65,17.61,-
15,Long-Term Deferred Tax Assets,2166,2287,2595,2651,2912,2945,3346,2884,-
16,Other Long-Term Assets,17744,18248,17876,17733,15450,15342,15477,12355,-
17,Total Assets,110425,129778,147725,161676,175330,191647,197422,185661,-
18,Accounts Payable,10301,11144,12294,13157,11674,13623,11975,12931,-
19,Accrued Expenses,-,4985,-,5042,-,4675,-,3286,-
20,Short-Term Debt,4984,4838,5493,6577,7041,5832,5718,4608,-
21,Current Portion of Long-Term Debt,7161,13941,13636,10926,12177,15918,17067,19295,-
22,Current Portion of Leases,2.33,3.35,5.5,10.75,12.54,11.62,16.38,15.64,-
23,Current Income Taxes Payable,6039,1665,5615,1163,4841,959.41,3870,1177,-
24,Current Unearned Revenue,24762,37660,49423,59398,67940,72460,77358,69087,-
25,Other Current Liabilities,2168,1766,3441,1658,3065,1967,3643,2211,-
26,Total Current Liabilities,55415,76002,89906,97931,106750,115447,119647,112611,-
27,Long-Term Debt,19256,15488,19019,25699,30147,36002,36970,34467,-
28,Long-Term Leases,2,2.5,3.91,3.34,3.9,5.33,7.86,7.4,-
29,Long-Term Deferred Tax Liabilities,2235,2337,2475,2459,2660,2621,2697,2464,-
30,Total Liabilities,76908,93829,111405,126093,139561,154076,159322,149549,-
31,Common Stock,35.1,35.1,35.1,35.1,35.1,35.1,35.1,35.1,-
32,Additional Paid-In Capital,679.08,679.08,679.08,679.08,1205,1205,1205,2297,-
33,Retained Earnings,21762,23789,24893,24370,23378,22665,21216,19390,-
34,Comprehensive Income & Other,-558.38,-550.12,-550.12,-550.12,-472.51,-267.94,-173.19,-160.17,-
35,Total Common Equity,21918,23953,25057,24534,24145,23637,22282,21562,-
36,Minority Interest,11599,11996,11264,11049,11624,13935,15818,14550,-
37,Shareholders' Equity,33517,35949,36321,35583,35769,37572,38100,36112,-
38,Total Liabilities & Equity,110425,129778,147725,161676,175330,191647,197422,185661,-
39,Total Debt,31404,34272,38157,43217,49381,57770,59779,58393,-
40,Net Cash (Debt),-27223,-27175,-34036,-30893,-33973,-46469,-34221,-37627,-
41,Net Cash Per Share,-6.73,-6.72,-8.41,-7.64,-8.40,-11.49,-8.46,-10.40,-
42,Filing Date Shares Outstanding,4045,4045,4045,4045,4045,4045,4045,4045,3400
43,Total Common Shares Outstanding,4045,4045,4045,4045,4045,4045,4045,4045,3400
44,Working Capital,24140,23233,27923,33858,40131,48028,49849,49835,-
45,Book Value Per Share,5.42,5.92,6.19,6.06,5.97,5.84,5.51,5.33,-
46,Tangible Book Value,21899,23931,25034,24510,24119,23618,22262,21545,-
47,Tangible Book Value Per Share,5.41,5.92,6.19,6.06,5.96,5.84,5.50,5.33,-
48,Buildings,-,1032,-,648.61,-,622.51,-,429.91,-
49,Machinery,-,229.05,-,225.64,-,229.73,-,221.12,-
50,Leasehold Improvements,-,76.21,-,74.07,-,72.22,-,73.56,-
