,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,16383,15900,18349,17102,18216,23959,16066,23722,11153
1,Revenue Growth (YoY),-10.71%,-7.03%,0.73%,-28.62%,13.38%,1.00%,44.05%,-,-
2,Cost of Revenue,16305,15698,16022,15153,14986,19605,12673,18557,8605
3,Gross Profit,77.87,202.03,2327,1949,3231,4354,3393,5165,2548
4,"Selling, General & Admin",666.63,837.87,878.95,857.96,927.48,1654,990.41,1567,781.77
5,Other Operating Expenses,110.53,58.09,94.04,16.85,174.79,20.54,24.34,-47.63,128.22
6,Operating Expenses,777.17,895.96,972.99,874.81,1102,1675,1015,1520,909.98
7,Operating Income,-699.3,-693.92,1354,1074,2129,2679,2379,3645,1638
8,Interest Expense,-117.72,-179.15,-116.69,-55.36,-180.74,-253.34,-96.54,-358.99,-166.26
9,Interest & Investment Income,10.96,24.01,27.71,41.69,49.83,100.84,96.96,68.83,43.38
10,Earnings From Equity Investments,-449.82,-36.02,-63.21,-513.58,271.96,517.86,221.59,719.61,90.4
11,Currency Exchange Gain (Loss),-,-,-,-,-,67.11,16.33,293.57,-
12,Other Non Operating Income (Expenses),5.39,2.78,8.43,8.7,3.45,10.06,15.75,4.47,3.07
13,EBT Excluding Unusual Items,-1250,-882.31,1210,555.36,2273,3122,2633,4373,1608
14,Gain (Loss) on Sale of Investments,-,-0.52,-0.9,17.62,-3.17,-0.09,-5.99,85.84,0.24
15,Gain (Loss) on Sale of Assets,0.23,2.05,0.5,0,0.03,-,51.62,21.67,-
16,Asset Writedown,-122.92,242.01,117.76,737.27,107.3,155.8,501.19,261.6,175.41
17,Other Unusual Items,6.54,5.41,3.83,11.91,7.11,4.69,3.98,7.01,3.56
18,Pretax Income,-1367,-633.36,1331,1322,2384,3282,3183,4749,1788
19,Income Tax Expense,560.4,537.84,593.86,731.17,892.11,1601,1171,1976,742.01
20,Earnings From Continuing Operations,-1927,-1171,737.25,590.99,1492,1681,2012,2773,1046
21,Minority Interest in Earnings,-99.39,67.28,-214.59,-124.47,-253.65,-231.82,-187.1,-253.67,-437.88
22,Net Income,-2026,-1104,522.67,466.52,1239,1450,1825,2520,607.81
23,Net Income to Common,-2026,-1104,522.67,466.52,1239,1450,1825,2520,607.81
24,Net Income Growth,-,-,-57.80%,-67.82%,-32.15%,-42.47%,200.30%,-,-
25,Shares Outstanding (Basic),4045,4045,4045,4045,4045,4045,4045,3620,3400
26,Shares Outstanding (Diluted),4045,4045,4045,4045,4045,4045,4045,3620,3400
27,Shares Change (YoY),-,-,-,-,-,11.76%,18.98%,-,-
28,EPS (Basic),-0.50,-0.27,0.13,0.12,0.31,0.36,0.45,0.70,0.18
29,EPS (Diluted),-0.50,-0.27,0.13,0.12,0.31,0.36,0.45,0.70,0.18
30,EPS Growth,-,-,-57.80%,-67.82%,-32.15%,-48.53%,152.40%,-,-
31,Free Cash Flow,1731,4469,3466,3192,5121,1383,1176,4427,-1805
32,Free Cash Flow Per Share,0.43,1.10,0.86,0.79,1.27,0.34,0.29,1.22,-0.53
33,Operating Margin,-4.27%,-4.36%,7.38%,6.28%,11.68%,11.18%,14.80%,15.37%,14.69%
34,Profit Margin,-12.37%,-6.94%,2.85%,2.73%,6.80%,6.05%,11.36%,10.62%,5.45%
35,Free Cash Flow Margin,10.57%,28.10%,18.89%,18.67%,28.11%,5.77%,7.32%,18.66%,-16.18%
36,EBITDA,-682.79,-684.76,1367,1073,2158,2703,2399,3670,1659
37,D&A For EBITDA,16.51,9.16,12.83,-0.71,29.12,23.9,20.24,24.14,20.64
38,EBIT,-699.3,-693.92,1354,1074,2129,2679,2379,3645,1638
