,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,10073,10801,15291,15129,15331,18608,16788,17961,18042,-
1,Market Cap Growth,-28.61%,-28.61%,-0.26%,-18.70%,-8.67%,3.60%,-6.95%,-,-,-
2,Enterprise Value,51786,53955,64239,71486,68743,92753,77236,79926,76496,-
3,Last Close Price,2.49,2.67,3.78,3.74,3.79,4.60,3.98,4.26,3.99,-
4,PE Ratio,-,-,-,14.15,7.95,5.91,4.18,3.44,4.86,-
5,Forward PE,-,3.70,3.70,3.70,3.70,3.70,3.70,3.66,-,-
6,PS Ratio,0.29,0.31,0.41,0.39,0.38,0.38,0.34,0.38,0.44,-
7,PB Ratio,0.43,0.30,0.39,0.39,0.38,0.44,0.36,0.39,0.42,-
8,P/TBV Ratio,0.46,0.46,0.58,0.56,0.55,0.66,0.58,0.67,0.71,-
9,P/FCF Ratio,1.51,1.62,1.75,2.10,1.63,2.44,5.34,2.67,5.79,-
10,P/OCF Ratio,1.56,1.56,1.71,2.09,1.62,2.36,4.94,2.65,5.73,-
11,PEG Ratio,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-,-
12,EV/Sales Ratio,1.49,1.56,1.70,1.87,1.72,1.88,1.57,1.67,1.85,-
13,EV/EBITDA Ratio,-,-,-,27.12,18.82,16.29,12.33,10.95,12.09,-
14,EV/EBIT Ratio,-,-,-,27.25,18.99,16.47,12.44,11.03,12.19,-
15,EV/FCF Ratio,7.77,8.10,7.35,9.94,7.31,12.17,24.59,11.86,24.57,-
16,Debt / Equity Ratio,0.94,0.94,0.95,1.05,1.21,1.38,1.54,1.57,1.62,-
17,Debt / FCF Ratio,5.07,5.07,4.32,5.73,5.20,7.59,22.57,10.67,22.27,-
18,Return on Capital Employed (ROCE),-,-,-,4.20%,5.02%,7.01%,6.64%,7.75%,7.23%,-
19,Earnings Yield,-33.39%,-31.14%,-4.19%,7.06%,12.57%,16.92%,23.94%,29.09%,20.59%,-
20,FCF Yield,66.13%,61.68%,57.16%,47.55%,61.30%,40.94%,18.71%,37.52%,17.26%,-
21,Buyback Yield / Dilution,-,-,-,-,-,-11.76%,-18.98%,-,-,
22,Total Shareholder Return,-,-,-,-,-,-11.76%,-18.98%,-,-,
