,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10311,12443,10620,14328,16680,20401,19956,19092,17832,18488,23765,19080,-,-,-,-,-,-,-,-
1,Market Cap Growth,-39.00%,-39.00%,-46.78%,-24.95%,-6.46%,10.34%,-16.02%,0.06%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8073,9912,7552,12016,14346,18166,18040,17243,15905,16238,21376,18625,-,-,-,-,-,-,-,-
3,Last Close Price,17.33,20.78,17.67,23.12,26.92,32.92,32.20,30.63,28.61,29.66,38.12,30.47,-,-,-,-,-,-,-,-
4,PE Ratio,20.96,25.01,-,17.81,19.40,31.65,60.54,31.07,34.32,30.94,25.06,-,-,-,-,-,-,-,-,-
5,Forward PE,11.20,13.43,10.21,12.75,15.22,20.33,20.47,21.12,17.00,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.30,7.54,4.62,6.23,6.92,10.28,21.82,9.76,9.77,9.26,8.25,10.41,-,-,-,-,-,-,-,-
7,PB Ratio,1.69,2.04,1.80,2.27,2.66,3.38,3.63,3.41,3.24,3.38,4.51,3.78,-,-,-,-,-,-,-,-
8,P/TBV Ratio,2.05,2.05,1.80,2.28,2.67,3.40,3.64,3.42,3.26,3.39,4.53,3.79,-,-,-,-,-,-,-,-
9,P/FCF Ratio,14.83,17.90,15.45,19.79,20.21,27.13,29.90,41.62,90.97,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,16.59,16.59,14.18,18.09,18.78,25.10,27.28,35.83,61.78,79.26,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.89,6.01,3.29,5.22,5.95,9.16,19.72,8.82,8.71,8.13,7.42,10.16,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.69,16.71,-,12.45,13.96,23.55,46.06,24.28,26.30,23.45,19.16,25.22,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,18.14,21.87,-,14.54,16.11,28.58,-,29.08,-,26.69,20.58,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,11.61,14.26,10.98,16.60,17.38,24.16,27.03,37.59,81.14,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.10,0.18,-,0.14,0.09,0.09,0.09,0.20,0.20
16,Debt / EBITDA Ratio,0.51,0.26,-,1.51,0.27,0.12,2.74,0.67,3.99,0.32,0.36,18.60,1.18,-,-,-,0.09,0.09,-,-
17,Debt / FCF Ratio,0.43,0.43,0.44,0.41,0.36,0.40,0.45,0.65,1.53,-,-,-,-,-,0.84,0.70,1.24,10.53,-,-
18,Asset Turnover,0.49,0.00,0.02,0.35,0.86,0.00,0.08,0.15,0.28,0.60,0.01,-,-,-,-,1.33,1.78,-,-,
19,Inventory Turnover,1.36,2.22,0.06,0.06,3.15,2.24,-,-,3.18,0.90,1.55,0.00,-,-,-,-,12.19,4.53,0.13,-
20,Quick Ratio,2.83,2.83,3.08,3.40,2.73,2.72,2.84,2.55,2.57,2.60,2.39,2.48,1.43,-,1.44,-,1.65,1.65,1.48,1.48
21,Current Ratio,3.08,3.08,3.42,3.65,3.10,2.91,3.21,2.78,2.73,2.78,2.56,2.74,1.51,-,1.69,-,1.69,1.69,1.86,1.86
22,Return on Equity (ROE),16.13%,-0.87%,2.46%,14.99%,36.19%,1.03%,6.78%,1.09%,15.37%,23.18%,-0.09%,-,-,-4.58%,-0.75%,86.99%,111.16%,-4.27%,-,
23,Return on Assets (ROA),8.42%,-1.70%,0.46%,7.55%,19.88%,-0.27%,2.77%,-0.55%,7.52%,11.16%,-0.45%,-,-,-,-,37.73%,50.31%,-3.18%,-,
24,Return on Capital (ROIC),9.95%,-1.99%,0.55%,9.26%,23.93%,-0.33%,3.36%,-0.68%,9.40%,13.81%,-0.58%,-,-,-4.82%,-1.75%,57.66%,71.08%,-3.90%,-,
25,Return on Capital Employed (ROCE),7.25%,7.38%,-,13.01%,14.11%,10.47%,-,10.51%,-,11.03%,19.55%,-,23.58%,-,-,-,48.09%,22.99%,-,-
26,Earnings Yield,4.83%,4.00%,7.32%,5.62%,5.16%,3.16%,1.65%,3.22%,2.91%,3.23%,3.99%,3.27%,-,-,-,-,-,-,-,-
27,FCF Yield,6.74%,5.59%,6.47%,5.05%,4.95%,3.69%,3.34%,2.40%,1.10%,-0.88%,-1.07%,-1.13%,-,-,-,-,-,-,-,-
28,Dividend Yield,3.44%,-,-,-,2.23%,-,-,-,0.70%,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,67.83%,0.63%,-,3.93%,0.66%,0.88%,831.49%,1.60%,10.16%,1.04%,27.97%,-,5.51%,0.67%,-,-,0.48%,0.48%,-,-
30,Buyback Yield / Dilution,-0.21%,0.63%,0.01%,0.02%,-1.32%,-0.05%,-1.21%,-6.10%,-11.41%,-10.97%,-9.14%,-5.79%,0.08%,-0.02%,-0.79%,0.71%,-,-,-,-
31,Total Shareholder Return,3.23%,0.63%,0.01%,0.02%,0.91%,-0.05%,-1.21%,-6.10%,-10.71%,-10.97%,-9.14%,-5.79%,0.08%,-0.02%,-0.79%,0.71%,-,-,-,-
