,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,531.25,1262,623.99,640.98,375.78,734.26,427.45,600.04,903.26,1019,1862,131.56,-,469.65,-,412.39,412.39,303.45,303.45
1,Short-Term Investments,659.85,303,346.81,373.46,371.3,369.14,130,130,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1348,1266,2398,1599,1887,1431,1660,1419,1326,1733,1029,825.82,-,554.26,-,452.86,452.86,334.23,334.23
3,Cash & Short-Term Investments,2539,2831,3368,2613,2634,2534,2217,2149,2229,2752,2891,957.39,-,1024,865.25,865.25,865.25,637.67,637.67
4,Cash Growth,-3.62%,11.73%,51.93%,21.57%,18.19%,-7.90%,-23.31%,124.50%,-,168.73%,234.08%,10.65%,-,60.57%,35.69%,-,-,-,-
5,Accounts Receivable,1708,1175,1577,1990,2083,1001,1500,1796,2071,1922,1206,1439,-,562.45,-,1530,1530,229.04,229.04
6,Other Receivables,1.05,0.74,2.56,1.31,3.65,4,3.75,0.41,0.84,0.52,0.75,2.15,-,4.12,-,2.18,2.18,2.54,2.54
7,Receivables,1798,1176,1579,2412,2087,1005,1503,1856,2072,1922,1207,1441,-,566.57,-,1532,1532,231.58,231.58
8,Inventory,243.83,378.07,321.52,173.47,291.55,425.54,321.36,167.16,286.69,298.91,332.1,107.41,-,242.35,-,45.27,45.27,198.44,198.44
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,-,-,-,0.17,0.17
10,Other Current Assets,51.18,57.83,43.9,28.18,28.74,40.86,21.68,20.22,17.34,40.36,91.79,23.31,-,41.72,-,22.86,22.86,21.22,21.22
11,Total Current Assets,4632,4444,5313,5227,5041,4005,4063,4193,4605,5013,4522,2529,-,1875,-,2465,2465,1089,1089
12,"Property, Plant & Equipment",1091,1113,1149,1176,1209,1232,1264,1287,1289,1312,1328,1351,-,1031,-,810.97,810.97,418.58,418.58
13,Long-Term Investments,-,1415,-,1296,-,1275,-,1310,-,643.34,-,356.3,-,-,-,-,-,-,-
14,Other Intangible Assets,19.64,19.8,19.96,20.13,20.29,20.45,20.62,20.78,20.94,21.11,21.27,21.43,-,21.76,-,22.08,22.08,22.41,22.41
