,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,111,200,225,335,345,250,615,755,1630,405,460
1,Market Cap Growth,-40.30%,-40.30%,-34.78%,34.00%,-43.90%,-66.89%,-62.27%,86.42%,254.35%,-,-
2,Enterprise Value,107,195,189,291,320,217,559,692,1587,344,485
3,Last Close Price,0.22,0.40,0.45,0.67,0.69,0.50,1.23,1.51,3.26,0.81,0.89
4,PE Ratio,-,-,-,204.77,-,18.45,-287.38,-,-,-,54.91
5,PS Ratio,0.28,0.51,0.57,0.82,0.74,0.50,1.41,1.85,4.60,1.15,1.11
6,PB Ratio,0.66,1.20,1.23,1.82,1.85,1.29,3.30,4.11,8.80,2.24,2.21
7,P/TBV Ratio,1.20,1.20,1.23,1.82,1.85,1.29,3.30,4.11,8.80,2.24,2.22
8,P/FCF Ratio,-,-7.05,-,11.32,23.65,-,-,-,95.77,-42.17,-
9,P/OCF Ratio,-,-10.61,-,8.68,17.90,-,-,37.24,74.04,-89.09,-
10,EV/Sales Ratio,0.27,0.49,0.48,0.71,0.69,0.44,1.28,1.70,4.48,0.98,1.17
11,EV/EBITDA Ratio,-,-,-,53.51,22.41,10.67,44.43,49.42,241.54,-,13.88
12,EV/EBIT Ratio,-,-,-,-703.64,-,19.39,390.29,-,-378.48,-,19.26
13,EV/FCF Ratio,-3.76,-6.87,-,9.82,21.97,-,-,-,93.24,-35.83,-
14,Debt / Equity Ratio,0.09,0.09,0.08,0.09,0.01,0.02,0.02,0.02,0.07,0.12,0.10
15,Debt / FCF Ratio,-,-0.50,-,0.54,0.14,-,-,-,0.79,-2.22,-
16,Return on Capital Employed (ROCE),-,-,-,-0.21%,-,5.74%,0.76%,-,-2.23%,-,11.86%
17,Earnings Yield,-14.62%,-8.12%,0.62%,0.49%,2.66%,5.42%,-0.35%,-1.05%,-0.82%,-1.40%,1.82%
18,FCF Yield,-25.57%,-14.19%,-9.03%,8.84%,4.23%,-12.85%,-4.39%,1.94%,1.04%,-2.37%,0.03%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-36.70%,-,-46.30%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-36.70%,-,-46.30%,
