,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,511.35,458.76,593.17,569.55,517.96,540.98,544,553.06,-,638.5,679.03,664.86,674.65,-,-,43.38,-,67.58,67.58,50.91
1,Trading Asset Securities,150,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,661.35,623.76,593.17,569.55,517.96,540.98,544,553.06,-,638.5,679.03,664.86,674.65,-,43.38,43.38,67.58,67.58,67.58,50.91
3,Cash Growth,27.68%,15.30%,9.04%,2.98%,-,-15.27%,-19.89%,-16.82%,-,-,1465.30%,1432.62%,898.24%,-,-35.81%,-14.79%,-,-,-,-
4,Accounts Receivable,195.93,197.42,184.72,199.41,198.39,156.73,156.53,118.4,-,107.61,84.01,91.94,109.67,-,-,73.2,-,43.56,43.56,88.54
5,Other Receivables,0.07,0.07,0.21,1.97,0.87,0.07,0.07,0.29,-,0.46,0.4,0.54,0.59,-,-,0.66,-,50.91,50.91,0.08
6,Receivables,196,197.49,184.93,201.39,199.26,156.79,156.59,118.69,-,108.06,84.41,92.48,110.26,-,-,73.86,-,94.47,94.47,88.61
7,Inventory,114.53,97.99,73.36,98.45,102.19,106.7,103.89,112.28,-,127.63,97.67,109.16,77.57,-,-,91.46,-,79.03,79.03,64.56
8,Other Current Assets,9.97,7.33,8.12,4.91,6.9,3.96,9.94,4.35,-,0.78,14.85,6.44,7.28,-,-,7.91,-,6.13,6.13,4.42
9,Total Current Assets,981.86,926.57,859.59,874.29,826.3,808.44,814.42,788.37,-,874.98,875.96,872.93,869.77,-,-,216.61,-,247.21,247.21,208.5
10,"Property, Plant & Equipment",503.86,497.19,492.24,495.52,478.5,480.6,483.88,483.61,-,450.82,447.42,448.88,433.59,-,-,382.12,-,313.03,313.03,294.94
11,Long-Term Investments,0.5,0.5,0.5,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,117.49,117.6,118.33,119.07,119.66,120.41,121.16,121.9,-,27.13,27.35,27.29,27.5,-,-,28.12,-,28.56,28.56,29.01
13,Long-Term Deferred Tax Assets,-,-,-,-,0.01,0.01,0.01,-,-,5.44,5.6,5.74,4.34,-,-,4.2,-,3.46,3.46,3.5
14,Long-Term Deferred Charges,0.06,0.09,0.13,0.18,0.23,0.29,0.34,0.4,-,0.43,0.48,0.52,0.57,-,-,0.58,-,0.67,0.67,0.56
15,Other Long-Term Assets,13.23,6.93,3.99,1.92,3.11,1.31,0.58,0.14,-,30.99,2,1.08,3.18,-,-,4.01,-,3.58,3.58,0.68
16,Total Assets,1617,1549,1475,1491,1428,1411,1420,1394,-,1390,1359,1356,1339,-,-,635.64,-,596.5,596.5,537.19
17,Accounts Payable,258.78,212.96,139.69,140.49,88.92,85.64,105.25,93.41,-,97.08,70.63,83.73,67.18,-,-,68.31,-,83.64,83.64,67.55
18,Accrued Expenses,11.84,13.55,7.24,9.68,13.55,12.32,6.42,7.13,-,10.82,6.11,7.05,6.28,-,-,4.9,-,6.19,6.19,3.57
19,Short-Term Debt,1,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,18.99,-,-,26.04,-,20.03,20.03,5
21,Current Portion of Leases,0.15,0.15,0.25,0.25,0.47,0.47,0.46,0.46,-,0.48,0.48,0.47,-,-,-,-,-,-,-,-
22,Current Income Taxes Payable,5.74,3.69,6.54,3.39,-,2.71,4.71,0.13,-,3.55,4.02,3.28,4.84,-,-,8.26,-,3.31,3.31,-
23,Current Unearned Revenue,0.95,0.08,0.08,0.11,0.24,0.24,0.17,0.27,-,0.39,1.05,1.7,0.2,-,-,0.15,-,1.59,1.59,-
24,Other Current Liabilities,1.52,1.96,1.41,2.69,2.03,2.7,2.05,2.54,-,2.63,0.99,1.47,0.88,-,-,1.53,-,1.42,1.42,8.17
25,Total Current Liabilities,279.98,233.39,166.21,156.62,105.21,104.09,119.06,103.94,-,114.94,83.27,97.7,98.36,-,-,109.18,-,116.18,116.18,84.29
26,Long-Term Debt,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.03,-,30.04,30.04,45.07
27,Long-Term Leases,0.21,0.21,-,-,-,-,0.25,0.25,-,0.45,0.66,0.66,0.78,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,30.54,28.07,29.17,29.57,29.18,30.21,31.37,32.41,-,31.73,32.73,33.73,24.39,-,-,24.33,-,19.54,19.54,20.62
29,Long-Term Deferred Tax Liabilities,9.07,9.3,9.49,8.92,9.27,9.88,10.41,10.94,-,14.34,14.4,12.8,13.1,-,-,9.64,-,9.18,9.18,8.5
30,Total Liabilities,329.81,270.97,204.87,195.1,143.67,144.19,161.08,147.54,-,161.45,131.06,144.89,136.64,-,-,162.17,-,174.93,174.93,158.47
31,Common Stock,106.02,106.02,106.02,106.02,106.02,106.02,70.68,70.68,-,70.68,70.68,70.68,70.68,-,-,53,-,53,53,53
32,Additional Paid-In Capital,733.51,733.13,733.13,732.77,732.77,732.29,767.63,767.63,-,767.03,767.03,767.03,767.03,-,-,101.45,-,101.45,101.45,98.42
33,Retained Earnings,497.68,488.76,474.17,457.59,445.85,428.56,420.99,408.57,-,390.63,390.04,373.85,364.61,-,-,319.02,-,267.12,267.12,227.31
34,Treasury Stock,-50.01,-50.01,-43.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1287,1278,1270,1296,1285,1267,1259,1247,-,1228,1228,1212,1202,-,473.47,473.47,421.57,421.57,421.57,378.72
36,Total Liabilities & Equity,1617,1549,1475,1491,1428,1411,1420,1394,-,1390,1359,1356,1339,-,-,635.64,-,596.5,596.5,537.19
37,Total Debt,11.36,1.36,11.25,0.25,0.47,0.47,0.71,0.71,-,0.93,1.15,1.13,19.77,-,45.07,45.07,50.07,50.07,50.07,50.07
38,Net Cash (Debt),649.99,622.4,581.93,569.3,517.48,540.51,543.29,552.35,-,637.57,677.88,663.72,654.88,-,-1.69,-1.69,17.52,17.52,17.52,0.84
39,Net Cash Growth,25.61%,15.15%,7.11%,3.07%,-,-15.22%,-19.85%,-16.78%,-,-,-,-,3638.18%,-,-,-,-,-,-,-
40,Net Cash Per Share,6.04,6.00,5.61,5.33,4.78,5.03,5.26,5.01,-,6.08,6.27,6.16,8.17,-,-0.02,-0.02,0.22,0.22,0.22,0.01
41,Filing Date Shares Outstanding,103.17,103.17,103.54,106.02,106.02,106.02,106.02,106.02,103.98,106.02,106.02,106.02,106.02,77.76,80.63,79.5,79.5,79.5,79.5,79.5
42,Total Common Shares Outstanding,103.17,103.17,103.54,106.02,106.02,106.02,106.02,106.02,103.98,106.02,106.02,106.02,106.02,77.76,80.63,79.5,79.5,79.5,79.5,79.5
43,Working Capital,701.88,693.18,693.38,717.68,721.09,704.35,695.36,684.43,-,760.04,792.69,775.23,771.41,-,-,107.43,-,131.02,131.02,124.22
44,Book Value Per Share,12.48,12.39,12.26,12.23,12.12,11.95,11.88,11.76,-,11.59,11.58,11.43,11.34,-,5.96,5.96,5.30,5.30,5.30,4.76
45,Tangible Book Value,1170,1160,1152,1177,1165,1146,1138,1125,-,1201,1200,1184,1175,-,445.35,445.35,393,393,393,349.72
46,Tangible Book Value Per Share,11.34,11.25,11.12,11.10,10.99,10.81,10.74,10.61,-,11.33,11.32,11.17,11.08,-,5.60,5.60,4.94,4.94,4.94,4.40
47,Buildings,-,150.92,-,150.92,-,138.55,-,138.46,-,131.5,-,130.38,-,-,-,116.85,-,116.85,116.85,116.06
48,Machinery,-,501.47,-,490.74,-,462.95,-,457.76,-,411.75,-,383.72,-,-,-,264.69,-,255.67,255.67,242.85
49,Construction In Progress,-,101.7,-,86.35,-,87.51,-,70.24,-,67.4,-,71.87,-,-,-,105.11,-,29.5,29.5,9.81
