,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1994,2213,1646,1898,2412,2426,2194,2290,2176,2357,2922,3792,3733,3418,-,-,-,-,-,-,-
1,Market Cap Growth,-8.77%,-8.77%,-24.95%,-17.13%,10.87%,2.91%,-24.93%,-39.61%,-41.73%,-31.04%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1344,1591,1064,1380,1894,1885,1650,1744,1630,1720,2244,3137,3078,3420,-,-,-,-,-,-,-
3,Last Close Price,19.33,21.45,15.90,17.79,22.61,22.74,20.56,21.37,20.30,21.99,27.26,35.08,34.53,31.62,-,-,-,-,-,-,-
4,PE Ratio,32.79,35.60,23.34,29.74,40.46,43.40,44.91,40.65,36.38,38.64,47.92,68.82,68.10,48.18,-,-,-,-,-,-,-
5,PS Ratio,2.86,3.11,2.24,2.65,3.46,3.54,3.24,3.14,2.87,3.18,4.08,5.73,6.01,5.29,-,-,-,-,-,-,-
6,PB Ratio,1.55,1.72,1.29,1.49,1.86,1.89,1.73,1.82,1.74,-,2.38,3.09,3.08,2.84,-,-,-,-,-,-,-
7,P/TBV Ratio,1.89,1.89,1.42,1.65,2.05,2.08,1.91,2.01,1.93,-,2.43,3.16,3.15,2.91,-,-,-,-,-,-,-
8,P/FCF Ratio,10.30,11.43,11.58,20.91,86.44,-,-24.93,-,-24.67,-,-,183.35,-267.70,-,-,-,-,-,-,-,-
9,P/OCF Ratio,7.00,7.00,6.89,12.25,26.24,-,72.59,86.60,51.10,-,64.12,107.52,103.66,74.13,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.89,2.23,1.45,1.93,2.71,2.75,2.44,2.39,2.15,2.32,3.13,4.74,4.96,5.29,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,12.36,14.57,9.24,12.81,18.53,20.69,21.05,20.90,19.12,20.14,24.90,36.54,35.25,31.65,-,-,-,-,-,-,-
12,EV/EBIT Ratio,26.52,28.75,16.93,24.47,36.16,44.00,50.72,43.75,-,36.90,42.71,61.67,57.47,45.29,-,-,-,-,-,-,-
13,EV/FCF Ratio,6.94,8.21,7.49,15.21,67.90,-,-18.76,-,-18.48,-,-,151.69,-220.74,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.02,-,0.10,0.10,0.12,0.12,0.12,0.13
15,Debt / EBITDA Ratio,0.10,0.13,0.01,0.10,0.00,0.00,0.00,0.01,0.01,-,0.01,0.01,0.02,0.26,-,0.46,0.36,0.30,0.42,0.42,0.40
16,Debt / FCF Ratio,0.06,0.06,0.01,0.12,0.01,-,-0.01,-,-0.01,-,-,0.06,-0.08,-,-,-,-,2.19,2.80,5.60,-
17,Asset Turnover,0.40,0.50,0.51,0.48,0.51,0.49,0.48,-,-,0.66,0.59,-,-,-,-,-,-,1.01,-,-,
18,Inventory Turnover,5.45,4.98,6.91,7.38,6.06,5.63,5.15,5.35,-,-,6.61,6.73,-,-,-,-,-,-,5.81,-,-
19,Quick Ratio,3.06,3.06,3.52,4.68,4.92,6.82,6.70,5.88,6.46,-,6.50,9.17,7.75,7.98,-,-,1.07,-,1.39,1.39,1.66
20,Current Ratio,3.51,3.51,3.97,5.17,5.58,7.85,7.77,6.84,7.58,-,7.61,10.52,8.93,8.84,-,-,1.98,-,2.13,2.13,2.47
21,Return on Equity (ROE),2.78%,7.82%,5.17%,3.65%,5.42%,5.75%,3.96%,-,-,8.36%,5.20%,-,-,-,13.17%,22.66%,25.19%,18.89%,-,-,
22,Return on Assets (ROA),1.46%,3.94%,2.33%,1.44%,2.96%,3.06%,1.75%,-,-,4.49%,2.57%,-,-,-,-,-,-,9.27%,-,-,
23,Return on Capital (ROIC),1.79%,4.65%,2.68%,1.63%,3.29%,3.43%,1.96%,-,-,5.02%,2.86%,-,-,-,8.04%,11.82%,17.55%,11.73%,-,-,
24,Return on Capital Employed (ROCE),3.79%,4.14%,4.78%,4.31%,3.93%,3.24%,2.49%,3.06%,-,-,4.12%,3.99%,4.26%,6.09%,-,-,19.14%,-,14.36%,9.75%,5.46%
25,Earnings Yield,3.12%,2.81%,4.29%,3.36%,2.47%,2.30%,2.23%,2.46%,2.75%,2.59%,2.09%,1.45%,1.47%,2.08%,-,-,-,-,-,-,-
26,FCF Yield,9.71%,8.75%,8.64%,4.78%,1.16%,-0.77%,-4.01%,-4.87%,-4.05%,-3.39%,0.18%,0.55%,-0.37%,-1.22%,-,-,-,-,-,-,-
27,Dividend Yield,0.51%,-,-,-,0.44%,-,-,-,0.49%,-,-,-,0.68%,-,-,-,-,-,-,-,-
28,Payout Ratio,16.60%,-,41.42%,-,-,-,58.36%,-,-,0.37%,96.35%,0.09%,3.49%,4.71%,3.31%,3.17%,2.07%,6.42%,-,-,-
29,Buyback Yield / Dilution,1.73%,0.63%,3.42%,-0.36%,3.11%,-4.11%,-2.55%,4.48%,-2.35%,-29.68%,-34.79%,-34.11%,-36.01%,-0.35%,2.19%,-1.42%,0.39%,-,-,-,-
30,Total Shareholder Return,2.24%,0.63%,3.42%,-0.36%,3.56%,-4.11%,-2.55%,4.48%,-1.86%,-29.68%,-34.79%,-34.11%,-35.34%,-0.35%,2.19%,-1.42%,0.39%,-,-,-,-
