,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,172.57,177.92,188.23,156.19,190.22,163.68,170.48,138.1,179.96,217.67,199.54,137.11,151.37,167.4,159.01,161.92,158.47,148.97,148.97,142.33
1,Other Revenue,-12.75,12.75,-,17.32,-8.88,8.88,-,23.47,-7.68,7.68,-,6.22,-2.66,2.66,-,6.5,-3.29,1.64,1.64,6.28
2,Revenue,159.82,190.67,188.23,173.51,181.35,172.56,170.48,161.57,172.28,225.35,199.54,143.33,148.7,170.06,159.01,168.42,155.19,150.62,150.62,148.61
3,Revenue Growth (YoY),-11.87%,10.50%,10.41%,7.39%,5.26%,-23.43%,-14.56%,12.73%,15.85%,32.51%,25.49%,-14.90%,-4.18%,12.91%,5.57%,13.33%,-,-,-,-
4,Cost of Revenue,132.34,147.98,158.6,151.94,146.89,135.63,144.63,140.4,152.03,186.06,173.94,122.8,128.26,138.03,129.2,127.11,115.24,114.7,114.7,76.11
5,Gross Profit,27.48,42.69,29.63,21.57,34.46,36.93,25.85,21.17,20.25,39.3,25.6,20.53,20.44,32.03,29.81,41.31,39.95,35.91,35.91,72.5
6,"Selling, General & Admin",9.52,11.34,8.62,8.76,8.31,11.45,8.81,8.68,7.33,9.8,6.65,8.71,3.71,5.75,8.02,7.47,6.74,6.91,6.91,26.52
7,Research & Development,6.59,7.77,5.46,7.51,7.45,6.96,5.83,8.65,7.07,6.12,5.08,7.14,4.45,4.28,4,5.8,4.13,5.88,5.88,18.55
8,Other Operating Expenses,0.94,0.1,0.74,-1.69,-0.16,-0.17,0.41,5.22,-0.9,-0.92,-0.73,3.8,-0.02,-0.03,0.02,4.62,-3.77,0.7,0.7,2.41
9,Operating Expenses,18.23,18.88,15.8,13.15,17.66,19.58,16.02,22.29,13.77,14.62,11.62,19.07,8.02,9.03,13.13,17.9,6.85,13.79,13.79,47.77
10,Operating Income,9.25,23.82,13.83,8.43,16.79,17.34,9.83,-1.12,6.48,24.67,13.98,1.47,12.42,23,16.68,23.41,33.1,22.12,22.12,24.73
11,Interest Expense,-,-0.05,-,-0.86,-,-0.02,-,-0.2,-,-0.03,-,-0.26,-0.26,-0.61,-0.55,-0.52,-0.55,-0.58,-0.58,-2.04
12,Interest & Investment Income,2.88,3.83,4,4.49,2.94,2.88,4.1,3.96,4.7,3.98,4.03,4.24,1.16,0.26,-,0.4,0.41,0.24,0.24,0.73
13,Currency Exchange Gain (Loss),-1.49,1.49,-,0.45,-0.74,0.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),-1.71,-1.65,0.59,-0.39,1.05,-0.58,-0.32,-1.16,0.05,0.85,-0.07,-1.93,-2,-0.15,2.04,-0.93,0.91,-0.03,-0.03,0.01
15,EBT Excluding Unusual Items,8.93,27.43,18.42,12.11,20.05,20.36,13.61,1.48,11.23,29.48,17.93,3.52,11.32,22.5,18.17,22.35,33.87,21.76,21.76,23.43
16,Gain (Loss) on Sale of Assets,-0.4,-0.44,-,-0.57,-,-,0.1,-0.59,-,-,-,-0,0.07,-0.07,-,-0.07,-,-0.13,-0.13,2.64
17,Asset Writedown,0.48,-,-,0.45,-0.45,-,-,0.1,-0.1,-,-,-0.12,0.12,0.1,-0.1,0.45,-0.45,-,-,-0.19
18,Other Unusual Items,1.01,0.86,1.06,0.5,-,-,-,6.75,-,-,-,6.42,-,-,-,6.43,-2.61,1.31,1.31,5.56
19,Pretax Income,10.02,27.85,19.48,12.48,19.6,20.36,13.71,7.75,11.13,29.48,17.93,9.82,11.51,22.53,18.07,29.17,30.8,22.93,22.93,31.44
20,Income Tax Expense,1.11,2.95,2.89,0.72,2.31,2.2,1.32,-0.29,0.89,3.82,2.07,0.59,1.29,2.74,2.49,3.82,4.25,3.03,3.03,3.03
21,Net Income,8.91,24.91,16.59,11.76,17.29,18.17,12.39,8.04,10.24,25.66,15.86,9.23,10.22,19.79,15.59,25.35,26.55,19.91,19.91,28.41
22,Net Income to Common,8.91,24.91,16.59,11.76,17.29,18.17,12.39,8.04,10.24,25.66,15.86,9.23,10.22,19.79,15.59,25.35,26.55,19.91,19.91,28.41
23,Net Income Growth,-48.45%,37.10%,33.81%,46.32%,68.86%,-29.20%,-21.87%,-12.93%,0.25%,29.66%,1.78%,-63.58%,-61.52%,-0.58%,-21.70%,-10.74%,-,-,-,-
24,Shares Outstanding (Basic),108,104,104,107,108,107,103,110,104,105,108,108,80,78,81,79,80,80,80,80
25,Shares Outstanding (Diluted),108,104,104,107,108,107,103,110,104,105,108,108,80,78,81,79,80,80,80,80
26,Shares Change (YoY),-0.63%,-3.42%,0.36%,-3.11%,4.11%,2.55%,-4.48%,2.35%,29.68%,34.79%,34.11%,36.01%,0.35%,-2.19%,1.42%,-0.39%,-,-,-,-
27,EPS (Basic),0.08,0.24,0.16,0.11,0.16,0.17,0.12,0.07,0.10,0.24,0.15,0.09,0.13,0.25,0.19,0.32,0.33,0.25,0.25,0.36
28,EPS (Diluted),0.08,0.24,0.16,0.11,0.16,0.17,0.12,0.07,0.10,0.24,0.15,0.09,0.13,0.25,0.19,0.32,0.33,0.25,0.25,0.36
29,EPS Growth,-48.13%,41.96%,33.33%,51.02%,62.19%,-30.96%,-18.20%,-14.94%,-22.70%,-3.80%,-24.11%,-73.22%,-61.66%,1.80%,-22.68%,-10.39%,-,-,-,-
30,Free Cash Flow,28.99,59.44,53.68,51.57,-22.52,8.02,-9.17,5.02,-91.85,-15.55,14.19,13.34,-6.73,-0.12,-20.44,-14.56,5.01,8.95,8.95,-
31,Free Cash Flow Per Share,0.27,0.57,0.52,0.48,-0.21,0.07,-0.09,0.05,-0.88,-0.15,0.13,0.12,-0.08,-0.00,-0.25,-0.18,0.06,0.11,0.11,-
32,Dividend Per Share,-,-,-,0.100,-,-,-,0.100,-,-,-,0.233,-,-,-,-,-,-,-,-
33,Dividend Growth,-,-,-,0%,-,-,-,-57.14%,-,-,-,-,-,-,-,-,-,-,-,-
