,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,8817,8272,8351,5957,5720,6380,5368,7541,7770,13939,19686,Upgrade
1,Market Cap Growth,38.85%,38.85%,46.00%,-6.62%,6.56%,-15.40%,-30.92%,-45.90%,-60.53%,-20.47%,66.87%,Upgrade
2,Enterprise Value,9694,9281,9299,9115,9130,9172,7738,8941,7962,14465,19877,Upgrade
3,Last Close Price,10.02,9.40,9.49,6.77,6.50,7.25,6.10,8.57,8.83,15.66,21.62,Upgrade
4,PE Ratio,4.99,4.67,3.80,4.84,66.05,-,-,-,7.79,8.10,9.17,Upgrade
5,Forward PE,5.59,4.05,4.49,4.29,7.63,6.46,10.57,8.17,4.66,6.09,10.38,Upgrade
6,PS Ratio,1.48,1.39,1.20,0.97,1.35,2.72,4.79,13.44,2.79,2.43,2.83,Upgrade
7,PB Ratio,0.95,0.89,0.96,0.78,0.83,0.91,0.73,1.36,1.28,2.55,3.81,Upgrade
8,P/TBV Ratio,1.06,1.06,1.17,1.07,1.23,1.46,1.19,2.52,2.00,3.25,4.63,Upgrade
9,P/FCF Ratio,-,-,5.70,2.40,4.48,-,-,-,-,9.27,14.45,Upgrade
10,P/OCF Ratio,17.00,17.00,4.53,1.97,2.98,-112.79,-,-,-,6.12,9.81,Upgrade
11,PEG Ratio,-,-,-,-,-,-,-,-,-,0.41,0.69,Upgrade
12,EV/Sales Ratio,1.63,1.56,1.34,1.49,2.16,3.91,6.90,15.93,2.86,2.52,2.85,Upgrade
13,EV/EBITDA Ratio,3.56,3.45,2.67,4.36,11.68,13.26,-30.52,-,-,5.92,6.80,Upgrade
14,EV/EBIT Ratio,4.22,4.07,3.04,5.44,25.02,27.95,-13.76,-,-,6.16,7.02,Upgrade
15,EV/FCF Ratio,-116.86,-,6.35,3.67,7.15,-,-,-,-,9.62,14.59,Upgrade
16,Debt / Equity Ratio,0.27,0.27,0.33,0.63,0.63,0.59,0.53,0.67,0.59,0.66,0.66,Upgrade
17,Debt / FCF Ratio,-,-,1.96,1.95,3.38,-,-,-,-,2.41,2.49,Upgrade
18,Return on Capital Employed (ROCE),21.47%,21.33%,33.01%,19.91%,4.64%,4.10%,-4.92%,-,-,26.65%,33.28%,Upgrade
19,Earnings Yield,20.08%,21.41%,26.29%,20.66%,1.51%,-2.08%,-13.44%,-4.55%,12.83%,12.34%,10.90%,Upgrade
20,FCF Yield,-0.94%,-1.00%,17.54%,41.65%,22.33%,-7.95%,-23.30%,-21.86%,4.67%,10.79%,6.92%,Upgrade
21,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,1.75%,3.36%,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,20.49%,20.35%,1.90%,-23.96%,-24.80%,Upgrade,
23,Total Shareholder Return,-,-,-,-,-,20.49%,20.35%,1.90%,-22.21%,-21.44%,Upgrade,
