,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2419518,1945532,2188094,2017367,2435058,1689713,1367496,1827056,1642978,1353251,1020616,1549911,1988171,1439606,2214210,967769,963717,238983,267895,288450,Upgrade
1,Short-Term Investments,718639,1346697,1318382,197451,1079610,1391367,1506625,697156,448656,436156,461156,461156,436156,11156,11156,176256,758600,720905,727671,840336,Upgrade
2,Cash & Short-Term Investments,3138157,3292229,3506476,2214818,3514668,3081080,2874121,2524212,2091634,1789407,1481772,2011067,2424327,1450762,2225366,1144025,1722317,959887,995565,1128786,Upgrade
3,Cash Growth,-10.71%,6.85%,22.00%,-12.26%,68.03%,72.18%,93.97%,25.52%,-13.72%,23.34%,-33.41%,75.79%,40.76%,51.14%,123.53%,1.35%,11.59%,-32.32%,-27.22%,-7.18%,Upgrade
4,Accounts Receivable,1112397,1176150,745182,912972,662317,1178754,865399,1073481,1008205,1089463,1521505,1334124,1126961,1168672,958763,838327,587821,609274,535577,633048,Upgrade
5,Other Receivables,27217,99870,19239,160334,88187,72933,54400,50225,65693,33105,34990,40663,26578,51756,48494,80856,59449,99092,74377,94242,Upgrade
6,Receivables,1141113,1566346,871159,1832616,813381,1548237,979696,1509200,1250894,1561437,1835784,1621251,1238445,1853873,1153555,1867020,684622,1436989,1508446,1384242,Upgrade
7,Inventory,1352422,1138806,890797,604261,781680,690502,1559083,1135368,1790091,2158635,1910442,1042197,997385,1024271,1131960,1166690,946809,828615,897445,1117690,Upgrade
8,Prepaid Expenses,24216,30648,14808,21079,13139,15936,23288,22630,10080,13780,21320,34336,25562,29090,36346,47665,32033,36307,30859,34670,Upgrade
